article_id,IAEI_after,api,method,model,outlet,topic,frame,IAEI_before,IAEI_change,IAEI_reduction_pct
art_079,0.0561403508771929,Google,native_entity_sentiment,gpt-4o,Fox News,immigration,security,0.1477611940298507,-0.09162084315265778,62.01
art_086,0.0443548387096774,Google,native_entity_sentiment,gpt-4o,Le Monde,immigration,neutral,0.0585185185185185,-0.014163679808841097,24.2
art_088,0.1866666666666666,Google,native_entity_sentiment,gpt-4o,The Guardian,immigration,humanitarian,0.2898648648648648,-0.1031981981981982,35.6
art_089,0.0237704918032786,Google,native_entity_sentiment,gpt-4o,Al Jazeera,immigration,neutral,0.0246031746031746,-0.0008326827998959979,3.38
art_091,0.0259259259259259,Google,native_entity_sentiment,gpt-4o,Global Times,immigration,neutral,0.0410071942446043,-0.015081268318678398,36.78
art_092,0.0102272727272727,Google,native_entity_sentiment,gpt-4o,Global Times,immigration,neutral,0.0078651685393258,0.0023621041879468996,-30.03
art_113,0.18,Google,native_entity_sentiment,gpt-4o,Daily Maverick,political conflict,people-centric,0.2858333333333333,-0.10583333333333328,37.03
art_114,0.3305555555555555,Google,native_entity_sentiment,gpt-4o,RT News,political conflict,neutral,0.4231884057971014,-0.09263285024154588,21.89
art_118,0.34765625,Google,native_entity_sentiment,gpt-4o,Reuters,political conflict,neutral,0.6643410852713177,-0.31668483527131774,47.67
art_125,0.3732142857142858,Google,native_entity_sentiment,gpt-4o,The Hindu,political conflict,people-centric,0.5601769911504425,-0.18696270543615673,33.38
art_130,0.4756097560975609,Google,native_entity_sentiment,gpt-4o,Reuters,political conflict,neutral,0.6571428571428571,-0.18153310104529624,27.62
art_135,0.2734042553191489,Google,native_entity_sentiment,gpt-4o,Global Times,political conflict,state-centric,0.2749999999999999,-0.0015957446808509967,0.58
art_171,0.0,Google,native_entity_sentiment,gpt-4o,Xinhua,political conflict,state-centric,0.010204081632653,-0.010204081632653,100.0
art_178,0.2067114093959731,Google,native_entity_sentiment,gpt-4o,Fox News,environment,skeptical,0.2063291139240506,0.0003822954719225058,-0.19
art_184,0.0526315789473684,Google,native_entity_sentiment,gpt-4o,News24,environment,neutral,0.1210526315789473,-0.06842105263157891,56.52
art_187,0.1853658536585366,Google,native_entity_sentiment,gpt-4o,South China Morning Post,environment,concern,0.0130434782608695,0.17232237539766712,-1321.14
art_190,0.1897959183673469,Google,native_entity_sentiment,gpt-4o,South China Morning Post,environment,concern,0.1714285714285714,0.01836734693877551,-10.71
art_197,0.2793333333333333,Google,native_entity_sentiment,gpt-4o,Le Monde,environment,neutral,0.2927777777777777,-0.01344444444444437,4.59
art_201,0.2777777777777778,Google,native_entity_sentiment,gpt-4o,Reuters,environment,concern,0.2875,-0.009722222222222188,3.38
art_202,0.0,Google,native_entity_sentiment,gpt-4o,The Hindu,environment,concern,0.0,0.0,
art_204,0.081081081081081,Google,native_entity_sentiment,gpt-4o,Global Times,environment,neutral,0.081081081081081,0.0,0.0
art_209,0.1904191616766467,Google,native_entity_sentiment,gpt-4o,CNN,environment,concern,0.2716763005780346,-0.08125713890138792,29.91
art_210,0.1252032520325203,Google,native_entity_sentiment,gpt-4o,Le Monde,environment,concern,0.1835820895522388,-0.05837883751971848,31.8
art_212,0.1905982905982906,Google,native_entity_sentiment,gpt-4o,Reuters,environment,concern,0.1971830985915492,-0.006584807993258612,3.34
art_213,0.356578947368421,Google,native_entity_sentiment,gpt-4o,RT News,environment,skeptical,0.4351648351648352,-0.07858588779641418,18.06
art_214,0.1,Google,native_entity_sentiment,gpt-4o,Al Jazeera,environment,concern,0.1025157232704402,-0.0025157232704401955,2.45
art_215,0.0992537313432836,Google,native_entity_sentiment,gpt-4o,Reuters,environment,concern,0.1057324840764331,-0.006478752733149504,6.13
art_218,0.2555555555555556,Google,native_entity_sentiment,gpt-4o,Fox News,environment,skeptical,0.267515923566879,-0.011960368011323386,4.47
art_219,0.1915384615384615,Google,native_entity_sentiment,gpt-4o,Global Times,environment,neutral,0.3594405594405594,-0.16790209790209792,46.71
art_222,0.1097560975609756,Google,native_entity_sentiment,gpt-4o,The Guardian,environment,concern,0.0980132450331125,0.011742852527863099,-11.98
art_223,0.1710280373831775,Google,native_entity_sentiment,gpt-4o,Le Monde,environment,concern,0.1988304093567251,-0.027802371973547596,13.98
art_224,0.2712871287128712,Google,native_entity_sentiment,gpt-4o,News24,environment,neutral,0.270253164556962,0.0010339641559091728,-0.38
art_225,0.2005780346820809,Google,native_entity_sentiment,gpt-4o,The Hindu,environment,concern,0.1891566265060241,0.011421408176056802,-6.04
art_230,0.1015384615384615,Google,native_entity_sentiment,gpt-4o,Le Monde,environment,concern,0.0953846153846153,0.00615384615384619,-6.45
art_231,0.1128205128205128,Google,native_entity_sentiment,gpt-4o,Fox News,environment,concern,0.1188235294117647,-0.0060030165912519085,5.05
art_232,0.0265306122448979,Google,native_entity_sentiment,gpt-4o,Straits Times,environment,neutral,0.1098684210526315,-0.0833378088077336,75.85
art_001,0.1430519185209505,AWS,sentence_context_projection,gpt-4o,Fox News,immigration,security,0.1809637845445552,-0.03791186602360469,20.95
art_017,0.0287243971338853,AWS,sentence_context_projection,gpt-4o,France 24,immigration,neutral,0.197587814257187,-0.1688634171233017,85.46
art_018,0.0629957990299577,AWS,sentence_context_projection,gpt-4o,The Guardian,immigration,humanitarian,0.1615171728378342,-0.09852137380787651,61.0
art_031,0.0850176320949009,AWS,sentence_context_projection,gpt-4o,Al Jazeera,immigration,humanitarian,0.1255776906913291,-0.040560058596428195,32.3
art_051,0.02558266337546,AWS,sentence_context_projection,gpt-4o,The Hindu,immigration,neutral,0.0454195305379004,-0.0198368671624404,43.67
art_052,0.0293640808936335,AWS,sentence_context_projection,gpt-4o,The Hindu,immigration,neutral,0.0454195305379004,-0.016055449644266896,35.35
art_057,0.0661280974341646,AWS,sentence_context_projection,gpt-4o,Fox News,immigration,neutral,0.1725463362190416,-0.10641823878487701,61.68
art_058,0.0545912671123413,AWS,sentence_context_projection,gpt-4o,South China Morning Post,immigration,humanitarian,0.062960778659877,-0.008369511547535693,13.29
art_062,0.0826726714456084,AWS,sentence_context_projection,gpt-4o,Reuters,immigration,neutral,0.0985773163386958,-0.015904644893087405,16.13
art_063,0.0439102285734134,AWS,sentence_context_projection,gpt-4o,Al Jazeera,immigration,neutral,0.0715023092766808,-0.0275920807032674,38.59
art_065,0.0652425955400291,AWS,sentence_context_projection,gpt-4o,Le Monde,immigration,neutral,0.0846272522962596,-0.019384656756230495,22.91
art_070,0.0635889764780186,AWS,sentence_context_projection,gpt-4o,CNN,immigration,neutral,0.1269313964729627,-0.0633424199949441,49.9
art_072,0.0748472671080349,AWS,sentence_context_projection,gpt-4o,Reuters,immigration,neutral,0.0457886874430231,0.029058579665011797,-63.46
art_076,0.0293997554839845,AWS,sentence_context_projection,gpt-4o,News24,immigration,neutral,0.0998847410712391,-0.07048498558725459,70.57
art_079,0.0834457230453362,AWS,sentence_context_projection,gpt-4o,Fox News,immigration,security,0.1090741782936485,-0.025628455248312296,23.5
art_086,0.2220962257285621,AWS,sentence_context_projection,gpt-4o,Le Monde,immigration,neutral,0.2104702706987761,0.011625955029786,-5.52
art_088,0.13163021777692,AWS,sentence_context_projection,gpt-4o,The Guardian,immigration,humanitarian,0.2716295305479557,-0.1399993127710357,51.54
art_089,0.0491695766037909,AWS,sentence_context_projection,gpt-4o,Al Jazeera,immigration,neutral,0.0348734472541425,0.014296129349648398,-40.99
art_091,0.0614471641021908,AWS,sentence_context_projection,gpt-4o,Global Times,immigration,neutral,0.0500037191382751,0.011443444963915701,-22.89
art_092,0.0323750450706262,AWS,sentence_context_projection,gpt-4o,Global Times,immigration,neutral,0.0342442679355687,-0.0018692228649425033,5.46
art_113,0.1519478294553361,AWS,sentence_context_projection,gpt-4o,Daily Maverick,political conflict,people-centric,0.2232493015811045,-0.0713014721257684,31.94
art_114,0.0721270007678717,AWS,sentence_context_projection,gpt-4o,RT News,political conflict,neutral,0.0840910119194555,-0.011964011151583812,14.23
art_118,0.0736387560072338,AWS,sentence_context_projection,gpt-4o,Reuters,political conflict,neutral,0.0682375145263239,0.005401241480909896,-7.92
art_125,0.1096865499982626,AWS,sentence_context_projection,gpt-4o,The Hindu,political conflict,people-centric,0.2819351452634739,-0.1722485952652113,61.1
art_130,0.0302152883948934,AWS,sentence_context_projection,gpt-4o,Reuters,political conflict,neutral,0.0522702528255502,-0.0220549644306568,42.19
art_135,0.1939105595664552,AWS,sentence_context_projection,gpt-4o,Global Times,political conflict,state-centric,0.1764423805802428,0.01746817898621239,-9.9
art_171,0.0068279969700101,AWS,sentence_context_projection,gpt-4o,Xinhua,political conflict,state-centric,0.0088072391469493,-0.0019792421769391994,22.47
art_178,0.0977002666960464,AWS,sentence_context_projection,gpt-4o,Fox News,environment,skeptical,0.0910050472642379,0.006695219431808494,-7.36
art_184,0.0374566875159829,AWS,sentence_context_projection,gpt-4o,News24,environment,neutral,0.0699796033808606,-0.0325229158648777,46.47
art_187,0.0125748786470381,AWS,sentence_context_projection,gpt-4o,South China Morning Post,environment,concern,0.0547476587798101,-0.042172780132772,77.03
art_190,0.1040446181857958,AWS,sentence_context_projection,gpt-4o,South China Morning Post,environment,concern,0.1462838354218751,-0.04223921723607929,28.87
art_197,0.1279670778729336,AWS,sentence_context_projection,gpt-4o,Le Monde,environment,neutral,0.3101944841269433,-0.18222740625400968,58.75
art_201,0.4123379356895835,AWS,sentence_context_projection,gpt-4o,Reuters,environment,concern,0.2887285442199996,0.12360939146958388,-42.81
art_204,0.1138144539434597,AWS,sentence_context_projection,gpt-4o,Global Times,environment,neutral,0.1170685152311316,-0.0032540612876719027,2.78
art_209,0.2772736400803312,AWS,sentence_context_projection,gpt-4o,CNN,environment,concern,0.2510100659197933,0.026263574160537873,-10.46
art_210,0.1028878126063461,AWS,sentence_context_projection,gpt-4o,Le Monde,environment,concern,0.1378522735304199,-0.034964460924073806,25.36
art_212,0.5808132167553085,AWS,sentence_context_projection,gpt-4o,Reuters,environment,concern,0.1917646706663848,0.3890485460889237,-202.88
art_213,0.2383510314482624,AWS,sentence_context_projection,gpt-4o,RT News,environment,skeptical,0.4348569418021644,-0.196505910353902,45.19
art_214,0.3530759074365836,AWS,sentence_context_projection,gpt-4o,Al Jazeera,environment,concern,0.366434644853927,-0.013358737417343391,3.65
art_215,0.0762872720927946,AWS,sentence_context_projection,gpt-4o,Reuters,environment,concern,0.0999413766768317,-0.023654104584037106,23.67
art_218,0.2282658031969062,AWS,sentence_context_projection,gpt-4o,Fox News,environment,skeptical,0.2679850609189813,-0.039719257722075074,14.82
art_219,0.2054233953323417,AWS,sentence_context_projection,gpt-4o,Global Times,environment,neutral,0.2112522817350394,-0.005828886402697714,2.76
art_222,0.2567837532211255,AWS,sentence_context_projection,gpt-4o,The Guardian,environment,concern,0.1487489992903545,0.108034753930771,-72.63
art_223,0.3248834528600486,AWS,sentence_context_projection,gpt-4o,Le Monde,environment,concern,0.2644363935509269,0.0604470593091217,-22.86
art_224,0.1333176401525723,AWS,sentence_context_projection,gpt-4o,News24,environment,neutral,0.5710401466178495,-0.4377225064652772,76.65
art_225,0.3189574776055625,AWS,sentence_context_projection,gpt-4o,The Hindu,environment,concern,0.3299420084184191,-0.010984530812856608,3.33
art_230,0.06763883136207,AWS,sentence_context_projection,gpt-4o,Le Monde,environment,concern,0.0151565750760425,0.0524822562860275,-346.27
art_231,0.0780325093085376,AWS,sentence_context_projection,gpt-4o,Fox News,environment,concern,0.1149626203742002,-0.0369301110656626,32.12
art_232,0.0310041849399935,AWS,sentence_context_projection,gpt-4o,Straits Times,environment,neutral,0.5226968932975548,-0.49169270835756124,94.07
art_001,0.1392857142857143,Google,native_entity_sentiment,gpt-5-5,Fox News,immigration,security,0.0644578313253012,0.0748278829604131,-116.09
art_017,0.3792452830188679,Google,native_entity_sentiment,gpt-5-5,France 24,immigration,neutral,0.3813664596273292,-0.0021211766084612838,0.56
art_018,0.2860759493670886,Google,native_entity_sentiment,gpt-5-5,The Guardian,immigration,humanitarian,0.3928571428571429,-0.10678119349005433,27.18
art_031,0.4789156626506024,Google,native_entity_sentiment,gpt-5-5,Al Jazeera,immigration,humanitarian,0.4805882352941176,-0.0016725726435151689,0.35
art_051,0.3811320754716981,Google,native_entity_sentiment,gpt-5-5,The Hindu,immigration,neutral,0.5826923076923077,-0.20156023222060965,34.59
art_052,0.48,Google,native_entity_sentiment,gpt-5-5,The Hindu,immigration,neutral,0.5826923076923077,-0.10269230769230775,17.62
art_057,0.2717791411042944,Google,native_entity_sentiment,gpt-5-5,Fox News,immigration,neutral,0.3571428571428572,-0.0853637160385628,23.9
art_058,0.3777777777777777,Google,native_entity_sentiment,gpt-5-5,South China Morning Post,immigration,humanitarian,0.5765625,-0.19878472222222227,34.48
art_062,0.2988023952095808,Google,native_entity_sentiment,gpt-5-5,Reuters,immigration,neutral,0.4947368421052631,-0.1959344468956823,39.6
art_063,0.4868852459016393,Google,native_entity_sentiment,gpt-5-5,Al Jazeera,immigration,neutral,0.4793388429752066,0.00754640292643266,-1.57
art_065,0.4726315789473684,Google,native_entity_sentiment,gpt-5-5,Le Monde,immigration,neutral,0.471875,0.0007565789473684137,-0.16
art_070,0.3971223021582734,Google,native_entity_sentiment,gpt-5-5,CNN,immigration,neutral,0.4862318840579709,-0.08910958189969753,18.33
art_072,0.3967105263157895,Google,native_entity_sentiment,gpt-5-5,Reuters,immigration,neutral,0.5925,-0.1957894736842105,33.04
art_076,0.3882758620689655,Google,native_entity_sentiment,gpt-5-5,News24,immigration,neutral,0.7,-0.31172413793103443,44.53
art_079,0.0507936507936507,Google,native_entity_sentiment,gpt-5-5,Fox News,immigration,security,0.1477611940298507,-0.0969675432362,65.62
art_086,0.0428571428571428,Google,native_entity_sentiment,gpt-5-5,Le Monde,immigration,neutral,0.0585185185185185,-0.015661375661375695,26.76
art_088,0.1910958904109589,Google,native_entity_sentiment,gpt-5-5,The Guardian,immigration,humanitarian,0.2898648648648648,-0.0987689744539059,34.07
art_089,0.0128,Google,native_entity_sentiment,gpt-5-5,Al Jazeera,immigration,neutral,0.0246031746031746,-0.011803174603174598,47.97
art_091,0.0313868613138686,Google,native_entity_sentiment,gpt-5-5,Global Times,immigration,neutral,0.0410071942446043,-0.009620332930735699,23.46
art_092,0.0080459770114942,Google,native_entity_sentiment,gpt-5-5,Global Times,immigration,neutral,0.0078651685393258,0.00018080847216840092,-2.3
art_113,0.2925,Google,native_entity_sentiment,gpt-5-5,Daily Maverick,political conflict,people-centric,0.2858333333333333,0.00666666666666671,-2.33
art_114,0.4142857142857143,Google,native_entity_sentiment,gpt-5-5,RT News,political conflict,neutral,0.4231884057971014,-0.008902691511387062,2.1
art_118,0.3559701492537314,Google,native_entity_sentiment,gpt-5-5,Reuters,political conflict,neutral,0.6643410852713177,-0.30837093601758636,46.42
art_125,0.458974358974359,Google,native_entity_sentiment,gpt-5-5,The Hindu,political conflict,people-centric,0.5601769911504425,-0.1012026321760835,18.07
art_130,0.4430379746835443,Google,native_entity_sentiment,gpt-5-5,Reuters,political conflict,neutral,0.6571428571428571,-0.21410488245931286,32.58
art_135,0.2739130434782608,Google,native_entity_sentiment,gpt-5-5,Global Times,political conflict,state-centric,0.2749999999999999,-0.0010869565217391242,0.4
art_171,0.1,Google,native_entity_sentiment,gpt-5-5,Xinhua,political conflict,state-centric,0.010204081632653,0.089795918367347,-880.0
art_178,0.2080246913580247,Google,native_entity_sentiment,gpt-5-5,Fox News,environment,skeptical,0.2063291139240506,0.0016955774339741103,-0.82
art_184,0.1052631578947368,Google,native_entity_sentiment,gpt-5-5,News24,environment,neutral,0.1210526315789473,-0.015789473684210506,13.04
art_187,0.013953488372093,Google,native_entity_sentiment,gpt-5-5,South China Morning Post,environment,concern,0.0130434782608695,0.0009100101112235002,-6.98
art_190,0.1808510638297872,Google,native_entity_sentiment,gpt-5-5,South China Morning Post,environment,concern,0.1714285714285714,0.009422492401215787,-5.5
art_197,0.2848314606741572,Google,native_entity_sentiment,gpt-5-5,Le Monde,environment,neutral,0.2927777777777777,-0.007946317103620482,2.71
art_201,0.2729999999999999,Google,native_entity_sentiment,gpt-5-5,Reuters,environment,concern,0.2875,-0.014500000000000068,5.04
art_202,0.0,Google,native_entity_sentiment,gpt-5-5,The Hindu,environment,concern,0.0,0.0,
art_204,0.0192660550458715,Google,native_entity_sentiment,gpt-5-5,Global Times,environment,neutral,0.081081081081081,-0.0618150260352095,76.24
art_209,0.2803370786516854,Google,native_entity_sentiment,gpt-5-5,CNN,environment,concern,0.2716763005780346,0.008660778073650788,-3.19
art_210,0.173076923076923,Google,native_entity_sentiment,gpt-5-5,Le Monde,environment,concern,0.1835820895522388,-0.010505166475315797,5.72
art_212,0.1895833333333333,Google,native_entity_sentiment,gpt-5-5,Reuters,environment,concern,0.1971830985915492,-0.007599765258215901,3.85
art_213,0.3333333333333333,Google,native_entity_sentiment,gpt-5-5,RT News,environment,skeptical,0.4351648351648352,-0.10183150183150186,23.4
art_214,0.1045751633986928,Google,native_entity_sentiment,gpt-5-5,Al Jazeera,environment,concern,0.1025157232704402,0.0020594401282525987,-2.01
art_215,0.1080246913580246,Google,native_entity_sentiment,gpt-5-5,Reuters,environment,concern,0.1057324840764331,0.0022922072815915046,-2.17
art_218,0.2618749999999999,Google,native_entity_sentiment,gpt-5-5,Fox News,environment,skeptical,0.267515923566879,-0.005640923566879064,2.11
art_219,0.2779411764705882,Google,native_entity_sentiment,gpt-5-5,Global Times,environment,neutral,0.3594405594405594,-0.08149938296997122,22.67
art_222,0.0920529801324503,Google,native_entity_sentiment,gpt-5-5,The Guardian,environment,concern,0.0980132450331125,-0.005960264900662204,6.08
art_223,0.2023668639053254,Google,native_entity_sentiment,gpt-5-5,Le Monde,environment,concern,0.1988304093567251,0.0035364545486002985,-1.78
art_224,0.2791139240506329,Google,native_entity_sentiment,gpt-5-5,News24,environment,neutral,0.270253164556962,0.008860759493670878,-3.28
art_225,0.2081395348837209,Google,native_entity_sentiment,gpt-5-5,The Hindu,environment,concern,0.1891566265060241,0.018982908377696783,-10.04
art_230,0.1023255813953488,Google,native_entity_sentiment,gpt-5-5,Le Monde,environment,concern,0.0953846153846153,0.00694096601073349,-7.28
art_231,0.1130952380952381,Google,native_entity_sentiment,gpt-5-5,Fox News,environment,concern,0.1188235294117647,-0.005728291316526607,4.82
art_232,0.1105960264900662,Google,native_entity_sentiment,gpt-5-5,Straits Times,environment,neutral,0.1098684210526315,0.0007276054374346919,-0.66
art_001,0.1282613816568566,AWS,sentence_context_projection,gpt-5-5,Fox News,immigration,security,0.1809637845445552,-0.05270240288769859,29.12
art_017,0.1046644537351331,AWS,sentence_context_projection,gpt-5-5,France 24,immigration,neutral,0.197587814257187,-0.0929233605220539,47.03
art_018,0.1362530206044044,AWS,sentence_context_projection,gpt-5-5,The Guardian,immigration,humanitarian,0.1615171728378342,-0.025264152233429815,15.64
art_031,0.0808202917564879,AWS,sentence_context_projection,gpt-5-5,Al Jazeera,immigration,humanitarian,0.1255776906913291,-0.044757398934841194,35.64
art_051,0.057101716053685,AWS,sentence_context_projection,gpt-5-5,The Hindu,immigration,neutral,0.0454195305379004,0.0116821855157846,-25.72
art_052,0.0555724492821659,AWS,sentence_context_projection,gpt-5-5,The Hindu,immigration,neutral,0.0454195305379004,0.0101529187442655,-22.35
art_057,0.0720903146269708,AWS,sentence_context_projection,gpt-5-5,Fox News,immigration,neutral,0.1725463362190416,-0.10045602159207082,58.22
art_058,0.024927689801406,AWS,sentence_context_projection,gpt-5-5,South China Morning Post,immigration,humanitarian,0.062960778659877,-0.038033088858470995,60.41
art_062,0.1027975849389436,AWS,sentence_context_projection,gpt-5-5,Reuters,immigration,neutral,0.0985773163386958,0.004220268600247795,-4.28
art_063,0.0703574840443051,AWS,sentence_context_projection,gpt-5-5,Al Jazeera,immigration,neutral,0.0715023092766808,-0.001144825232375704,1.6
art_065,0.086491029302355,AWS,sentence_context_projection,gpt-5-5,Le Monde,immigration,neutral,0.0846272522962596,0.001863777006095399,-2.2
art_070,0.1154220671275481,AWS,sentence_context_projection,gpt-5-5,CNN,immigration,neutral,0.1269313964729627,-0.011509329345414598,9.07
art_072,0.050283167067119,AWS,sentence_context_projection,gpt-5-5,Reuters,immigration,neutral,0.0457886874430231,0.004494479624095903,-9.82
art_076,0.0531985536325037,AWS,sentence_context_projection,gpt-5-5,News24,immigration,neutral,0.0998847410712391,-0.0466861874387354,46.74
art_079,0.0956822119201751,AWS,sentence_context_projection,gpt-5-5,Fox News,immigration,security,0.1090741782936485,-0.013391966373473396,12.28
art_086,0.1871238867764942,AWS,sentence_context_projection,gpt-5-5,Le Monde,immigration,neutral,0.2104702706987761,-0.023346383922281916,11.09
art_088,0.1728541152841081,AWS,sentence_context_projection,gpt-5-5,The Guardian,immigration,humanitarian,0.2716295305479557,-0.09877541526384759,36.36
art_089,0.0167076453397609,AWS,sentence_context_projection,gpt-5-5,Al Jazeera,immigration,neutral,0.0348734472541425,-0.0181658019143816,52.09
art_091,0.0560954366869453,AWS,sentence_context_projection,gpt-5-5,Global Times,immigration,neutral,0.0500037191382751,0.006091717548670196,-12.18
art_092,0.0336902696281488,AWS,sentence_context_projection,gpt-5-5,Global Times,immigration,neutral,0.0342442679355687,-0.000553998307419902,1.62
art_113,0.2371888899917914,AWS,sentence_context_projection,gpt-5-5,Daily Maverick,political conflict,people-centric,0.2232493015811045,0.013939588410686904,-6.24
art_114,0.0619513523725434,AWS,sentence_context_projection,gpt-5-5,RT News,political conflict,neutral,0.0840910119194555,-0.022139659546912105,26.33
art_118,0.112974487425465,AWS,sentence_context_projection,gpt-5-5,Reuters,political conflict,neutral,0.0682375145263239,0.044736972899141095,-65.56
art_125,0.1303343579912894,AWS,sentence_context_projection,gpt-5-5,The Hindu,political conflict,people-centric,0.2819351452634739,-0.1516007872721845,53.77
art_130,0.0774451213049463,AWS,sentence_context_projection,gpt-5-5,Reuters,political conflict,neutral,0.0522702528255502,0.025174868479396095,-48.16
art_135,0.1616960909849013,AWS,sentence_context_projection,gpt-5-5,Global Times,political conflict,state-centric,0.1764423805802428,-0.014746289595341522,8.36
art_171,0.0107931671276426,AWS,sentence_context_projection,gpt-5-5,Xinhua,political conflict,state-centric,0.0088072391469493,0.001985927980693301,-22.55
art_178,0.064645612885162,AWS,sentence_context_projection,gpt-5-5,Fox News,environment,skeptical,0.0910050472642379,-0.026359434379075897,28.96
art_184,0.0749012957998152,AWS,sentence_context_projection,gpt-5-5,News24,environment,neutral,0.0699796033808606,0.004921692418954612,-7.03
art_187,0.0311020987644522,AWS,sentence_context_projection,gpt-5-5,South China Morning Post,environment,concern,0.0547476587798101,-0.023645560015357902,43.19
art_190,0.0751838354218751,AWS,sentence_context_projection,gpt-5-5,South China Morning Post,environment,concern,0.1462838354218751,-0.0711,48.6
art_197,0.243396003561998,AWS,sentence_context_projection,gpt-5-5,Le Monde,environment,neutral,0.3101944841269433,-0.06679848056494528,21.53
art_201,0.4129947209961246,AWS,sentence_context_projection,gpt-5-5,Reuters,environment,concern,0.2887285442199996,0.124266176776125,-43.04
art_204,0.0548463800017957,AWS,sentence_context_projection,gpt-5-5,Global Times,environment,neutral,0.1170685152311316,-0.062222135229335895,53.15
art_209,0.1200128734247459,AWS,sentence_context_projection,gpt-5-5,CNN,environment,concern,0.2510100659197933,-0.1309971924950474,52.19
art_210,0.1556741786834616,AWS,sentence_context_projection,gpt-5-5,Le Monde,environment,concern,0.1378522735304199,0.01782190515304169,-12.93
art_212,0.240093028318153,AWS,sentence_context_projection,gpt-5-5,Reuters,environment,concern,0.1917646706663848,0.04832835765176818,-25.2
art_213,0.0776710278006274,AWS,sentence_context_projection,gpt-5-5,RT News,environment,skeptical,0.4348569418021644,-0.357185914001537,82.14
art_214,0.5265335490724722,AWS,sentence_context_projection,gpt-5-5,Al Jazeera,environment,concern,0.366434644853927,0.16009890421854517,-43.69
art_215,0.0884263573090175,AWS,sentence_context_projection,gpt-5-5,Reuters,environment,concern,0.0999413766768317,-0.011515019367814197,11.52
art_218,0.2621090872096546,AWS,sentence_context_projection,gpt-5-5,Fox News,environment,skeptical,0.2679850609189813,-0.005875973709326687,2.19
art_219,0.2234889977612484,AWS,sentence_context_projection,gpt-5-5,Global Times,environment,neutral,0.2112522817350394,0.012236716026208988,-5.79
art_222,0.0393719447520251,AWS,sentence_context_projection,gpt-5-5,The Guardian,environment,concern,0.1487489992903545,-0.10937705453832941,73.53
art_223,0.2601285364543859,AWS,sentence_context_projection,gpt-5-5,Le Monde,environment,concern,0.2644363935509269,-0.0043078570965410234,1.63
art_224,0.4771909712499122,AWS,sentence_context_projection,gpt-5-5,News24,environment,neutral,0.5710401466178495,-0.0938491753679373,16.43
art_225,0.1184515339158939,AWS,sentence_context_projection,gpt-5-5,The Hindu,environment,concern,0.3299420084184191,-0.21149047450252517,64.1
art_230,0.0713339919744092,AWS,sentence_context_projection,gpt-5-5,Le Monde,environment,concern,0.0151565750760425,0.05617741689836671,-370.65
art_231,0.111867768988572,AWS,sentence_context_projection,gpt-5-5,Fox News,environment,concern,0.1149626203742002,-0.0030948513856282056,2.69
art_232,0.0670341602877439,AWS,sentence_context_projection,gpt-5-5,Straits Times,environment,neutral,0.5226968932975548,-0.45566273300981086,87.18
art_001,0.0679487179487179,Google,native_entity_sentiment,gemini-2.5-pro,Fox News,immigration,security,0.0644578313253012,0.0034908866234167057,-5.42
art_017,0.2823529411764706,Google,native_entity_sentiment,gemini-2.5-pro,France 24,immigration,neutral,0.3813664596273292,-0.0990135184508586,25.96
art_018,0.2826923076923077,Google,native_entity_sentiment,gemini-2.5-pro,The Guardian,immigration,humanitarian,0.3928571428571429,-0.11016483516483522,28.04
