article_id,model,cosine_similarity,above_threshold,original_word_count,neutralised_word_count,word_count_change_pct,bertscore_p,bertscore_r,bertscore_f1,topic_original,topic_neutralised,topic_preserved,summary_original,summary_neutralised,summary_bertscore_f1
art_224,gpt-5-5,0.9746,True,658,654,-0.6,0.9006,0.8913,0.8961,environment,environment,True,Thousands of people have been evacuated from their homes in Los Angeles as wildfires continue to ravage the Pacific Coast Highway and the majority of the Pacific Palisades.,"Los Angeles have left more than a million people homeless, with more than a million people in evacuation zones, according to the Los Angeles Times.",0.2429
art_224,gemini-2.5-pro,0.9611,True,658,608,-7.6,0.6403,0.6259,0.6337,environment,environment,True,Thousands of people have been evacuated from their homes in Los Angeles as wildfires continue to ravage the Pacific Coast Highway and the majority of the Pacific Palisades.,"Paris Hilton, Billy Crystal, Eugene Levy, Anna Faris, Anthony Hopkins, Spencer Pratt and Heidi Montag, Diane Warren, James Woods, and Melissa Rivers are among the celebrities who have lost their homes.",-0.1301
art_218,gpt-4o,0.8815,True,702,523,-25.5,0.5006,0.4303,0.4661,political conflict,political conflict,True,"""Climate change is real, not 'a hoax.' Donald Trump must treat this like the existential crisis it is,"" Sanders declared in a post on X.","California Gov. Gavin Newsom should resign, because people are literally fleeing, and it's ashes, and Gavin Newscum should resign.",0.0621
art_218,gpt-5-5,0.9797,True,702,697,-0.7,0.7684,0.7228,0.7459,political conflict,political conflict,True,"""Climate change is real, not 'a hoax.' Donald Trump must treat this like the existential crisis it is,"" Sanders declared in a post on X.","Sen. Bernie Sanders, I-Vt., is facing criticism for comments linking the fires to climate change. He said that ""Climate change is real"" and that President-elect Trump must address the ""existential crisis.""",0.3034
art_218,gemini-2.5-pro,0.9829,True,702,701,-0.1,0.8972,0.8834,0.8905,political conflict,political conflict,True,"""Climate change is real, not 'a hoax.' Donald Trump must treat this like the existential crisis it is,"" Sanders declared in a post on X.","""Climate change is real, not 'a hoax.' Donald Trump must treat this like the existential crisis it is,"" Sanders wrote in a post.",0.9232
art_213,gpt-4o,0.8687,True,480,323,-32.7,0.4761,0.4262,0.4519,political conflict,political conflict,True,US Conservatives have attributed the Los Angeles Fire Department’s difficulties in preventing the raging infernos that have devastated the city over the past week to failed diversity policies.,"The Los Angeles Fire Department’s response to the wildfires has been criticized by US conservatives, including Donald Trump Jr. on X.",0.4076
art_213,gpt-5-5,0.951,True,480,476,-0.8,0.8225,0.8262,0.8246,political conflict,political conflict,True,US Conservatives have attributed the Los Angeles Fire Department’s difficulties in preventing the raging infernos that have devastated the city over the past week to failed diversity policies.,US conservatives have attributed the Los Angeles Fire Department’s difficulties in responding to the wildfires that have affected the city over the past week to diversity policies.,0.7899
art_213,gemini-2.5-pro,0.8814,True,480,374,-22.1,0.56,0.5323,0.5469,political conflict,political conflict,True,US Conservatives have attributed the Los Angeles Fire Department’s difficulties in preventing the raging infernos that have devastated the city over the past week to failed diversity policies.,"The Los Angeles Fire Department’s response to the wildfires in California has been criticized by some conservatives, including Donald Trump Jr., who has suggested the department’s focus on diversity, equity and inclusion (DEI).",0.3215
art_214,gpt-4o,0.9945,True,1408,1365,-3.1,0.8297,0.8211,0.8257,environment,environment,True,"At least 10 people have been killed and some 10,000 homes and other buildings have been burned in wildfires that have ravaged multiple parts of Los Angeles in California.","California’s wildfires – and why have they spread so quickly – prompting the evacuation of about 180,000 people. The first fire started in the Pacific Palisades neighborhood of Los Angeles on Tuesday.",0.2383
art_214,gpt-5-5,0.9987,True,1408,1416,0.6,0.9675,0.9684,0.968,environment,environment,True,"At least 10 people have been killed and some 10,000 homes and other buildings have been burned in wildfires that have ravaged multiple parts of Los Angeles in California.","At least 10 people have been killed and some 10,000 homes and other buildings have been burned in wildfires that have affected multiple parts of Los Angeles in California – the most populous state of the United States",0.8288
art_214,gemini-2.5-pro,0.9963,True,1408,1380,-2.0,0.8549,0.8494,0.8524,environment,environment,True,"At least 10 people have been killed and some 10,000 homes and other buildings have been burned in wildfires that have ravaged multiple parts of Los Angeles in California.","At least 10 people have been killed and some 10,000 homes and other buildings have been burned in wildfires in multiple parts of Los Angeles in California – the most populous state of the United States.",0.8325
art_204,gpt-4o,0.9975,True,527,526,-0.2,0.9181,0.9267,0.9225,environment,environment,True,"China has sent the largest number of rescue teams and personnel to assist in local disaster relief efforts, according to data released by the China International Development Cooperation Agency (CIDCA) on Wednesday.","Epidemic prevention and loss assessment, a spokesperson for the China International Development Cooperation Agency (CIDCA) said Wednesday, according to data released by the China International Development Cooperation Agency (CIDCA).",0.4754
art_204,gpt-5-5,0.9955,True,527,515,-2.3,0.8782,0.9021,0.8903,environment,environment,True,"China has sent the largest number of rescue teams and personnel to assist in local disaster relief efforts, according to data released by the China International Development Cooperation Agency (CIDCA) on Wednesday.","China has sent the largest number of rescue teams and personnel to assist in local disaster relief efforts, according to data released by the China International Development Cooperation Agency (CIDCA).",0.9441
art_204,gemini-2.5-pro,0.9862,True,527,472,-10.4,0.8117,0.7859,0.7991,environment,environment,True,"China has sent the largest number of rescue teams and personnel to assist in local disaster relief efforts, according to data released by the China International Development Cooperation Agency (CIDCA) on Wednesday.","China has sent the largest number of rescue teams and personnel to Myanmar, according to data released by the China International Development Cooperation Agency (CIDCA).",0.8038
art_001,gpt-4o,0.9375,True,720,676,-6.1,0.6723,0.6516,0.6625,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"South Korea's foreign ministry expressed ""concern and regret"" over the operation at a battery plant construction site in Ellabell, Georgia.",0.1588
art_001,gpt-5-5,0.9572,True,720,722,0.3,0.7597,0.7725,0.7665,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"U.S. citizens' rights,"" said a rep for South Korea's foreign ministry, according to a statement from the U.S. Department of Homeland Security.",0.0798
art_001,gemini-2.5-pro,0.9381,True,720,667,-7.4,0.7798,0.725,0.7527,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"Immigration and Customs Enforcement"" were involved in the arrest of 475 individuals during an immigration enforcement action at a Hyundai electric car battery factory construction site in Georgia.",0.5674
art_187,gpt-4o,0.9247,True,237,216,-8.9,0.6261,0.5776,0.6024,political conflict,political conflict,True,China has shifted from being the world’s worst polluter to the biggest power everyone’s now counting on to steer the fight against global warming.,"Beijing has transitioned from being a major polluter to a significant influence in global efforts to address climate change. With the possibility of the United States withdrawing from the Paris climate agreement under President Donald Trump, China is positioned to play a leading role internationally.",0.4418
art_187,gpt-5-5,0.9734,True,237,233,-1.7,0.9119,0.887,0.8996,political conflict,political conflict,True,China has shifted from being the world’s worst polluter to the biggest power everyone’s now counting on to steer the fight against global warming.,"China has shifted from being the world’s largest emitter to a major power expected to guide international efforts on global warming. But with US President Donald Trump on the verge of pulling out of the historic climate deal, it is now positioned to take a leading global role.",0.5261
art_187,gemini-2.5-pro,0.8714,True,237,185,-21.9,0.5823,0.4486,0.5154,political conflict,political conflict,True,China has shifted from being the world’s worst polluter to the biggest power everyone’s now counting on to steer the fight against global warming.,"China and the U.S. have differing approaches to climate change, according to a new report from the U.S. Environmental Protection Agency.",0.3142
art_076,gpt-4o,0.9196,True,669,534,-20.2,0.5319,0.5152,0.5243,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","Donald Trump's proposal to end birthright citizenship is being debated by the US Supreme Court, with the president attending the oral arguments, according to the Washington Post.",0.1372
art_076,gpt-5-5,0.9828,True,669,697,4.2,0.7323,0.7671,0.7501,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","The US Supreme Court has ruled that birthright citizenship is unconstitutional, despite the president's decision not to attend oral arguments.",0.1575
art_076,gemini-2.5-pro,0.9219,True,669,598,-10.6,0.6238,0.6306,0.6278,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","Birthright citizenship is a ""powerful pull factor for illegal immigration and rewards illegal aliens who not only violate the immigration laws but also jump in front of those who follow the rules"".",0.1114
art_197,gpt-4o,0.96,True,668,550,-17.7,0.6082,0.6056,0.6076,environment,environment,True,"A 7.7 magnitude temblor rocked Thailand and neighboring Myanmar at midday on Friday, killing at least three people in Bangkok and burying dozens when a high-rise building under construction collapsed.","At least 144 people were reported dead, leading the country's junta chief to invite international assistance for relief efforts, the Red Cross said.",0.1171
art_197,gpt-5-5,0.9806,True,668,664,-0.6,0.8854,0.8974,0.8915,environment,environment,True,"A 7.7 magnitude temblor rocked Thailand and neighboring Myanmar at midday on Friday, killing at least three people in Bangkok and burying dozens when a high-rise building under construction collapsed.","A 7.7 magnitude earthquake struck Thailand and neighboring Myanmar at midday on Friday, killing at least three people in Bangkok and trapping dozens when a high-rise building under construction collapsed.",0.8675
art_197,gemini-2.5-pro,0.9507,True,668,595,-10.9,0.684,0.6427,0.6638,environment,environment,True,"A 7.7 magnitude temblor rocked Thailand and neighboring Myanmar at midday on Friday, killing at least three people in Bangkok and burying dozens when a high-rise building under construction collapsed.","At least three people were killed in Bangkok and a high-rise building collapsed, officials said Friday, citing preliminary data from the US Geological Survey and Germany's GFZ.",0.3214
art_184,gpt-4o,0.9921,True,121,120,-0.8,0.9489,0.9309,0.94,political conflict,political conflict,True,"US President Donald Trump said he will withdraw from the 2015 Paris accord and try to negotiate a new global deal on climate change, a move that he has criticized as unfair.",US President Donald Trump announced Thursday that the United States will withdraw from the 2015 Paris accord and seek to negotiate a new global agreement on climate change.,0.7585
art_184,gpt-5-5,0.994,True,121,121,0.0,0.9813,0.9754,0.9784,political conflict,political conflict,True,"US President Donald Trump said he will withdraw from the 2015 Paris accord and try to negotiate a new global deal on climate change, a move that he has criticized as unfair.","US President Donald Trump said he will withdraw from the 2015 Paris accord and try to negotiate a new global deal on climate change, a move that he described as ""great"" and ""fine"".",0.7775
art_184,gemini-2.5-pro,0.9881,True,121,120,-0.8,0.9531,0.9425,0.9479,political conflict,political conflict,True,"US President Donald Trump said he will withdraw from the 2015 Paris accord and try to negotiate a new global deal on climate change, a move that he has criticized as unfair.",US President Donald Trump announced Thursday that the United States will withdraw from the 2015 Paris accord and seek to negotiate a new global agreement on climate change.,0.7585
art_201,gpt-4o,0.9437,True,472,422,-10.6,0.6403,0.629,0.6352,political conflict,political conflict,True,"Burma’s military-led government announced that the death toll from Friday’s 7.7 magnitude earthquake rose to 3,085, while 4,715 people were injured and another 341 are missing.","The death toll from Friday’s 7.7 magnitude earthquake in Burma has increased to 3,085, with 4,715 people injured and 341 missing.",0.8063
art_201,gpt-5-5,0.9954,True,472,470,-0.4,0.9187,0.9247,0.9218,political conflict,environment,False,"Burma’s military-led government announced that the death toll from Friday’s 7.7 magnitude earthquake rose to 3,085, while 4,715 people were injured and another 341 are missing.","More than 3,000 people have now died from the 7.7 magnitude earthquake that struck Burma last week, damaging thousands of buildings and worsening the humanitarian situation in the country.",0.4199
art_201,gemini-2.5-pro,0.9649,True,472,440,-6.8,0.7615,0.7093,0.7357,political conflict,political conflict,True,"Burma’s military-led government announced that the death toll from Friday’s 7.7 magnitude earthquake rose to 3,085, while 4,715 people were injured and another 341 are missing.","More than 3,000 people have died from the 7.7 magnitude earthquake that struck Burma last week, which damaged thousands of buildings and contributed to the existing humanitarian situation in the country.",0.4035
art_223,gpt-4o,0.7803,False,1285,430,-66.5,0.2204,0.1741,0.1984,environment,political conflict,False,"Los Angeles is surrounded by fire. The film capital's legendary landmarks are engulfed in flames that firefighters can no longer control. By the morning of Thursday, January 9, the four or five fires in progress in the county – counting has become difficult – had claimed five lives, caused the evacuation of more than 130,000 people and destroying more than 1,900 buildings, some of them part of the city's iconic heritage.","Los Angeles is currently surrounded by fire. By the morning of Thursday, January 9, several fires in the county had resulted in five fatalities, the evacuation of more than 130,000 people, and the destruction of over 1,900 buildings, including some of the city's notable sites.",0.6013
art_223,gpt-5-5,0.9734,True,1285,1271,-1.1,0.8073,0.7894,0.7987,environment,environment,True,"Los Angeles is surrounded by fire. The film capital's legendary landmarks are engulfed in flames that firefighters can no longer control. By the morning of Thursday, January 9, the four or five fires in progress in the county – counting has become difficult – had claimed five lives, caused the evacuation of more than 130,000 people and destroying more than 1,900 buildings, some of them part of the city's iconic heritage.","By the morning of Thursday, the four or five fires in progress in the county – counts varied – had claimed five lives, caused the evacuation of more than 130,000 people and destroyed more than 1,900 buildings, some of them part of the city's well-known heritage.",0.6255
art_223,gemini-2.5-pro,0.7535,False,1285,932,-27.5,0.3615,0.319,0.3412,environment,environment,True,"Los Angeles is surrounded by fire. The film capital's legendary landmarks are engulfed in flames that firefighters can no longer control. By the morning of Thursday, January 9, the four or five fires in progress in the county – counting has become difficult – had claimed five lives, caused the evacuation of more than 130,000 people and destroying more than 1,900 buildings, some of them part of the city's iconic heritage.","Los Angeles County officials say four or five fires in the county have resulted in five deaths, the evacuation of more than 130,000 people, and the destruction of more than 1,900 buildings.",0.488
art_118,gpt-4o,0.9585,True,575,544,-5.4,0.6219,0.5745,0.5988,political conflict,political conflict,True,"ANKARA/ROME, Oct 4- Some 137 activists detained by Israel for taking part in a flotilla seeking aid to Gaza arrived in Turkey on Saturday after being deported, with two alleging that Swedish campaigner Greta Thunberg was mistreated during her detention.","ANKARA/ROME, Oct 4- A group of 137 activists detained by Israel for participating in a flotilla aimed at delivering aid to Gaza arrived in Turkey on Saturday following their deportation.",0.6852
art_118,gpt-5-5,0.9928,True,575,589,2.4,0.7949,0.7951,0.7953,political conflict,political conflict,True,"ANKARA/ROME, Oct 4- Some 137 activists detained by Israel for taking part in a flotilla seeking aid to Gaza arrived in Turkey on Saturday after being deported, with two alleging that Swedish campaigner Greta Thunberg was mistreated during her detention.","ANKARA/ROME, Oct 4- Some 137 activists detained by Israel for taking part in a flotilla seeking aid to Gaza arrived in Turkey on Saturday after being deported, with two alleging that Swedish campaigner Greta Thunberg was mistreated during her detention.",1.0
art_118,gemini-2.5-pro,0.9692,True,575,575,0.0,0.7289,0.6984,0.714,political conflict,political conflict,True,"ANKARA/ROME, Oct 4- Some 137 activists detained by Israel for taking part in a flotilla seeking aid to Gaza arrived in Turkey on Saturday after being deported, with two alleging that Swedish campaigner Greta Thunberg was mistreated during her detention.","ANKARA/ROME, Oct 4- Some 137 individuals detained by Israel for taking part in a flotilla seeking aid to Gaza arrived in Turkey on Saturday after being deported, with two alleging that Swedish campaigner Greta Thunberg was mistreated during her detention. Israel did not immediately comment on the allegations, but its foreign ministry earlier described reports that detainees had been mistreated as ""complete lies"".",0.8145
art_222,gpt-4o,0.8949,True,909,550,-39.5,0.3465,0.3285,0.3386,environment,environment,True,"The Palisades and Eaton fires are a watershed moment, not just for residents of LA, but emblematic of a new era of complex, compound climate disaster.","The Palisades and Eaton fires are now the most destructive in Los Angeles history, with hundreds of homes and structures destroyed, and municipal water supplies depleted.",0.3654
art_222,gpt-5-5,0.9813,True,909,908,-0.1,0.8725,0.8884,0.8806,environment,environment,True,"The Palisades and Eaton fires are a watershed moment, not just for residents of LA, but emblematic of a new era of complex, compound climate disaster.","The Palisades and Eaton fires in Los Angeles have each burned more than 10,000 acres and remain completely uncontained. The Palisades fire now ranks as the most destructive in Los Angeles history with hundreds of homes and other structures destroyed and damage so extensive that it exhausted municipal water supplies.",0.2017
art_222,gemini-2.5-pro,0.9556,True,909,832,-8.5,0.7246,0.7053,0.7154,environment,environment,True,"The Palisades and Eaton fires are a watershed moment, not just for residents of LA, but emblematic of a new era of complex, compound climate disaster.","The Palisades and Eaton fires have each burned more than 10,000 acres and remain uncontained. The Palisades fire now ranks as the most destructive in Los Angeles history with hundreds of homes and other structures destroyed and damage extensive enough that it has strained municipal water supplies.",0.2033
art_072,gpt-4o,0.9014,True,1453,760,-47.7,0.5366,0.4997,0.5189,political conflict,political conflict,True,U.S. citizen who is a legal permanent resident of the U.S. or a legal permanent resident of the U.S. who is a citizen of another country.,Supreme Court justices about the legality of President Trump's executive order to restrict birthright citizenship in the U.S. This directive is part of his immigration policy that would alter the interpretation of a constitutional provision.,0.0832
art_072,gpt-5-5,0.9781,True,1453,1486,2.3,0.8196,0.815,0.8176,political conflict,political conflict,True,U.S. citizen who is a legal permanent resident of the U.S. or a legal permanent resident of the U.S. who is a citizen of another country.,U.S. citizens born in the U.S. are not eligible for citizenship under the U.S. Constitution's 14th Amendment.,0.35
art_088,gpt-4o,0.9032,True,959,798,-16.8,0.5444,0.5527,0.5493,political conflict,political conflict,True,"Germany’s far-right Alternative für Deutschland (AfD) has emerged as a formidable threat to the far-right party, with the CDU and AfD gaining a large share of the vote.","AfD is the ridiculous monster our period needs to have,” said Willi Schultz, referring to the far-right Alternative für Deutschland (AfD).",0.3529
art_088,gpt-5-5,0.9792,True,959,935,-2.5,0.837,0.8526,0.845,political conflict,political conflict,True,"Germany’s far-right Alternative für Deutschland (AfD) has emerged as a formidable threat to the far-right party, with the CDU and AfD gaining a large share of the vote.","Germany’s Tiergarten to celebrate the results of the far-right far-right party’s election, but many Germans are still reeling from the loss of the golden statue of the Siege Column.",0.1993
art_088,gemini-2.5-pro,0.9549,True,959,933,-2.7,0.8582,0.8497,0.8542,political conflict,political conflict,True,"Germany’s far-right Alternative für Deutschland (AfD) has emerged as a formidable threat to the far-right party, with the CDU and AfD gaining a large share of the vote.","The far-right Alternative für Deutschland (AfD) has won a landslide victory in the German parliamentary election, bringing the far-right party’s share of the vote to 29%.",0.5953
art_057,gpt-4o,0.9539,True,865,663,-23.4,0.5724,0.561,0.5674,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court has agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a case that could significantly affect the lives of many Americans and lawful U.S. residents.",0.8637
art_057,gpt-5-5,0.9886,True,865,842,-2.7,0.8005,0.8334,0.8172,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a case that could affect millions of Americans.",0.8086
art_057,gemini-2.5-pro,0.9815,True,865,785,-9.2,0.7699,0.779,0.7748,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court on Friday agreed to review the legality of an executive order from President Donald Trump concerning birthright citizenship in the U.S., a case that could affect the status of people born in the country.",0.6905
art_079,gpt-4o,0.9672,True,324,285,-12.0,0.7608,0.5994,0.6795,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","""LOOKS LIKE THE CONSERVATIVE PARTY IN GERMANY HAS WON THE VERY BIG AND HIGHLY ANTICIPATED ELECTION,"" Trump wrote in a post on Truth Social.",-0.0334
art_079,gpt-5-5,0.9871,True,324,324,0.0,0.8734,0.8123,0.843,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","German opposition leader Friedrich Merz says he has won a national election, defeating Social Democrat incumbent Chancellor Olaf Scholz.",0.7252
art_079,gemini-2.5-pro,0.9572,True,324,298,-8.0,0.7271,0.5731,0.6496,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","""LOOKS LIKE THE CONSERVATIVE PARTY IN GERMANY HAS WON THE VERY BIG AND HIGHLY ANTICIPATED ELECTION,"" Trump wrote in a post on Truth Social.",-0.0334
art_058,gpt-4o,0.9878,True,266,246,-7.5,0.6915,0.7277,0.71,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court agreed to review the legality of US President Donald Trump’s directive to limit birthright citizenship in the United States, a part of his immigration policy.",0.8006
art_058,gpt-5-5,0.995,True,266,263,-1.1,0.857,0.8813,0.8693,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court agreed to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a step that would change how a 19th-century constitutional provision has long been interpreted.",0.6346
art_058,gemini-2.5-pro,0.9791,True,266,256,-3.8,0.7951,0.7681,0.7819,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court will decide the legality of US President Donald Trump’s executive order restricting birthright citizenship in the United States, a move that would affect the interpretation of a 19th-century constitutional provision.",0.5951
art_178,gpt-4o,0.9876,True,737,684,-7.2,0.763,0.7821,0.7729,political conflict,political conflict,True,"President Trump's resignation from the Paris climate accord, which he said is ""very unfair at the highest level to the U.S..""","President Trump announced Thursday that his administration will pull out of the Paris climate accord, the world’s second-largest emitter of carbon and the world’s second-largest emitter of carbon.",0.2014
art_178,gpt-5-5,0.9888,True,737,741,0.5,0.7802,0.8134,0.7971,political conflict,political conflict,True,"President Trump's resignation from the Paris climate accord, which he said is ""very unfair at the highest level to the U.S..""","President Trump’s decision to withdraw from the Paris climate accord is consistent with Republican opposition to the global climate deal, drawing criticism from world leaders and members of the scientific community.",0.3191
art_178,gemini-2.5-pro,0.9697,True,737,675,-8.4,0.7873,0.7769,0.7824,political conflict,political conflict,True,"President Trump's resignation from the Paris climate accord, which he said is ""very unfair at the highest level to the U.S..""","President Trump announced Thursday that his administration will withdraw from the Paris climate accord. “So we’re getting out,” Trump said. “The Paris accord is very unfair at the highest level to the United States.”",0.5846
art_113,gpt-4o,0.8751,True,595,439,-26.2,0.438,0.4408,0.4403,political conflict,political conflict,True,"South African law) must be released immediately, says the South African Humanitarian Flotilla, which has been hijacked by the Israeli military.",South Africans have joined the Global Sumud Flotilla to address the humanitarian situation in the region and the humanitarian situation in the region.,0.2313
art_113,gpt-5-5,0.9805,True,595,605,1.7,0.9084,0.9074,0.9081,political conflict,political conflict,True,"South African law) must be released immediately, says the South African Humanitarian Flotilla, which has been hijacked by the Israeli military.","Global Sumud Flotilla, a humanitarian flotilla launched by South Africans to challenge the siege of Gaza and address starvation of Palestinians.",0.2411
