article_id,model,IPSV_after,IPSV_before,outlet,topic,frame,IPSV_change,IPSV_reduction_pct,cosine_similarity,above_threshold,original_word_count,neutralised_word_count,word_count_change_pct,bertscore_p,bertscore_r,bertscore_f1,topic_original,topic_neutralised,topic_preserved,summary_original,summary_neutralised,summary_bertscore_f1,AWS_before,AWS_after,Google_before,Google_after,Azure_before,Azure_after,lfi_before,lfi_after,abs_lfi_before,abs_lfi_after,IAEI_before_avg,IAEI_after_avg
art_031,gpt-4o,0.6398036831680447,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.33581900409237986,34.42,0.8928,True,1751,712,-59.3,0.2915,0.2814,0.2876,political conflict,political conflict,True,Thousands of people are stranded in freezing conditions along the border amid a standoff between Warsaw and Minsk. Warsaw and its allies are ramping up efforts to prevent people from entering the European Union member state as a war of words with Minsk intensifies.,The migrant situation at Poland’s border with Belarus is intensifying as more individuals attempt to cross the border. Warsaw and its allies are increasing efforts to prevent entry into the European Union member state as discussions with Minsk continue.,0.5698,0.0073,-0.1093,-0.5,-0.3,-0.71,-0.55,0.8276,0.4545,0.8276,0.4545,0.24932078485229173,0.22650475781948867
art_031,gpt-5-5,0.8289591937624343,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.14666349349799024,15.03,0.9816,True,1751,1728,-1.3,0.8961,0.9011,0.8988,political conflict,political conflict,True,Thousands of people are stranded in freezing conditions along the border amid a standoff between Warsaw and Minsk. Warsaw and its allies are ramping up efforts to prevent people from entering the European Union member state as a war of words with Minsk intensifies.,The months-long migrant crisis along Poland’s border with Belarus is continuing as more people attempt to cross the border. Warsaw and its allies are increasing efforts to prevent people from entering the EU member state as tensions with Minsk continue.,0.5927,0.0073,-0.0572,-0.5,-0.5,-0.71,-0.68,0.8276,0.8182,0.8276,0.8182,0.24932078485229173,0.2533784527232601
art_051,gemini-2.5-pro,0.5814059158331155,1.088115458573165,The Hindu,immigration,neutral,-0.5067095427400494,46.57,0.9748,True,222,199,-10.4,0.8393,0.7358,0.7874,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,"Polish border forces say migrants threw stones at them at the border with Belarus and that the forces used water cannons against them, police say.",0.5639,-0.0508,-0.0231,-0.6,-0.4,-0.8,-0.89,1.0,0.0,1.0,0.0,0.28011135348414345,0.34527207785981046
art_051,gpt-4o,0.47600254585602275,1.088115458573165,The Hindu,immigration,neutral,-0.6121129127171422,56.25,0.9695,True,222,200,-9.9,0.7013,0.6216,0.6617,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,"Polish border forces reported on Tuesday that they were targeted with stones by migrants at the border with Belarus, and responded by using water cannons.",0.6355,-0.0508,-0.0393,-0.6,-0.4,-0.8,-0.68,1.0,0.0,1.0,0.0,0.28011135348414345,0.2689820999130321
art_051,gpt-5-5,0.47679571102155205,1.088115458573165,The Hindu,immigration,neutral,-0.6113197475516129,56.18,0.989,True,222,212,-4.5,0.8071,0.8295,0.8186,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,"Polish border forces on Tuesday said migrants at the border with Belarus threw stones at them and that they responded by using water cannons. The situation marks an escalation in a migration and political border crisis involving European Union countries, with thousands of migrants affected.",0.7735,-0.0508,-0.023,-0.6,-0.4,-0.8,-0.73,1.0,1.0,1.0,1.0,0.28011135348414345,0.2517445971751277
art_052,gemini-2.5-pro,0.5503600014739406,1.088115458573165,The Hindu,immigration,neutral,-0.5377554570992243,49.42,0.9687,True,222,191,-14.0,0.8263,0.7089,0.7674,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,"Polish border forces say migrants threw stones at them at the border with Belarus and that they responded by using water cannons, police say.",0.587,-0.0508,-0.0262,-0.6,-0.4,-0.8,-0.88,1.0,0.0,1.0,0.0,0.28011135348414345,0.3132791139936613
art_052,gpt-4o,0.44189252268200047,1.088115458573165,The Hindu,immigration,neutral,-0.6462229358911644,59.39,0.9703,True,222,199,-10.4,0.7444,0.6686,0.7067,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,Polish border forces on Tuesday reported being targeted with stones by migrants at the border with Belarus and responded by using water cannons. The Border Guard agency shared a video on Twitter showing a water cannon being directed across the border at a group of migrants in a makeshift camp.,0.505,-0.0508,-0.0419,-0.6,-0.4,-0.8,-0.7,1.0,0.0,1.0,0.0,0.28011135348414345,0.28490366296253344
art_052,gpt-5-5,1.1896039750797711,1.088115458573165,The Hindu,immigration,neutral,0.10148851650660617,-9.33,0.9851,True,222,214,-3.6,0.936,0.9108,0.9235,political conflict,political conflict,True,Polish border forces say they were attacked with stones by migrants at the border with Belarus and responded by using water cannons against them. The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake.,Polish border forces on Tuesday said migrants threw stones at them at the border with Belarus and that they responded by using water cannons. The Border Guard agency posted a video on Twitter showing a water cannon being directed across the border at a group of migrants in a makeshift camp.,0.4776,-0.0508,-0.0233,-0.6,-0.5,-0.8,-0.51,1.0,1.0,1.0,1.0,0.28011135348414345,0.2449685942051664
art_057,gemini-2.5-pro,0.6232793593959063,1.3780446364408965,Fox News,immigration,neutral,-0.7547652770449902,54.77,0.9815,True,865,785,-9.2,0.7699,0.779,0.7748,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court on Friday agreed to review the legality of an executive order from President Donald Trump concerning birthright citizenship in the U.S., a case that could affect the status of people born in the country.",0.6905,0.1684,0.008,-0.4,-0.4,-0.75,-0.79,-0.2,0.6,0.2,0.6,0.3317167918993604,0.3144113486729674
art_057,gpt-4o,0.3964865537836341,1.3780446364408965,Fox News,immigration,neutral,-0.9815580826572623,71.23,0.9539,True,865,663,-23.4,0.5724,0.561,0.5674,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court has agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a case that could significantly affect the lives of many Americans and lawful U.S. residents.",0.8637,0.1684,0.0157,-0.4,-0.3,-0.75,-0.75,-0.2,0.0,0.2,0.0,0.3317167918993604,0.3126004228867006
art_057,gpt-5-5,0.6615747102476652,1.3780446364408965,Fox News,immigration,neutral,-0.7164699261932312,51.99,0.9886,True,865,842,-2.7,0.8005,0.8334,0.8172,political conflict,political conflict,True,"The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the lives of millions of Americans and lawful U.S. residents.","The Supreme Court on Friday agreed to review the legality of President Trump's executive order to end birthright citizenship in the U.S., a case that could affect millions of Americans.",0.8086,0.1684,0.0226,-0.4,-0.3,-0.75,-0.86,-0.2,0.6667,0.2,0.6667,0.3317167918993604,0.30267520606541704
art_058,gemini-2.5-pro,0.6097367129994521,1.3331973532078871,South China Morning Post,immigration,humanitarian,-0.723460640208435,54.27,0.9791,True,266,256,-3.8,0.7951,0.7681,0.7819,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court will decide the legality of US President Donald Trump’s executive order restricting birthright citizenship in the United States, a move that would affect the interpretation of a 19th-century constitutional provision.",0.5951,0.0192,0.0052,-0.6,-0.4,-0.89,-0.79,0.3333,0.5,0.3333,0.5,0.3970633151088479,0.3633152354146943
art_058,gpt-4o,1.7022226299058372,1.3331973532078871,South China Morning Post,immigration,humanitarian,0.36902527669795004,-27.68,0.9878,True,266,246,-7.5,0.6915,0.7277,0.71,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court agreed to review the legality of US President Donald Trump’s directive to limit birthright citizenship in the United States, a part of his immigration policy.",0.8006,0.0192,0.0105,-0.6,-0.4,-0.89,-0.14,0.3333,0.5,0.3333,0.5,0.3970633151088479,0.18234292237078042
art_058,gpt-5-5,0.7676512738274777,1.3331973532078871,South China Morning Post,immigration,humanitarian,-0.5655460793804095,42.42,0.995,True,266,263,-1.1,0.857,0.8813,0.8693,immigration,immigration,True,"The US Supreme Court agreed on Friday to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a contentious part of his efforts to curb immigration","The US Supreme Court agreed to decide the legality of US President Donald Trump’s directive to restrict birthright citizenship in the United States, a step that would change how a 19th-century constitutional provision has long been interpreted.",0.6346,0.0192,0.0077,-0.6,-0.4,-0.89,-0.91,0.3333,0.5,0.3333,0.5,0.3970633151088479,0.35238330400787604
art_062,gemini-2.5-pro,0.26171664606883394,0.9673367741387564,Reuters,immigration,neutral,-0.7056201280699225,72.94,0.989,True,964,925,-4.0,0.7929,0.806,0.7998,political conflict,political conflict,True,The Supreme Court ruled that Trump's executive order to restrict birthright citizenship violated the U.S. Constitution's 14th Amendment and a federal law codifying birthright citizenship rights.,"The U.S. Supreme Court agreed Friday to decide the legality of President Trump's executive order to restrict birthright citizenship in the United States, a step that would address how a 19th century constitutional provision is understood.",0.4935,0.0122,0.0032,-0.5,-0.3,-0.84,-0.7,0.0909,0.3333,0.0909,0.3333,0.40482107558898006,0.2978782348209696
art_062,gpt-4o,0.3064643159414697,0.9673367741387564,Reuters,immigration,neutral,-0.6608724581972867,68.32,0.967,True,964,867,-10.1,0.6621,0.6608,0.662,political conflict,immigration,False,The Supreme Court ruled that Trump's executive order to restrict birthright citizenship violated the U.S. Constitution's 14th Amendment and a federal law codifying birthright citizenship rights.,Supreme Court will consider a Justice Department appeal of a lower court's decision that blocked Trump's executive order to limit birthright citizenship in the United States.,0.4691,0.0122,0.0156,-0.5,-0.3,-0.84,-0.68,0.0909,0.4,0.0909,0.4,0.40482107558898006,0.29951284003878836
art_062,gpt-5-5,0.3537716771271262,0.9673367741387564,Reuters,immigration,neutral,-0.6135650970116302,63.43,0.9964,True,964,973,0.9,0.8057,0.8117,0.809,political conflict,political conflict,True,The Supreme Court ruled that Trump's executive order to restrict birthright citizenship violated the U.S. Constitution's 14th Amendment and a federal law codifying birthright citizenship rights.,"Trump's executive order restricting birthright citizenship in the United States, a disputed element of his immigration policy agenda and a step that would change how a 19th century constitutional provision has long been applied.",0.3223,0.0122,0.0138,-0.5,-0.3,-0.84,-0.73,0.0909,0.2,0.0909,0.2,0.40482107558898006,0.3075581537410018
art_063,gemini-2.5-pro,1.118035801836205,0.9948637395106852,Al Jazeera,immigration,neutral,0.12317206232551992,-12.38,0.8657,True,603,526,-12.8,0.5741,0.5805,0.578,political conflict,political conflict,True,"The Supreme Court is likely to hear oral arguments early next year, with a ruling in June on a matter that has been blocked by several lower courts as being unconstitutional.","The US Supreme Court has agreed to hear oral arguments on the legality of an executive order by President Trump regarding birthright citizenship, citing constitutional concerns.",0.3002,-0.001,0.0063,-0.5,-0.5,-0.66,-0.58,-0.0769,0.25,0.0769,0.25,0.30889791597735644,0.3078111322221869
art_063,gpt-4o,1.7838633349366229,0.9948637395106852,Al Jazeera,immigration,neutral,0.7889995954259377,-79.31,0.9222,True,603,482,-20.1,0.4917,0.5117,0.5025,political conflict,political conflict,True,"The Supreme Court is likely to hear oral arguments early next year, with a ruling in June on a matter that has been blocked by several lower courts as being unconstitutional.","The Supreme Court has agreed to review the legality of President Donald Trump’s proposal to end birthright citizenship. This proposal is part of the administration’s broader immigration policy changes. The court, which announced its decision on Friday, has not yet scheduled oral arguments, but they are expected to occur early next year, with a ruling anticipated in June.",0.3499,-0.001,0.0036,-0.5,-0.4,-0.66,-0.11,-0.0769,0.3333,0.0769,0.3333,0.30889791597735644,0.17292477625298072
art_063,gpt-5-5,1.043276573200866,0.9948637395106852,Al Jazeera,immigration,neutral,0.04841283369018079,-4.87,0.9905,True,603,605,0.3,0.9156,0.9178,0.9169,political conflict,political conflict,True,"The Supreme Court is likely to hear oral arguments early next year, with a ruling in June on a matter that has been blocked by several lower courts as being unconstitutional.","The Supreme Court is likely to hear oral arguments early next year, with a ruling in June on a matter that has been blocked by several lower courts as unconstitutional.",0.9866,-0.001,0.0036,-0.5,-0.5,-0.66,-0.63,-0.0769,0.2,0.0769,0.2,0.30889791597735644,0.3148804552642854
art_065,gemini-2.5-pro,1.132952947203524,0.9961962227117837,Le Monde,immigration,neutral,0.13675672449174037,-13.73,0.976,True,493,482,-2.2,0.8817,0.8793,0.8807,political conflict,political conflict,True,"The Supreme Court has agreed to rule on the constitutionality of President Trump's attempt to end birthright citizenship,"" the court said in a ruling.","The United States Supreme Court has ruled that President Trump's executive order on birthright citizenship violates the 14th Amendment, which states that anyone born on US soil is an American citizen.",0.4049,0.0061,0.0063,-0.5,-0.5,-0.68,-0.57,0.25,0.4286,0.25,0.4286,0.33816741743208656,0.3098554957453043
art_065,gpt-4o,0.9715073025194835,0.9961962227117837,Le Monde,immigration,neutral,-0.02468892019230018,2.48,0.9833,True,493,480,-2.6,0.7933,0.8114,0.8027,political conflict,political conflict,True,"The Supreme Court has agreed to rule on the constitutionality of President Trump's attempt to end birthright citizenship,"" the court said in a ruling.","The United States Supreme Court has agreed to consider the constitutionality of President Donald Trump's initiative to end birthright citizenship, a decision expected in June.",0.6365,0.0061,0.0039,-0.5,-0.5,-0.68,-0.7,0.25,0.4286,0.25,0.4286,0.33816741743208656,0.3232671481124266
art_065,gpt-5-5,1.006346736930426,0.9961962227117837,Le Monde,immigration,neutral,0.010150514218642326,-1.02,0.9916,True,493,488,-1.0,0.8284,0.8451,0.837,political conflict,political conflict,True,"The Supreme Court has agreed to rule on the constitutionality of President Trump's attempt to end birthright citizenship,"" the court said in a ruling.","The Supreme Court has agreed to consider the constitutionality of President Trump's attempt to end birthright citizenship, a day after a federal judge ruled against the administration.",0.6719,0.0061,0.0029,-0.5,-0.5,-0.68,-0.66,0.25,0.4286,0.25,0.4286,0.33816741743208656,0.3182921921678972
art_070,gemini-2.5-pro,0.6383148914964903,1.117237878879702,CNN,immigration,neutral,-0.4789229873832116,42.87,0.9351,True,1992,1697,-14.8,0.6525,0.63,0.6418,political conflict,immigration,False,"Donald Trump’s push to end automatic birthright citizenship was met by a suspicious Supreme Court on Wednesday, with liberal and conservative justices raising tough questions about reimagining the way citizenship has been understood in the United States for more than a century.","The administration’s interpretation of “domicile” would have been understood in the 19th century when the amendment was framed, particularly since current immigration restrictions were not in place.",0.1282,0.0467,0.0156,-0.5,-0.4,-0.73,-0.74,0.5714,0.7778,0.5714,0.7778,0.2976012587995674,0.3043720642202045
art_070,gpt-4o,0.34912639004980633,1.117237878879702,CNN,immigration,neutral,-0.7681114888298957,68.75,0.9387,True,1992,527,-73.5,0.3896,0.3592,0.3754,political conflict,political conflict,True,"Donald Trump’s push to end automatic birthright citizenship was met by a suspicious Supreme Court on Wednesday, with liberal and conservative justices raising tough questions about reimagining the way citizenship has been understood in the United States for more than a century.","Supreme Court on Wednesday, examining the reinterpretation of citizenship as it has been understood in the United States for over a century.",0.4367,0.0467,0.0158,-0.5,-0.3,-0.73,-0.72,0.5714,1.0,0.5714,1.0,0.2976012587995674,0.2500384897763846
art_070,gpt-5-5,0.7860423118738429,1.117237878879702,CNN,immigration,neutral,-0.33119556700585906,29.64,0.9795,True,1992,1956,-1.8,0.8147,0.8443,0.8297,political conflict,political conflict,True,"Donald Trump’s push to end automatic birthright citizenship was met by a suspicious Supreme Court on Wednesday, with liberal and conservative justices raising tough questions about reimagining the way citizenship has been understood in the United States for more than a century.","Donald Trump’s attempt to end automatic birthright citizenship was met by a skeptical Supreme Court on Wednesday, with liberal and conservative justices asking questions about changing the way citizenship has been understood in the United States for more than a century.",0.858,0.0467,0.0477,-0.5,-0.4,-0.73,-0.74,0.5714,0.8,0.5714,0.8,0.2976012587995674,0.2840931060496959
art_072,gemini-2.5-pro,0.6588208856337628,1.4796873229322205,Reuters,immigration,neutral,-0.8208664372984577,55.48,0.9054,True,1453,701,-51.8,,,,,,,,,,0.0108,0.0016,-0.6,-0.4,-0.61,-0.62,0.2941,0.25,0.2941,0.25,0.32362148167292687,0.28256788026662377
art_072,gpt-4o,0.75311680234217,1.4796873229322205,Reuters,immigration,neutral,-0.7265705205900505,49.1,0.9014,True,1453,760,-47.7,0.5366,0.4997,0.5189,political conflict,political conflict,True,U.S. citizen who is a legal permanent resident of the U.S. or a legal permanent resident of the U.S. who is a citizen of another country.,Supreme Court justices about the legality of President Trump's executive order to restrict birthright citizenship in the U.S. This directive is part of his immigration policy that would alter the interpretation of a constitutional provision.,0.0832,0.0108,0.0228,-0.6,-0.4,-0.61,-0.59,0.2941,0.3333,0.2941,0.3333,0.32362148167292687,0.28934184507685684
art_072,gpt-5-5,0.8399613421027123,1.4796873229322205,Reuters,immigration,neutral,-0.6397259808295082,43.23,0.9781,True,1453,1486,2.3,0.8196,0.815,0.8176,political conflict,political conflict,True,U.S. citizen who is a legal permanent resident of the U.S. or a legal permanent resident of the U.S. who is a citizen of another country.,U.S. citizens born in the U.S. are not eligible for citizenship under the U.S. Constitution's 14th Amendment.,0.35,0.0108,-0.001,-0.6,-0.4,-0.61,-0.51,0.2941,0.3333,0.2941,0.3333,0.32362148167292687,0.26617020682208065
art_076,gemini-2.5-pro,0.24662896108753604,1.6372837882866134,News24,immigration,neutral,-1.3906548271990773,84.94,0.9219,True,669,598,-10.6,0.6238,0.6306,0.6278,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","Birthright citizenship is a ""powerful pull factor for illegal immigration and rewards illegal aliens who not only violate the immigration laws but also jump in front of those who follow the rules"".",0.1114,-0.0001,-0.0014,-0.7,-0.3,-0.81,-0.63,-0.2,0.1429,0.2,0.1429,0.31114437605600437,0.2959100098323318
art_076,gpt-4o,0.6203691331218225,1.6372837882866134,News24,immigration,neutral,-1.0169146551647907,62.11,0.9196,True,669,534,-20.2,0.5319,0.5152,0.5243,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","Donald Trump's proposal to end birthright citizenship is being debated by the US Supreme Court, with the president attending the oral arguments, according to the Washington Post.",0.1372,-0.0001,0.0005,-0.7,-0.4,-0.81,-0.65,-0.2,0.3333,0.2,0.3333,0.31114437605600437,0.29495126984601283
art_076,gpt-5-5,0.6175632335393282,1.6372837882866134,News24,immigration,neutral,-1.0197205547472852,62.28,0.9828,True,669,697,4.2,0.7323,0.7671,0.7501,political conflict,political conflict,True,"Birthright Citizenship Clause means to you, and we'll do our best to make sure you're a citizen of the United States.""","The US Supreme Court has ruled that birthright citizenship is unconstitutional, despite the president's decision not to attend oral arguments.",0.1575,-0.0001,-0.0023,-0.7,-0.4,-0.81,-0.84,-0.2,0.1429,0.2,0.1429,0.31114437605600437,0.3213830489614216
art_079,gemini-2.5-pro,1.6805309977760499,1.3647893932495423,Fox News,immigration,security,0.31574160452650757,-23.13,0.9572,True,324,298,-8.0,0.7271,0.5731,0.6496,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","""LOOKS LIKE THE CONSERVATIVE PARTY IN GERMANY HAS WON THE VERY BIG AND HIGHLY ANTICIPATED ELECTION,"" Trump wrote in a post on Truth Social.",-0.0334,-0.0052,-0.0019,-0.1,0.0,-0.05,0.1,0.0,1.0,0.0,1.0,0.15004512410783302,0.07706132349639204
art_079,gpt-4o,1.5841684023646339,1.3647893932495423,Fox News,immigration,security,0.21937900911509156,-16.07,0.9672,True,324,285,-12.0,0.7608,0.5994,0.6795,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","""LOOKS LIKE THE CONSERVATIVE PARTY IN GERMANY HAS WON THE VERY BIG AND HIGHLY ANTICIPATED ELECTION,"" Trump wrote in a post on Truth Social.",-0.0334,-0.0052,-0.0066,-0.1,0.0,-0.05,0.05,0.0,0.0,0.0,0.0,0.15004512410783302,0.0767938428226612
art_079,gpt-5-5,1.6182552231638299,1.3647893932495423,Fox News,immigration,security,0.25346582991428757,-18.57,0.9871,True,324,324,0.0,0.8734,0.8123,0.843,political conflict,political conflict,True,"President Donald Trump celebrated after German conservative opposition leader Friedrich Merz claimed victory in a national election, ousting Social Democrat incumbent Chancellor Olaf Scholz.","German opposition leader Friedrich Merz says he has won a national election, defeating Social Democrat incumbent Chancellor Olaf Scholz.",0.7252,-0.0052,-0.0038,-0.1,0.0,-0.05,0.07,0.0,0.0,0.0,0.0,0.15004512410783302,0.06904973201571969
