article_id,api,entity_text,entity_type,confidence,entity_sentiment_score,entity_salience,neutralisation_model
art_091,AWS,Die Linke,ORGANIZATION,0.9979,,,gpt-4o
art_091,AWS,8.7 percent,QUANTITY,0.9978,,,gpt-4o
art_091,AWS,Free Democratic Party,ORGANIZATION,0.9939,,,gpt-4o
art_091,AWS,FDP,ORGANIZATION,0.9786,,,gpt-4o
art_091,AWS,Sahra Wagenknecht Alliance,ORGANIZATION,0.9977,,,gpt-4o
art_091,AWS,BSW,ORGANIZATION,0.9959,,,gpt-4o
art_091,AWS,4.4 percent,QUANTITY,0.9986,,,gpt-4o
art_091,AWS,4.9 percent,QUANTITY,0.9974,,,gpt-4o
art_091,AWS,Bundestag,ORGANIZATION,0.9574,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.7574,,,gpt-4o
art_091,AWS,at least 5 percent,QUANTITY,0.7501,,,gpt-4o
art_091,AWS,Bundestag,ORGANIZATION,0.9927,,,gpt-4o
art_091,AWS,Xinhua,ORGANIZATION,0.97,,,gpt-4o
art_091,AWS,CDU,ORGANIZATION,0.9842,,,gpt-4o
art_091,AWS,Friedrich Merz,PERSON,0.998,,,gpt-4o
art_091,AWS,German,OTHER,0.9907,,,gpt-4o
art_091,AWS,Deutsche Welle,ORGANIZATION,0.9619,,,gpt-4o
art_091,AWS,Merz,PERSON,0.983,,,gpt-4o
art_091,AWS,AfD,ORGANIZATION,0.9585,,,gpt-4o
art_091,AWS,second place,QUANTITY,0.9724,,,gpt-4o
art_091,AWS,Chancellor,PERSON,0.9284,,,gpt-4o
art_091,AWS,Olaf Scholz,PERSON,0.9915,,,gpt-4o
art_091,AWS,three-way alliance,QUANTITY,0.987,,,gpt-4o
art_091,AWS,Reuters,ORGANIZATION,0.9888,,,gpt-4o
art_091,AWS,Merz,PERSON,0.995,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.896,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9851,,,gpt-4o
art_091,AWS,Washington,ORGANIZATION,0.8391,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.8911,,,gpt-4o
art_091,AWS,President Donald Trump,PERSON,0.7775,,,gpt-4o
art_091,AWS,Europe,ORGANIZATION,0.6961,,,gpt-4o
art_091,AWS,Financial Times,ORGANIZATION,0.9583,,,gpt-4o
art_091,AWS,Trump,PERSON,0.9973,,,gpt-4o
art_091,AWS,Sunday,DATE,0.9984,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.5575,,,gpt-4o
art_091,AWS,Reuters,ORGANIZATION,0.9915,,,gpt-4o
art_091,AWS,Ukraine,LOCATION,0.7219,,,gpt-4o
art_091,AWS,Merz,PERSON,0.9864,,,gpt-4o
art_091,AWS,Europe,ORGANIZATION,0.9181,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.9345,,,gpt-4o
art_091,AWS,Ukraine,LOCATION,0.9778,,,gpt-4o
art_091,AWS,DPA,ORGANIZATION,0.9869,,,gpt-4o
art_091,AWS,February,DATE,0.9993,,,gpt-4o
art_091,AWS,Jiang Feng,PERSON,0.9982,,,gpt-4o
art_091,AWS,European,OTHER,0.733,,,gpt-4o
art_091,AWS,Shanghai International Studies University,ORGANIZATION,0.9642,,,gpt-4o
art_091,AWS,Merz,PERSON,0.8306,,,gpt-4o
art_091,AWS,Europe,ORGANIZATION,0.8616,,,gpt-4o
art_091,AWS,Ukraine,LOCATION,0.5777,,,gpt-4o
art_091,AWS,Ukraine,ORGANIZATION,0.8912,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.7893,,,gpt-4o
art_091,AWS,Jiang,PERSON,0.9994,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.9398,,,gpt-4o
art_091,AWS,Reuters,ORGANIZATION,0.9949,,,gpt-4o
art_091,AWS,Monday,DATE,0.999,,,gpt-4o
art_091,AWS,Merz,PERSON,0.7711,,,gpt-4o
art_091,AWS,Germany,LOCATION,0.9479,,,gpt-4o
art_091,AWS,one,QUANTITY,0.9975,,,gpt-4o
art_091,AWS,two other parties,QUANTITY,0.9834,,,gpt-4o
art_091,AWS,several months,QUANTITY,0.6742,,,gpt-4o
art_091,AWS,European Union,ORGANIZATION,0.9945,,,gpt-4o
art_091,AWS,third year,QUANTITY,0.9919,,,gpt-4o
art_091,AWS,Reuters,ORGANIZATION,0.9947,,,gpt-4o
art_091,AWS,Dong Yifan,PERSON,0.9989,,,gpt-4o
art_091,AWS,Xinjiang University,ORGANIZATION,0.9021,,,gpt-4o
art_091,AWS,US,LOCATION,0.8642,,,gpt-4o
art_091,AWS,Europe,LOCATION,0.72,,,gpt-4o
art_091,AWS,Europe,ORGANIZATION,0.9085,,,gpt-4o
art_091,AWS,Europe,ORGANIZATION,0.8561,,,gpt-4o
art_091,AWS,US,ORGANIZATION,0.6258,,,gpt-4o
art_091,AWS,Dong,PERSON,0.999,,,gpt-4o
art_091,AWS,Merz,PERSON,0.9027,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9352,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.5614,,,gpt-4o
art_091,AWS,European,OTHER,0.9823,,,gpt-4o
art_091,AWS,CDU,ORGANIZATION,0.9886,,,gpt-4o
art_091,AWS,China,LOCATION,0.9944,,,gpt-4o
art_091,AWS,Strait Times,ORGANIZATION,0.9374,,,gpt-4o
art_091,AWS,Monday,DATE,0.9985,,,gpt-4o
art_091,AWS,Merkel,PERSON,0.999,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.9588,,,gpt-4o
art_091,AWS,CDU/CSU,ORGANIZATION,0.9963,,,gpt-4o
art_091,AWS,Sun Keqin,PERSON,0.997,,,gpt-4o
art_091,AWS,China Institutes of Contemporary International Relations,ORGANIZATION,0.9987,,,gpt-4o
art_091,AWS,Merz,PERSON,0.7272,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.897,,,gpt-4o
art_091,AWS,Merkel,PERSON,0.9989,,,gpt-4o
art_091,Google,Friedrich Merz,PERSON,,0.0,0.2158,gpt-4o
art_091,Google,Germany,LOCATION,,0.0,0.1595,gpt-4o
art_091,Google,Christian Social Union,ORGANIZATION,,0.0,0.0409,gpt-4o
art_091,Google,election,EVENT,,0.0,0.0206,gpt-4o
art_091,Google,China,LOCATION,,0.0,0.0193,gpt-4o
art_091,Google,supporters,PERSON,,0.0,0.0145,gpt-4o
art_091,Google,headquarters,LOCATION,,0.0,0.0145,gpt-4o
art_091,Google,Lin Jian,PERSON,,0.1,0.014,gpt-4o
art_091,Google,relations,OTHER,,0.0,0.0108,gpt-4o
art_091,Google,Christian Democratic Union,ORGANIZATION,,0.0,0.0107,gpt-4o
art_091,Google,election,EVENT,,0.0,0.0099,gpt-4o
art_091,Google,election,EVENT,,0.0,0.0099,gpt-4o
art_091,Google,Berlin,LOCATION,,0.0,0.0086,gpt-4o
art_091,Google,EU,ORGANIZATION,,0.3,0.0085,gpt-4o
art_091,Google,results,OTHER,,0.0,0.0079,gpt-4o
art_091,Google,impact,OTHER,,0.0,0.0079,gpt-4o
art_091,Google,bloc,ORGANIZATION,,0.0,0.0073,gpt-4o
art_091,Google,Donald Trump,PERSON,,0.0,0.0073,gpt-4o
art_091,Google,Dong Yifan,PERSON,,0.0,0.0069,gpt-4o
art_091,Google,Reuters,ORGANIZATION,,0.0,0.0056,gpt-4o
art_091,Google,US,LOCATION,,0.0,0.0054,gpt-4o
art_091,Google,relations,OTHER,,0.0,0.0042,gpt-4o
art_091,Google,Foreign Ministry,ORGANIZATION,,0.0,0.0041,gpt-4o
art_091,Google,Olaf Scholz,PERSON,,0.0,0.004,gpt-4o
art_091,Google,ARD,ORGANIZATION,,0.0,0.0039,gpt-4o
art_091,Google,partnership,OTHER,,0.0,0.0039,gpt-4o
art_091,Google,integration,OTHER,,0.4,0.0039,gpt-4o
art_091,Google,European,LOCATION,,0.0,0.0038,gpt-4o
art_091,Google,significance,OTHER,,0.0,0.0037,gpt-4o
art_091,Google,government,ORGANIZATION,,0.0,0.0033,gpt-4o
art_091,Google,Jiang Feng,PERSON,,0.0,0.0032,gpt-4o
art_091,Google,Xinhua News Agency,ORGANIZATION,,0.0,0.003,gpt-4o
art_091,Google,differences,OTHER,,0.0,0.003,gpt-4o
art_091,Google,independence,OTHER,,0.3,0.003,gpt-4o
art_091,Google,Ukraine,LOCATION,,0.0,0.0029,gpt-4o
art_091,Google,relations,OTHER,,0.0,0.0028,gpt-4o
art_091,Google,spokesperson,PERSON,,0.0,0.0028,gpt-4o
art_091,Google,party,ORGANIZATION,,0.0,0.0026,gpt-4o
art_091,Google,ties,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,perspective,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,respect,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,equality,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,benefit,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,ground,OTHER,,0.0,0.0026,gpt-4o
art_091,Google,affairs,OTHER,,0.3,0.0026,gpt-4o
art_091,Google,relations,OTHER,,-0.1,0.0025,gpt-4o
art_091,Google,chancellor,PERSON,,0.0,0.0025,gpt-4o
art_091,Google,election,EVENT,,0.0,0.0025,gpt-4o
art_091,Google,party,ORGANIZATION,,0.0,0.0025,gpt-4o
art_091,Google,vote,OTHER,,0.0,0.0022,gpt-4o
art_091,Google,vote,EVENT,,0.0,0.0022,gpt-4o
art_091,Google,vote,OTHER,,0.0,0.0022,gpt-4o
art_091,Google,policy,OTHER,,0.1,0.0022,gpt-4o
art_091,Google,crisis,EVENT,,0.0,0.0021,gpt-4o
art_091,Google,media,OTHER,,0.0,0.002,gpt-4o
art_091,Google,alliance,OTHER,,0.0,0.002,gpt-4o
art_091,Google,world peace,OTHER,,0.3,0.002,gpt-4o
art_091,Google,relations,OTHER,,-0.1,0.0019,gpt-4o
art_091,Google,independence,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,election results,OTHER,,0.2,0.0018,gpt-4o
art_091,Google,peace,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,cooperation,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,parties,ORGANIZATION,,0.0,0.0018,gpt-4o
art_091,Google,interests,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,media report,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,composition,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,house,LOCATION,,0.0,0.0018,gpt-4o
art_091,Google,parliament,ORGANIZATION,,0.0,0.0018,gpt-4o
art_091,Google,representation,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,Sun Keqin,PERSON,,0.0,0.0018,gpt-4o
art_091,Google,coalition negotiations,EVENT,,0.0,0.0018,gpt-4o
art_091,Google,place,OTHER,,0.0,0.0018,gpt-4o
art_091,Google,end,EVENT,,0.0,0.0018,gpt-4o
art_091,Google,prosperity,OTHER,,0.4,0.0018,gpt-4o
art_091,Google,coalition,ORGANIZATION,,0.0,0.0016,gpt-4o
art_091,Google,changes,OTHER,,0.0,0.0016,gpt-4o
art_091,Google,reliance,OTHER,,-0.1,0.0016,gpt-4o
art_091,Google,security arrangements,OTHER,,0.0,0.0016,gpt-4o
art_091,Google,desire,OTHER,,0.0,0.0016,gpt-4o
art_091,Google,situation,OTHER,,0.0,0.0016,gpt-4o
art_091,Google,Social Democratic Party,ORGANIZATION,,0.0,0.0015,gpt-4o
art_091,Google,Free Democratic Party,ORGANIZATION,,0.0,0.0015,gpt-4o
art_091,Google,government,ORGANIZATION,,0.0,0.0015,gpt-4o
art_091,Google,economy,OTHER,,0.0,0.0015,gpt-4o
art_091,Google,powerhouse,LOCATION,,0.0,0.0015,gpt-4o
art_091,Google,initiatives,OTHER,,0.0,0.0014,gpt-4o
art_091,Google,crisis,EVENT,,0.0,0.0014,gpt-4o
art_091,Google,context,OTHER,,0.0,0.0014,gpt-4o
art_091,Google,issues,OTHER,,0.0,0.0014,gpt-4o
art_091,Google,Bundestag,LOCATION,,0.0,0.0013,gpt-4o
art_091,Google,coalition talks,EVENT,,0.0,0.0013,gpt-4o
art_091,Google,role,OTHER,,0.3,0.0013,gpt-4o
art_091,Google,risks,OTHER,,0.0,0.0012,gpt-4o
art_091,Google,solutions,OTHER,,0.0,0.0012,gpt-4o
art_091,Google,autonomy,OTHER,,0.0,0.0012,gpt-4o
art_091,Google,Greens,PERSON,,0.1,0.0012,gpt-4o
art_091,Google,Sahra Wagenknecht Alliance,ORGANIZATION,,0.0,0.0012,gpt-4o
art_091,Google,leaders,PERSON,,0.1,0.0011,gpt-4o
art_091,Google,leadership,OTHER,,0.0,0.0011,gpt-4o
art_091,Google,cooperation,OTHER,,0.0,0.0011,gpt-4o
art_091,Google,leader,PERSON,,0.0,0.0011,gpt-4o
art_091,Google,interests,OTHER,,0.0,0.0011,gpt-4o
art_091,Google,Alternative for Germany,ORGANIZATION,,0.0,0.001,gpt-4o
art_091,Google,Die Linke,ORGANIZATION,,0.1,0.001,gpt-4o
art_091,Google,FDP,ORGANIZATION,,0.0,0.001,gpt-4o
art_091,Google,Washington,LOCATION,,-0.1,0.001,gpt-4o
art_091,Google,foreign policy speech,WORK_OF_ART,,0.0,0.0008,gpt-4o
art_091,Google,investments,OTHER,,0.0,0.0008,gpt-4o
art_091,Google,entrepreneurs,PERSON,,0.0,0.0008,gpt-4o
art_091,Google,class,OTHER,,0.0,0.0008,gpt-4o
art_091,Google,understanding,OTHER,,0.0,0.0008,gpt-4o
art_091,Google,Xinjiang University,ORGANIZATION,,0.0,0.0008,gpt-4o
art_091,Google,Financial Times,ORGANIZATION,,-0.1,0.0008,gpt-4o
art_091,Google,interests,OTHER,,0.0,0.0008,gpt-4o
art_091,Google,Deutsche Welle,ORGANIZATION,,0.0,0.0008,gpt-4o
art_091,Google,DPA,ORGANIZATION,,0.0,0.0007,gpt-4o
art_091,Google,coalition government,ORGANIZATION,,0.0,0.0007,gpt-4o
art_091,Google,Merkel,PERSON,,0.0,0.0006,gpt-4o
art_091,Google,strategy,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,challenges,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,issue,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,difficulties,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,term,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,challenges,OTHER,,0.0,0.0006,gpt-4o
art_091,Google,protection,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,involvement,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,focus,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,foreign policy advancements,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,opportunities,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,uncertainty,OTHER,,0.0,0.0005,gpt-4o
art_091,Google,victory,EVENT,,0.0,0.0005,gpt-4o
art_091,Google,China Institutes of Contemporary International Relations,ORGANIZATION,,0.0,0.0005,gpt-4o
art_091,Google,Strait Times,ORGANIZATION,,0.0,0.0004,gpt-4o
art_091,Google,Shanghai International Studies University,ORGANIZATION,,0.0,0.0004,gpt-4o
art_091,Google,European Studies,OTHER,,0.0,0.0004,gpt-4o
art_091,Azure,Friedrich Merz,Person,1.0,,,gpt-4o
art_091,Azure,chancellor candidate,PersonType,0.69,,,gpt-4o
art_091,Azure,Christian Democratic Union,Organization,0.98,,,gpt-4o
art_091,Azure,CDU,Organization,0.88,,,gpt-4o
art_091,Azure,Christian Social Union,Organization,0.96,,,gpt-4o
art_091,Azure,CSU,Organization,0.85,,,gpt-4o
art_091,Azure,supporters,PersonType,0.93,,,gpt-4o
art_091,Azure,CDU,Organization,0.94,,,gpt-4o
art_091,Azure,headquarters,Location,0.69,,,gpt-4o
art_091,Azure,Berlin,Location,0.83,,,gpt-4o
art_091,Azure,Germany,Location,0.9,,,gpt-4o
art_091,Azure,"February 23, 2025",DateTime,1.0,,,gpt-4o
art_091,Azure,German national election,Event,0.88,,,gpt-4o
art_091,Azure,Xinhua News Agency,Organization,0.97,,,gpt-4o
art_091,Azure,Monday morning,DateTime,1.0,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,CDU,Organization,0.97,,,gpt-4o
art_091,Azure,CSU,Organization,0.94,,,gpt-4o
art_091,Azure,German federal election,Event,0.64,,,gpt-4o
art_091,Azure,German election,Event,0.6,,,gpt-4o
art_091,Azure,China,Location,0.96,,,gpt-4o
art_091,Azure,Germany,Location,0.99,,,gpt-4o
art_091,Azure,spokesperson,PersonType,0.42,,,gpt-4o
art_091,Azure,Lin Jian,Person,1.0,,,gpt-4o
art_091,Azure,Monday,DateTime,1.0,,,gpt-4o
art_091,Azure,China,Location,0.99,,,gpt-4o
art_091,Azure,China,Location,0.78,,,gpt-4o
art_091,Azure,Germany,Location,0.99,,,gpt-4o
art_091,Azure,strategic,Skill,0.77,,,gpt-4o
art_091,Azure,past 53 years,DateTime,0.96,,,gpt-4o
art_091,Azure,diplomatic,Skill,0.7,,,gpt-4o
art_091,Azure,China,Location,1.0,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,strategic,Skill,0.97,,,gpt-4o
art_091,Azure,spokesperson,PersonType,0.99,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,EU,Organization,0.78,,,gpt-4o
art_091,Azure,China,Location,1.0,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,EU,Organization,0.77,,,gpt-4o
art_091,Azure,global affairs,Skill,0.68,,,gpt-4o
art_091,Azure,European integration,Skill,0.87,,,gpt-4o
art_091,Azure,strategic independence,Skill,0.85,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,EU,Organization,0.71,,,gpt-4o
art_091,Azure,Lin,Person,0.99,,,gpt-4o
art_091,Azure,CDU/CSU,Organization,0.97,,,gpt-4o
art_091,Azure,28.5 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Alternative for Germany,Organization,1.0,,,gpt-4o
art_091,Azure,AfD,Organization,0.95,,,gpt-4o
art_091,Azure,20.6 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Social Democratic Party,Organization,1.0,,,gpt-4o
art_091,Azure,SPD,Organization,0.95,,,gpt-4o
art_091,Azure,16.5 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Xinhua,Organization,0.96,,,gpt-4o
art_091,Azure,ARD,Organization,0.98,,,gpt-4o
art_091,Azure,Greens,Organization,0.62,,,gpt-4o
art_091,Azure,fourth,Quantity,1.0,,,gpt-4o
art_091,Azure,11.8 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Die Linke,Organization,1.0,,,gpt-4o
art_091,Azure,8.7 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Free Democratic Party,Organization,0.93,,,gpt-4o
art_091,Azure,FDP,Organization,0.85,,,gpt-4o
art_091,Azure,Sahra Wagenknecht Alliance,Organization,1.0,,,gpt-4o
art_091,Azure,BSW,Organization,0.82,,,gpt-4o
art_091,Azure,4.4 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,4.9 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,election,Event,0.62,,,gpt-4o
art_091,Azure,Bundestag,Organization,0.97,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,5 percent,Quantity,1.0,,,gpt-4o
art_091,Azure,Bundestag,Organization,0.94,,,gpt-4o
art_091,Azure,Xinhua,Organization,0.74,,,gpt-4o
art_091,Azure,CDU,Organization,0.96,,,gpt-4o
art_091,Azure,leader,PersonType,0.86,,,gpt-4o
art_091,Azure,Friedrich Merz,Person,1.0,,,gpt-4o
art_091,Azure,chancellor,PersonType,0.98,,,gpt-4o
art_091,Azure,German,Location,0.94,,,gpt-4o
art_091,Azure,Deutsche Welle,Organization,0.79,,,gpt-4o
art_091,Azure,Merz,Person,0.96,,,gpt-4o
art_091,Azure,AfD,Organization,0.99,,,gpt-4o
art_091,Azure,second,Quantity,1.0,,,gpt-4o
art_091,Azure,Chancellor,PersonType,0.52,,,gpt-4o
art_091,Azure,Olaf Scholz,Person,1.0,,,gpt-4o
art_091,Azure,three-way,Skill,0.61,,,gpt-4o
art_091,Azure,Reuters,Organization,0.94,,,gpt-4o
art_091,Azure,Merz,Person,0.99,,,gpt-4o
art_091,Azure,US,Location,0.98,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,security,Skill,0.69,,,gpt-4o
art_091,Azure,Washington,Location,0.59,,,gpt-4o
art_091,Azure,Donald Trump,Person,0.99,,,gpt-4o
art_091,Azure,Europe,Location,0.97,,,gpt-4o
art_091,Azure,Financial Times,Organization,0.97,,,gpt-4o
art_091,Azure,Trump,Person,1.0,,,gpt-4o
art_091,Azure,Sunday,DateTime,1.0,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,election,Event,0.77,,,gpt-4o
art_091,Azure,Reuters,Organization,0.99,,,gpt-4o
art_091,Azure,Ukraine,Location,0.82,,,gpt-4o
art_091,Azure,Merz,Person,0.98,,,gpt-4o
art_091,Azure,previously,DateTime,0.84,,,gpt-4o
art_091,Azure,Europe,Location,0.93,,,gpt-4o
art_091,Azure,US,Location,0.85,,,gpt-4o
art_091,Azure,Ukraine,Location,0.97,,,gpt-4o
art_091,Azure,DPA,Organization,0.97,,,gpt-4o
art_091,Azure,February,DateTime,1.0,,,gpt-4o
art_091,Azure,Jiang Feng,Person,1.0,,,gpt-4o
art_091,Azure,professor,PersonType,0.98,,,gpt-4o
art_091,Azure,Shanghai International Studies University,Organization,0.94,,,gpt-4o
art_091,Azure,Merz,Location,0.88,,,gpt-4o
art_091,Azure,Europe,Location,0.95,,,gpt-4o
art_091,Azure,Ukraine,Location,0.94,,,gpt-4o
art_091,Azure,Ukraine,Location,0.57,,,gpt-4o
art_091,Azure,US,Location,0.84,,,gpt-4o
art_091,Azure,strategy,Skill,0.6,,,gpt-4o
art_091,Azure,Jiang,Person,0.99,,,gpt-4o
art_091,Azure,US,Location,1.0,,,gpt-4o
art_091,Azure,may,DateTime,0.84,,,gpt-4o
art_091,Azure,foreign,Skill,0.62,,,gpt-4o
art_091,Azure,Reuters,Organization,0.78,,,gpt-4o
art_091,Azure,Monday,DateTime,1.0,,,gpt-4o
art_091,Azure,Merz,Person,0.99,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,one,Quantity,0.8,,,gpt-4o
art_091,Azure,two,Quantity,0.8,,,gpt-4o
art_091,Azure,several months,DateTime,0.99,,,gpt-4o
art_091,Azure,European Union,Organization,0.95,,,gpt-4o
art_091,Azure,government,Skill,0.92,,,gpt-4o
art_091,Azure,economy,Skill,0.9,,,gpt-4o
art_091,Azure,third,Quantity,1.0,,,gpt-4o
art_091,Azure,crisis,Event,0.83,,,gpt-4o
art_091,Azure,Reuters,Organization,1.0,,,gpt-4o
art_091,Azure,Dong Yifan,Person,1.0,,,gpt-4o
art_091,Azure,researcher,PersonType,0.76,,,gpt-4o
art_091,Azure,Xinjiang University,Organization,0.96,,,gpt-4o
art_091,Azure,US,Location,0.53,,,gpt-4o
art_091,Azure,Europe,Location,1.0,,,gpt-4o
art_091,Azure,Europe,Location,0.91,,,gpt-4o
art_091,Azure,Europe,Location,1.0,,,gpt-4o
art_091,Azure,US,Location,0.97,,,gpt-4o
art_091,Azure,strategic,Skill,0.58,,,gpt-4o
art_091,Azure,Dong said,Person,0.82,,,gpt-4o
art_091,Azure,Merz,Person,0.98,,,gpt-4o
art_091,Azure,Germany,Location,1.0,,,gpt-4o
art_091,Azure,China,Location,0.99,,,gpt-4o
art_091,Azure,leaders,PersonType,0.68,,,gpt-4o
