article_id,api,sentiment_label,score_positive,score_negative,score_neutral,score_mixed,net_sentiment,google_magnitude,pair_id,outlet,topic,frame
art_009,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,10.8,imm_001,Straits Times,immigration,humanitarian
art_009,Azure,NEGATIVE,0.0,0.86,0.14,,-0.86,,imm_001,Straits Times,immigration,humanitarian
art_010,AWS,NEUTRAL,0.0005,0.0288,0.9706,0.0002,-0.0283,,imm_001,Le Monde,immigration,neutral
art_010,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,7.4,imm_001,Le Monde,immigration,neutral
art_010,Azure,NEGATIVE,0.0,0.72,0.28,,-0.72,,imm_001,Le Monde,immigration,neutral
art_011,AWS,NEUTRAL,0.0009,0.1269,0.872,0.0002,-0.126,,imm_002,BBC,immigration,humanitarian
art_011,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,7.5,imm_002,BBC,immigration,humanitarian
art_011,Azure,NEGATIVE,0.01,0.82,0.18,,-0.81,,imm_002,BBC,immigration,humanitarian
art_012,AWS,NEUTRAL,0.0049,0.0167,0.974,0.0045,-0.0118,,imm_002,RT News,immigration,humanitarian
art_012,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,16.3,imm_002,RT News,immigration,humanitarian
art_012,Azure,NEGATIVE,0.0,0.86,0.13,,-0.86,,imm_002,RT News,immigration,humanitarian
art_013,AWS,NEUTRAL,0.0698,0.0073,0.7551,0.1678,0.0625,,imm_002,CNN,immigration,humanitarian
art_013,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,12.1,imm_002,CNN,immigration,humanitarian
art_013,Azure,MIXED,0.05,0.8,0.15,,-0.75,,imm_002,CNN,immigration,humanitarian
art_014,AWS,NEUTRAL,0.0074,0.0069,0.9833,0.0025,0.0005,,imm_002,BBC,immigration,security
art_014,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,13.2,imm_002,BBC,immigration,security
art_014,Azure,NEGATIVE,0.0,0.84,0.16,,-0.84,,imm_002,BBC,immigration,security
art_015,AWS,NEUTRAL,0.0551,0.0063,0.8924,0.0462,0.0487,,imm_002,Fox News,immigration,security
art_015,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,6.5,imm_002,Fox News,immigration,security
art_015,Azure,NEGATIVE,0.0,0.74,0.26,,-0.74,,imm_002,Fox News,immigration,security
art_016,AWS,NEUTRAL,0.0119,0.077,0.6945,0.2166,-0.0651,,imm_002,Reuters,immigration,humanitarian
art_016,Google,NEGATIVE,0.0,0.5,,,-0.5,10.7,imm_002,Reuters,immigration,humanitarian
art_016,Azure,MIXED,0.05,0.71,0.23,,-0.66,,imm_002,Reuters,immigration,humanitarian
art_017,AWS,NEUTRAL,0.0037,0.2697,0.6499,0.0767,-0.266,,imm_002,France 24,immigration,neutral
art_017,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,16.1,imm_002,France 24,immigration,neutral
art_017,Azure,NEGATIVE,0.0,0.71,0.29,,-0.71,,imm_002,France 24,immigration,neutral
art_018,AWS,NEUTRAL,0.074,0.0159,0.8954,0.0148,0.0581,,imm_002,The Guardian,immigration,humanitarian
art_018,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,13.1,imm_002,The Guardian,immigration,humanitarian
art_018,Azure,NEGATIVE,0.0,0.87,0.13,,-0.87,,imm_002,The Guardian,immigration,humanitarian
art_019,AWS,NEUTRAL,0.0018,0.011,0.9854,0.0019,-0.0092,,imm_002,Global Times,immigration,neutral
art_019,Google,NEGATIVE,0.0,0.5,,,-0.5,2.7,imm_002,Global Times,immigration,neutral
art_019,Azure,NEGATIVE,0.0,0.84,0.16,,-0.84,,imm_002,Global Times,immigration,neutral
art_020,AWS,MIXED,0.0194,0.2625,0.1652,0.5529,-0.2431,,imm_002,South China Morning Post,immigration,humanitarian
art_020,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,12.0,imm_002,South China Morning Post,immigration,humanitarian
art_020,Azure,NEGATIVE,0.01,0.81,0.18,,-0.8,,imm_002,South China Morning Post,immigration,humanitarian
art_021,AWS,NEUTRAL,0.0036,0.0051,0.991,0.0003,-0.0015,,imm_002,BBC,immigration,neutral
art_021,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,13.3,imm_002,BBC,immigration,neutral
art_021,Azure,NEGATIVE,0.0,0.76,0.24,,-0.76,,imm_002,BBC,immigration,neutral
art_022,AWS,NEUTRAL,0.0014,0.0178,0.9787,0.0022,-0.0164,,imm_005,Fox News,immigration,security
art_022,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,13.3,imm_005,Fox News,immigration,security
art_022,Azure,MIXED,0.07,0.75,0.17,,-0.68,,imm_005,Fox News,immigration,security
art_023,AWS,NEUTRAL,0.0052,0.0078,0.9666,0.0204,-0.0026,,imm_005,China Daily,immigration,humanitarian
art_023,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,14.5,imm_005,China Daily,immigration,humanitarian
art_023,Azure,NEGATIVE,0.0,0.8,0.2,,-0.8,,imm_005,China Daily,immigration,humanitarian
art_024,AWS,NEUTRAL,0.0069,0.0761,0.8521,0.065,-0.0692,,imm_005,BBC,immigration,security
art_024,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,18.3,imm_005,BBC,immigration,security
art_024,Azure,NEGATIVE,0.0,0.88,0.12,,-0.88,,imm_005,BBC,immigration,security
art_025,AWS,NEUTRAL,0.0035,0.0224,0.9642,0.0099,-0.0188,,imm_005,CNN,immigration,security
art_025,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,19.5,imm_005,CNN,immigration,security
art_025,Azure,MIXED,0.09,0.66,0.24,,-0.57,,imm_005,CNN,immigration,security
art_026,AWS,NEUTRAL,0.005,0.1881,0.7757,0.0312,-0.1831,,imm_005,The Guardian,immigration,humanitarian
art_026,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,15.8,imm_005,The Guardian,immigration,humanitarian
art_026,Azure,NEGATIVE,0.0,0.8,0.2,,-0.8,,imm_005,The Guardian,immigration,humanitarian
art_027,AWS,NEUTRAL,0.0072,0.0366,0.8378,0.1184,-0.0295,,imm_005,The Hindu,immigration,neutral
art_027,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,15.2,imm_005,The Hindu,immigration,neutral
art_027,Azure,NEGATIVE,0.0,0.82,0.18,,-0.82,,imm_005,The Hindu,immigration,neutral
art_028,AWS,NEUTRAL,0.0032,0.0568,0.9322,0.0078,-0.0535,,imm_005,Reuters,immigration,humanitarian
art_028,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,16.5,imm_005,Reuters,immigration,humanitarian
art_028,Azure,NEGATIVE,0.0,0.8,0.2,,-0.8,,imm_005,Reuters,immigration,humanitarian
art_029,AWS,NEUTRAL,0.001,0.0973,0.9008,0.0009,-0.0962,,imm_005,RT News,immigration,humanitarian
art_029,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,7.4,imm_005,RT News,immigration,humanitarian
art_029,Azure,NEGATIVE,0.0,0.72,0.27,,-0.72,,imm_005,RT News,immigration,humanitarian
art_030,AWS,NEUTRAL,0.0031,0.0322,0.9498,0.0149,-0.0291,,imm_005,DW,immigration,humanitarian
art_030,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,19.5,imm_005,DW,immigration,humanitarian
art_030,Azure,MIXED,0.09,0.73,0.18,,-0.64,,imm_005,DW,immigration,humanitarian
art_031,AWS,NEUTRAL,0.0484,0.0411,0.7833,0.1271,0.0073,,imm_005,Al Jazeera,immigration,humanitarian
art_031,Google,NEGATIVE,0.0,0.5,,,-0.5,16.8,imm_005,Al Jazeera,immigration,humanitarian
art_031,Azure,MIXED,0.04,0.75,0.21,,-0.71,,imm_005,Al Jazeera,immigration,humanitarian
art_032,AWS,NEUTRAL,0.001,0.0637,0.9348,0.0004,-0.0627,,pol_001,RT News,political conflict,people-centric
art_032,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,7.1,pol_001,RT News,political conflict,people-centric
art_032,Azure,NEGATIVE,0.0,0.71,0.29,,-0.71,,pol_001,RT News,political conflict,people-centric
art_033,AWS,NEUTRAL,0.0027,0.1016,0.8944,0.0014,-0.0989,,pol_001,Al Jazeera,political conflict,people-centric
art_033,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,13.5,pol_001,Al Jazeera,political conflict,people-centric
art_033,Azure,NEGATIVE,0.0,0.84,0.15,,-0.84,,pol_001,Al Jazeera,political conflict,people-centric
art_034,AWS,NEUTRAL,0.011,0.0128,0.9711,0.0051,-0.0018,,pol_001,CNN,political conflict,neutral
art_034,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,11.3,pol_001,CNN,political conflict,neutral
art_034,Azure,NEGATIVE,0.0,0.82,0.18,,-0.82,,pol_001,CNN,political conflict,neutral
art_035,AWS,NEUTRAL,0.0005,0.04,0.9593,0.0003,-0.0395,,pol_001,BBC,political conflict,neutral
art_035,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,12.4,pol_001,BBC,political conflict,neutral
art_035,Azure,NEGATIVE,0.0,0.69,0.31,,-0.69,,pol_001,BBC,political conflict,neutral
art_036,AWS,NEUTRAL,0.006,0.0014,0.9925,0.0001,0.0046,,imm_003,Global Times,immigration,neutral
art_036,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,3.7,imm_003,Global Times,immigration,neutral
art_036,Azure,NEGATIVE,0.0,0.73,0.27,,-0.73,,imm_003,Global Times,immigration,neutral
art_037,AWS,NEUTRAL,0.0018,0.0317,0.9655,0.0009,-0.0299,,imm_003,Al Jazeera,immigration,humanitarian
art_037,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,12.0,imm_003,Al Jazeera,immigration,humanitarian
art_037,Azure,MIXED,0.09,0.67,0.24,,-0.58,,imm_003,Al Jazeera,immigration,humanitarian
art_038,AWS,NEUTRAL,0.0036,0.0418,0.9301,0.0245,-0.0382,,imm_003,RT News,immigration,neutral
art_038,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,8.9,imm_003,RT News,immigration,neutral
art_038,Azure,MIXED,0.13,0.7,0.17,,-0.57,,imm_003,RT News,immigration,neutral
art_039,AWS,NEUTRAL,0.0026,0.0062,0.9908,0.0005,-0.0036,,imm_003,CNN,immigration,neutral
art_039,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,9.3,imm_003,CNN,immigration,neutral
art_039,Azure,MIXED,0.15,0.48,0.37,,-0.33,,imm_003,CNN,immigration,neutral
art_040,AWS,NEUTRAL,0.0397,0.0149,0.9177,0.0276,0.0248,,imm_003,BBC,immigration,humanitarian
art_040,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,12.3,imm_003,BBC,immigration,humanitarian
art_040,Azure,NEGATIVE,0.0,0.89,0.11,,-0.89,,imm_003,BBC,immigration,humanitarian
art_041,AWS,NEUTRAL,0.0195,0.0038,0.9713,0.0054,0.0156,,imm_003,Fox News,immigration,neutral
art_041,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,9.3,imm_003,Fox News,immigration,neutral
art_041,Azure,NEGATIVE,0.0,0.67,0.33,,-0.67,,imm_003,Fox News,immigration,neutral
art_042,AWS,NEUTRAL,0.0017,0.019,0.9791,0.0002,-0.0172,,imm_003,Reuters,immigration,humanitarian
art_042,Google,NEGATIVE,0.0,0.5,,,-0.5,4.1,imm_003,Reuters,immigration,humanitarian
art_042,Azure,NEGATIVE,0.0,0.83,0.17,,-0.83,,imm_003,Reuters,immigration,humanitarian
art_043,AWS,NEUTRAL,0.0142,0.0027,0.9825,0.0006,0.0115,,imm_003,France 24,immigration,security
art_043,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,7.2,imm_003,France 24,immigration,security
art_043,Azure,NEGATIVE,0.0,0.84,0.16,,-0.84,,imm_003,France 24,immigration,security
art_044,AWS,NEUTRAL,0.0081,0.005,0.9748,0.0121,0.0031,,imm_003,The Guardian,immigration,humanitarian
art_044,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,11.4,imm_003,The Guardian,immigration,humanitarian
art_044,Azure,NEGATIVE,0.01,0.84,0.15,,-0.83,,imm_003,The Guardian,immigration,humanitarian
art_045,AWS,NEUTRAL,0.0308,0.0107,0.8707,0.0878,0.0202,,imm_003,South China Morning Post,immigration,neutral
art_045,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,3.1,imm_003,South China Morning Post,immigration,neutral
art_045,Azure,NEGATIVE,0.0,0.92,0.08,,-0.92,,imm_003,South China Morning Post,immigration,neutral
art_046,AWS,NEUTRAL,0.007,0.0555,0.8248,0.1127,-0.0485,,imm_003,Daily Maverick,immigration,security
art_046,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,13.6,imm_003,Daily Maverick,immigration,security
art_046,Azure,MIXED,0.05,0.71,0.24,,-0.66,,imm_003,Daily Maverick,immigration,security
art_047,AWS,NEUTRAL,0.0031,0.2275,0.7677,0.0017,-0.2244,,imm_004,Fox News,immigration,security
art_047,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,9.3,imm_004,Fox News,immigration,security
art_047,Azure,NEGATIVE,0.0,0.79,0.21,,-0.79,,imm_004,Fox News,immigration,security
art_048,AWS,NEUTRAL,0.0079,0.1382,0.7239,0.13,-0.1303,,imm_004,BBC,immigration,neutral
art_048,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,16.8,imm_004,BBC,immigration,neutral
art_048,Azure,NEGATIVE,0.0,0.83,0.17,,-0.83,,imm_004,BBC,immigration,neutral
art_049,AWS,NEUTRAL,0.0032,0.1738,0.7399,0.0831,-0.1705,,imm_004,CNN,immigration,humanitarian
art_049,Google,NEGATIVE,0.0,0.5,,,-0.5,17.6,imm_004,CNN,immigration,humanitarian
art_049,Azure,MIXED,0.06,0.81,0.14,,-0.75,,imm_004,CNN,immigration,humanitarian
art_050,AWS,NEUTRAL,0.0067,0.1313,0.8485,0.0135,-0.1247,,imm_004,The Guardian,immigration,humanitarian
art_050,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,17.7,imm_004,The Guardian,immigration,humanitarian
art_050,Azure,MIXED,0.08,0.66,0.25,,-0.58,,imm_004,The Guardian,immigration,humanitarian
art_051,AWS,NEUTRAL,0.0007,0.0515,0.9476,0.0001,-0.0508,,imm_004,The Hindu,immigration,neutral
art_051,Google,VERY_NEGATIVE,0.0,0.6000000238418579,,,-0.6,4.9,imm_004,The Hindu,immigration,neutral
art_051,Azure,NEGATIVE,0.0,0.8,0.2,,-0.8,,imm_004,The Hindu,immigration,neutral
art_052,AWS,NEUTRAL,0.0007,0.0515,0.9476,0.0001,-0.0508,,imm_004,The Hindu,immigration,neutral
art_052,Google,VERY_NEGATIVE,0.0,0.6000000238418579,,,-0.6,4.9,imm_004,The Hindu,immigration,neutral
art_052,Azure,NEGATIVE,0.0,0.8,0.2,,-0.8,,imm_004,The Hindu,immigration,neutral
art_053,AWS,NEUTRAL,0.0073,0.0341,0.8843,0.0743,-0.0268,,imm_004,Reuters,immigration,neutral
art_053,Google,NEGATIVE,0.0,0.5,,,-0.5,4.7,imm_004,Reuters,immigration,neutral
art_053,Azure,NEGATIVE,0.0,0.79,0.21,,-0.79,,imm_004,Reuters,immigration,neutral
art_054,AWS,NEUTRAL,0.0044,0.2717,0.7095,0.0144,-0.2673,,imm_004,France 24,immigration,security
art_054,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,17.9,imm_004,France 24,immigration,security
art_054,Azure,NEGATIVE,0.0,0.85,0.14,,-0.85,,imm_004,France 24,immigration,security
art_055,AWS,NEUTRAL,0.0041,0.0488,0.9413,0.0058,-0.0446,,imm_004,Al Jazeera,immigration,humanitarian
art_055,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,13.6,imm_004,Al Jazeera,immigration,humanitarian
art_055,Azure,NEGATIVE,0.0,0.85,0.14,,-0.85,,imm_004,Al Jazeera,immigration,humanitarian
art_056,AWS,NEUTRAL,0.0204,0.0375,0.8301,0.112,-0.017,,imm_004,Straits Times,immigration,security
art_056,Google,NEGATIVE,0.0,0.5,,,-0.5,5.5,imm_004,Straits Times,immigration,security
art_056,Azure,NEGATIVE,0.0,0.77,0.22,,-0.77,,imm_004,Straits Times,immigration,security
art_057,AWS,NEUTRAL,0.1744,0.006,0.8107,0.0089,0.1684,,imm_006,Fox News,immigration,neutral
art_057,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,11.2,imm_006,Fox News,immigration,neutral
art_057,Azure,NEGATIVE,0.0,0.75,0.25,,-0.75,,imm_006,Fox News,immigration,neutral
art_058,AWS,NEUTRAL,0.024,0.0048,0.9434,0.0278,0.0192,,imm_006,South China Morning Post,immigration,humanitarian
art_058,Google,VERY_NEGATIVE,0.0,0.6000000238418579,,,-0.6,4.4,imm_006,South China Morning Post,immigration,humanitarian
art_058,Azure,NEGATIVE,0.0,0.89,0.11,,-0.89,,imm_006,South China Morning Post,immigration,humanitarian
art_059,AWS,NEUTRAL,0.0129,0.045,0.9384,0.0037,-0.0322,,imm_006,Straits Times,immigration,security
art_059,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,8.7,imm_006,Straits Times,immigration,security
art_059,Azure,NEGATIVE,0.0,0.75,0.24,,-0.75,,imm_006,Straits Times,immigration,security
art_060,AWS,NEUTRAL,0.0626,0.0033,0.8949,0.0392,0.0593,,imm_006,CNN,immigration,neutral
art_060,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,9.7,imm_006,CNN,immigration,neutral
art_060,Azure,NEGATIVE,0.0,0.76,0.24,,-0.76,,imm_006,CNN,immigration,neutral
art_061,AWS,NEUTRAL,0.0308,0.0059,0.9577,0.0056,0.0248,,imm_006,BBC,immigration,security
art_061,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,7.6,imm_006,BBC,immigration,security
art_061,Azure,NEGATIVE,0.0,0.66,0.34,,-0.66,,imm_006,BBC,immigration,security
art_062,AWS,NEUTRAL,0.0217,0.0096,0.9613,0.0074,0.0122,,imm_006,Reuters,immigration,neutral
art_062,Google,NEGATIVE,0.0,0.5,,,-0.5,6.5,imm_006,Reuters,immigration,neutral
art_062,Azure,NEGATIVE,0.0,0.84,0.16,,-0.84,,imm_006,Reuters,immigration,neutral
art_063,AWS,NEUTRAL,0.0038,0.0048,0.9904,0.0009,-0.001,,imm_006,Al Jazeera,immigration,neutral
art_063,Google,NEGATIVE,0.0,0.5,,,-0.5,12.0,imm_006,Al Jazeera,immigration,neutral
art_063,Azure,NEGATIVE,0.0,0.66,0.34,,-0.66,,imm_006,Al Jazeera,immigration,neutral
art_064,AWS,NEUTRAL,0.0729,0.0106,0.8784,0.038,0.0623,,imm_006,The Guardian,immigration,humanitarian
art_064,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,11.2,imm_006,The Guardian,immigration,humanitarian
art_064,Azure,NEGATIVE,0.0,0.77,0.23,,-0.77,,imm_006,The Guardian,immigration,humanitarian
art_065,AWS,NEUTRAL,0.0094,0.0033,0.984,0.0033,0.0061,,imm_006,Le Monde,immigration,neutral
art_065,Google,NEGATIVE,0.0,0.5,,,-0.5,10.7,imm_006,Le Monde,immigration,neutral
art_065,Azure,NEGATIVE,0.0,0.68,0.32,,-0.68,,imm_006,Le Monde,immigration,neutral
art_066,AWS,NEUTRAL,0.0015,0.0017,0.9968,0.0,-0.0002,,imm_006,The Hindu,immigration,neutral
art_066,Google,NEGATIVE,0.0,0.5,,,-0.5,8.0,imm_006,The Hindu,immigration,neutral
art_066,Azure,NEGATIVE,0.0,0.75,0.25,,-0.75,,imm_006,The Hindu,immigration,neutral
art_067,AWS,NEUTRAL,0.0624,0.0077,0.9268,0.0032,0.0547,,imm_007,Fox News,immigration,security
art_067,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,10.4,imm_007,Fox News,immigration,security
art_067,Azure,NEGATIVE,0.0,0.84,0.15,,-0.84,,imm_007,Fox News,immigration,security
art_068,AWS,NEUTRAL,0.0079,0.0043,0.9857,0.0021,0.0036,,imm_007,South China Morning Post,immigration,humanitarian
art_068,Google,NEGATIVE,0.0,0.10000000149011612,,,-0.1,2.3,imm_007,South China Morning Post,immigration,humanitarian
art_068,Azure,NEGATIVE,0.04,0.55,0.42,,-0.51,,imm_007,South China Morning Post,immigration,humanitarian
art_069,AWS,NEUTRAL,0.0131,0.1284,0.851,0.0076,-0.1154,,imm_007,Straits Times,immigration,neutral
art_069,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,11.7,imm_007,Straits Times,immigration,neutral
art_069,Azure,MIXED,0.08,0.74,0.18,,-0.66,,imm_007,Straits Times,immigration,neutral
art_070,AWS,NEUTRAL,0.0628,0.0161,0.8646,0.0565,0.0467,,imm_007,CNN,immigration,neutral
art_070,Google,NEGATIVE,0.0,0.5,,,-0.5,14.3,imm_007,CNN,immigration,neutral
art_070,Azure,NEGATIVE,0.0,0.73,0.26,,-0.73,,imm_007,CNN,immigration,neutral
art_071,AWS,NEUTRAL,0.0233,0.0628,0.7534,0.1605,-0.0395,,imm_007,BBC,immigration,security
art_071,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,15.3,imm_007,BBC,immigration,security
art_071,Azure,NEGATIVE,0.0,0.81,0.19,,-0.81,,imm_007,BBC,immigration,security
art_072,AWS,NEUTRAL,0.0117,0.0009,0.9874,0.0,0.0108,,imm_007,Reuters,immigration,neutral
art_072,Google,VERY_NEGATIVE,0.0,0.6000000238418579,,,-0.6,6.0,imm_007,Reuters,immigration,neutral
art_072,Azure,MIXED,0.09,0.7,0.21,,-0.61,,imm_007,Reuters,immigration,neutral
art_073,AWS,NEUTRAL,0.0185,0.0085,0.9701,0.0029,0.01,,imm_007,Al Jazeera,immigration,humanitarian
art_073,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,8.8,imm_007,Al Jazeera,immigration,humanitarian
art_073,Azure,NEGATIVE,0.0,0.82,0.18,,-0.82,,imm_007,Al Jazeera,immigration,humanitarian
art_074,AWS,NEUTRAL,0.1031,0.0372,0.8555,0.0042,0.0659,,imm_007,The Guardian,immigration,humanitarian
art_074,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,12.0,imm_007,The Guardian,immigration,humanitarian
art_074,Azure,NEGATIVE,0.0,0.79,0.21,,-0.79,,imm_007,The Guardian,immigration,humanitarian
art_075,AWS,NEUTRAL,0.0038,0.0045,0.9901,0.0016,-0.0007,,imm_007,Le Monde,immigration,security
art_075,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,5.2,imm_007,Le Monde,immigration,security
art_075,Azure,NEGATIVE,0.12,0.57,0.31,,-0.45,,imm_007,Le Monde,immigration,security
art_076,AWS,NEUTRAL,0.0043,0.0045,0.9904,0.0008,-0.0001,,imm_007,News24,immigration,neutral
art_076,Google,VERY_NEGATIVE,0.0,0.699999988079071,,,-0.7,2.9,imm_007,News24,immigration,neutral
art_076,Azure,NEGATIVE,0.0,0.81,0.19,,-0.81,,imm_007,News24,immigration,neutral
art_077,AWS,NEUTRAL,0.0094,0.0087,0.9816,0.0003,0.0007,,imm_007,The Hindu,immigration,neutral
art_077,Google,NEGATIVE,0.0,0.5,,,-0.5,13.3,imm_007,The Hindu,immigration,neutral
art_077,Azure,NEGATIVE,0.0,0.76,0.24,,-0.76,,imm_007,The Hindu,immigration,neutral
art_078,AWS,NEUTRAL,0.0113,0.0044,0.9611,0.0232,0.0069,,imm_007,Xinhua,immigration,neutral
art_078,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,5.6,imm_007,Xinhua,immigration,neutral
art_078,Azure,NEGATIVE,0.0,0.83,0.17,,-0.83,,imm_007,Xinhua,immigration,neutral
art_079,AWS,NEUTRAL,0.0032,0.0083,0.9877,0.0007,-0.0052,,imm_008,Fox News,immigration,security
art_079,Google,NEGATIVE,0.0,0.10000000149011612,,,-0.1,4.4,imm_008,Fox News,immigration,security
art_079,Azure,MIXED,0.39,0.44,0.17,,-0.05,,imm_008,Fox News,immigration,security
art_080,AWS,NEUTRAL,0.0131,0.0426,0.9224,0.0218,-0.0294,,imm_008,The Hindu,immigration,humanitarian
art_080,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,4.4,imm_008,The Hindu,immigration,humanitarian
art_080,Azure,NEGATIVE,0.0,0.59,0.4,,-0.59,,imm_008,The Hindu,immigration,humanitarian
art_081,AWS,NEUTRAL,0.0267,0.0118,0.8871,0.0745,0.0149,,imm_008,News24,immigration,security
art_081,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,2.8,imm_008,News24,immigration,security
art_081,Azure,MIXED,0.07,0.74,0.19,,-0.67,,imm_008,News24,immigration,security
