article_id,sentence_idx,target_text,target_sentiment,assessment_text,assessment_sentiment,sentence_sentiment,sentence_text,pair_id,outlet,topic,frame
art_023,12,sanctions,negative,anger,negative,negative,"In June this year, the sanctions were increased again, causing the Belarusian government's anger. ",imm_005,China Daily,immigration,humanitarian
art_023,22,Schengen Area system,negative,flawed,negative,negative,"On the one hand, the Schengen Area system, under which a group of European countries have agreed to abolish passport and customs controls among one another, remains flawed. ",imm_005,China Daily,immigration,humanitarian
art_023,30,Schengen mechanism,negative,shortcomings,negative,negative,"Six years on, the shortcomings of the Schengen mechanism still exist, and if problems such as how to control refugee flow and pacify border countries are not properly addressed, any large-scale influx",imm_005,China Daily,immigration,humanitarian
art_024,6,night,negative,calm,negative,negative,"""It wasn't a calm night. ",imm_005,BBC,immigration,security
art_025,7,journey,negative,perilous,negative,negative,A perilous journey Journalists and aid workers have been blocked from traveling to the area by an exclusion zone put into effect after Poland declared a state of emergency recently. ,imm_005,CNN,immigration,security
art_025,23,crew,positive,marvelous,positive,positive,They took me to the hospital and the crew at the hospital are marvelous. ,imm_005,CNN,immigration,security
art_025,28,video,negative,clear,negative,negative,CNN cannot verify that claim as the video is not clear enough to say what is happening – but it is yet an example of the war of words which have escalated in the conflict. ,imm_005,CNN,immigration,security
art_026,7,conditions,negative,dangerous,negative,negative,"Many are women and young children and conditions are extremely dangerous, with temperatures dipping below freezing overnight. ",imm_005,The Guardian,immigration,humanitarian
art_026,22,Flights,positive,important,positive,neutral,Flights from Iraqi Kurdistan have been an important conduit for smugglers to bring people from various Middle Eastern countries to Belarus. ,imm_005,The Guardian,immigration,humanitarian
art_026,33,temperatures,negative,dangerous,negative,negative,"Meanwhile, temperatures in the forested no man’s land between Belarus and Poland are falling and becoming more dangerous every day. ",imm_005,The Guardian,immigration,humanitarian
art_027,8,victory,negative,fraudulent,negative,neutral,"His victory in the 2020 presidential polls, widely perceived as fraudulent, triggered nation-wide protests by pro-democracy activists. ",imm_005,The Hindu,immigration,neutral
art_027,20,border security,positive,tightened,positive,neutral,"It has tightened its border security, amassing 15,000 troops and creating a two-mile deep buffer zone to prevent unauthorised border crossings. ",imm_005,The Hindu,immigration,neutral
art_028,6,actions,negative,aggressive,negative,negative,"These are aggressive actions that we must repel, fulfilling our obligations as a member of the European Union."" ",imm_005,Reuters,immigration,humanitarian
art_029,1,situation,negative,tense,negative,negative,"Talking to the press, spokesman Dmitry Peskov called the situation on the frontier “extremely tense,” slamming the EU countries for treating the refugees passing from Belarus to Poland as somehow diff",imm_005,RT News,immigration,humanitarian
art_029,11,story,positive,Like,positive,neutral,Like this story? ,imm_005,RT News,immigration,humanitarian
art_030,12,Conditions,positive,improved,positive,neutral,"Migrants continue to face harsh conditions Conditions have improved for some migrants who are trying to get into the EU, with some given shelter in a warehouse in Belarus. ",imm_005,DW,immigration,humanitarian
art_030,15,experience,positive,heartrending,positive,negative,"""It was a really heartrending experience, because we got a tip from local aid workers that somebody had called for help from the forest, and we went out into the forest with them. ",imm_005,DW,immigration,humanitarian
art_030,25,conventions,negative,suspended,negative,negative,"And so these basic principles, these conventions are suspended. ",imm_005,DW,immigration,humanitarian
art_030,34,guiding principles,negative,sidelined,negative,neutral,The migration adviser also said that the guiding principles of the 1951 Refugee Convention have been sidelined. ,imm_005,DW,immigration,humanitarian
art_031,3,Stories,positive,Recommended,positive,negative,Recommended Stories list of 4 items- list 1 of 4Migrants stuck at Belarus-Poland border used as “political pawns” - list 2 of 4Fears grow for child refugees stranded on Belarus-Poland border - list 3 ,imm_005,Al Jazeera,immigration,humanitarian
art_031,16,situation,negative,angry,negative,negative,EU creating a humanitarian crisis: Sea Watch The non-governmental group Sea Watch International has said it is “shocked and angry” about the situation. ,imm_005,Al Jazeera,immigration,humanitarian
art_033,9,crew,positive,safe,positive,neutral,"All crew and activists were reported safe.
",pol_001,Al Jazeera,political conflict,people-centric
art_033,9,activists,positive,safe,positive,neutral,"All crew and activists were reported safe.
",pol_001,Al Jazeera,political conflict,people-centric
art_034,0,passengers,positive,safe,positive,neutral,"An activist group seeking to break Israel’s siege on Gaza by sea said one of its main boats was struck by a drone at a port in Tunisia on Monday night, but all six passengers and crew are safe. ",pol_001,CNN,political conflict,neutral
art_034,0,crew,positive,safe,positive,neutral,"An activist group seeking to break Israel’s siege on Gaza by sea said one of its main boats was struck by a drone at a port in Tunisia on Monday night, but all six passengers and crew are safe. ",pol_001,CNN,political conflict,neutral
art_034,8,fire,positive,extinguished,positive,neutral,"The fire was extinguished and all passengers and crew were safe, the group said. ",pol_001,CNN,political conflict,neutral
art_034,20,features,negative,exclusive,negative,neutral,"The features, he said, were “common, but not exclusive, to some models of Israeli hand grenades,” adding that better images may reveal more details. ",pol_001,CNN,political conflict,neutral
art_036,2,travel ban,negative,restricts,negative,neutral,"The new travel ban restricts people from six Muslim-majority countries from entering the United States for 90 days and all refugees for 120 days, unless they can prove a ""bona fide"" relationship with ",imm_003,Global Times,immigration,neutral
art_036,5,family ties,negative,excluded,negative,negative,"However, some family ties are excluded from the ""bona fide"" relationships, including grandparents and grandchildren, as well as aunts and uncles. ",imm_003,Global Times,immigration,neutral
art_037,21,order,negative,confusion,negative,negative,The order caused major confusion at airports as officials scrambled to enforce it and was blocked by federal courts. ,imm_003,Al Jazeera,immigration,humanitarian
art_037,23,airports,positive,orderly,positive,neutral,"On Thursday, hours before the narrowed version of Trump’s order came into effect at 8pm local time (00:00 GMT Friday), New York’s airports were more orderly. ",imm_003,Al Jazeera,immigration,humanitarian
art_037,27,inbox,negative,overflowing,negative,neutral,"My inbox is overflowing because lawyers say they’re ready to come back out to fight,” added Mackler, advising those in need to get in touch with the Muslim Immigration Ban Hotline. ",imm_003,Al Jazeera,immigration,humanitarian
art_038,17,injunction,negative,too broad,negative,negative,"However, a three-judge panel of the 9th Circuit later concluded that the injunction was too broad. ",imm_003,RT News,immigration,neutral
art_040,29,policy,negative,un-American,negative,negative,"However, critics called the policy un-American and Islamophobic, and said that this ban would not have stopped atrocities in the US perpetrated by American-born attackers. ",imm_003,BBC,immigration,humanitarian
art_040,29,policy,negative,Islamophobic,negative,negative,"However, critics called the policy un-American and Islamophobic, and said that this ban would not have stopped atrocities in the US perpetrated by American-born attackers. ",imm_003,BBC,immigration,humanitarian
art_043,2,case,positive,important,positive,neutral,"""We have asked the Supreme Court to hear this important case and are confident that President Trump's executive order is well within his lawful authority to keep the nation safe and protect our commun",imm_003,France 24,immigration,security
art_044,16,scene,positive,calm,positive,negative,"At John F Kennedy airport in New York City, the site of some of the largest protests when the Trump’s first order was chaotically rolled out in January, the scene was calm as the partial ban rolled in",imm_003,The Guardian,immigration,humanitarian
art_044,26,group,positive,encouraged,positive,neutral,The group encouraged any passengers traveling to the US who had concerns about entry to ring a hotline offering legal advice. ,imm_003,The Guardian,immigration,humanitarian
art_046,12,exemptions,negative,unfair,negative,negative,"Immigrant rights groups and Democrats in Congress continued to label Trump's order ""illegal"" and said the exemptions provided in a Supreme Court ruling on Monday remained unfair. ",imm_003,Daily Maverick,immigration,security
art_046,17,hotel reservation,positive,qualify,positive,negative,"But a hotel reservation, even if already paid for, does not qualify. ",imm_003,Daily Maverick,immigration,security
art_046,23,travel ban,negative,unconstitutional,negative,negative,"""Just hours before the president's unconstitutional and misguided travel ban takes partial effect tonight, administration officials briefing Congress were unwilling or unable to provide meaningful ans",imm_003,Daily Maverick,immigration,security
art_046,23,travel ban,negative,misguided,negative,negative,"""Just hours before the president's unconstitutional and misguided travel ban takes partial effect tonight, administration officials briefing Congress were unwilling or unable to provide meaningful ans",imm_003,Daily Maverick,immigration,security
art_047,12,number,negative,fluctuating,negative,negative,"""The number is fluctuating, because people are stuck on the Belarusian border with Poland or Lithuania and so far they have not been authorised to go back to Minsk by the Belarusian authorities,"" al-K",imm_004,Fox News,immigration,security
art_048,4,EU-Belarus relations,negative,strained,negative,negative,EU-Belarus relations have been severely strained since long-term leader Alexander Lukashenko declared victory in a discredited presidential election last year and tried to silence dissent by cracking ,imm_004,BBC,immigration,neutral
art_049,2,scenes,negative,chaotic,negative,negative,"There were chaotic scenes on the Bruzgi-Kuźnica border crossing, where crowds of migrants could be seen breaking up concrete blocks and gathering tree branches to throw toward the Polish side. ",imm_004,CNN,immigration,humanitarian
art_049,16,BelTA,negative,aggravation,negative,negative,"BelTA reported “an aggravation of the situation” on the border on Tuesday, as migrants try “by all means to get to Poland” and Polish authorities respond with tear gas, stun grenades and water cannon,",imm_004,CNN,immigration,humanitarian
art_050,8,migrants,positive,aggressive,positive,negative,"“The migrants are very aggressive, they throw stones at Polish officers and soldiers.” ",imm_004,The Guardian,immigration,humanitarian
art_050,21,information,negative,disturbing,negative,negative,“We have been receiving more and more disturbing information stating of attempts at forcing migrants to take part in Belarusian provocation and to use violence against the Polish officers … ,imm_004,The Guardian,immigration,humanitarian
art_050,35,place,positive,beautiful,positive,positive,I want my son Taman to live in a beautiful place.” ,imm_004,The Guardian,immigration,humanitarian
art_051,4,situation,positive,escalation,positive,negative,The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake. ,imm_004,The Hindu,immigration,neutral
art_052,4,situation,positive,escalation,positive,negative,The situation marks an escalation in a tense migration and political border crisis amongst the European Union countries where the lives of thousands of migrants are at stake. ,imm_004,The Hindu,immigration,neutral
art_053,20,number,negative,fluctuating,negative,negative,"The number is fluctuating, because people are stuck on the Belarusian border with Poland or Lithuania and so far they have not been authorised to go back to Minsk by the Belarusian authorities,"" the c",imm_004,Reuters,immigration,neutral
art_054,2,browser extensions,negative,blocking,negative,neutral,One of your browser extensions seems to be blocking the video player from loading. ,imm_004,France 24,immigration,security
art_054,11,browser extensions,negative,blocking,negative,neutral,One of your browser extensions seems to be blocking the video player from loading. ,imm_004,France 24,immigration,security
art_054,27,browser extensions,negative,blocking,negative,neutral,One of your browser extensions seems to be blocking the video player from loading. ,imm_004,France 24,immigration,security
art_054,34,Turkish Airlines,negative,banned,negative,negative,"Turkish Airlines has now banned Iraqis, Syrians and Yemenis from flying to Belarus via Turkey and private Syrian carrier Cham Wings Airlines has said it will halt flights to Minsk. ",imm_004,France 24,immigration,security
art_054,35,flights,negative,banned,negative,neutral,"Belarus's state-run airline Belavia has also said that Syrians, Iraqis, Yemenis and Afghans are banned from incoming flights from the United Arab Emirates at Dubai's request.",imm_004,France 24,immigration,security
art_055,3,Stories,positive,Recommended,positive,neutral,Recommended Stories list of 4 items- list 1 of 4In Pictures: Refugee crisis at Polish-Belarusian border - list 2 of 4EU agrees new sanctions on Belarus over border crisis - list 3 of 4What’s Putin’s g,imm_004,Al Jazeera,immigration,humanitarian
art_055,7,actions,negative,illegal,negative,neutral,The actions of the Polish forces are not only illegal but also inhuman.” ,imm_004,Al Jazeera,immigration,humanitarian
art_055,7,actions,negative,inhuman,negative,neutral,The actions of the Polish forces are not only illegal but also inhuman.” ,imm_004,Al Jazeera,immigration,humanitarian
art_055,7,Polish forces,negative,illegal,negative,neutral,The actions of the Polish forces are not only illegal but also inhuman.” ,imm_004,Al Jazeera,immigration,humanitarian
art_055,7,Polish forces,negative,inhuman,negative,neutral,The actions of the Polish forces are not only illegal but also inhuman.” ,imm_004,Al Jazeera,immigration,humanitarian
art_055,15,situation,positive,calmer,positive,neutral,The situation appeared calmer by the afternoon. ,imm_004,Al Jazeera,immigration,humanitarian
art_055,21,practice,negative,dubious,negative,neutral,"Polish authorities passed a law that effectively legalises pushbacks, although the practice remains dubious under international law. ",imm_004,Al Jazeera,immigration,humanitarian
art_055,22,border area,negative,inaccessible,negative,negative,"Moreover, the border area has been marked as a state of emergency which means that it is inaccessible to media and NGOs, meaning they can neither gather information nor provide migrants with humanitar",imm_004,Al Jazeera,immigration,humanitarian
art_057,0,case,positive,landmark,positive,neutral,"The Supreme Court on Friday agreed to review the legality of President Donald Trump's executive order to end birthright citizenship in the U.S., a landmark case that stands to profoundly upend the liv",imm_006,Fox News,immigration,neutral
art_057,4,provision,negative,misinterpreted,negative,negative,"Trump's order would reinterpret the 14th Amendment, which states, ""All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and ",imm_006,Fox News,immigration,neutral
art_057,5,language,negative,blocked,negative,neutral,"FEDERAL JUDGE BLOCKS TRUMP'S BIRTHRIGHT CITIZENSHIP BAN FOR ALL INFANTS, TESTING LOWER COURT POWERS Instead, the language put forth by the Trump administration, and which remains blocked by lower cour",imm_006,Fox News,immigration,neutral
art_057,7,effort,negative,unconstitutional,negative,negative,"Meanwhile, opponents argue that the effort is an unconstitutional and ""unprecedented"" effort that would threaten some 150,000 children in the U.S. born annually to parents of non-citizens, and an esti",imm_006,Fox News,immigration,neutral
art_057,12,executive order,negative,unconstitutional,negative,negative,"More than 22 U.S. states and immigrants' rights groups have sued the Trump administration to block the change to birthright citizenship, arguing in court filings that the executive order is both uncon",imm_006,Fox News,immigration,neutral
art_059,12,executive order,negative,unconstitutional,negative,neutral,"District Judge John Coughenour, who heard the case in Washington state, described the president’s executive order as “blatantly unconstitutional”. ",imm_006,Straits Times,immigration,security
art_060,21,citations,negative,inapposite,negative,negative,"“Their case amounts to little more than a jumble of historical misstatements, inapposite citations, newly manufactured doctrines, and – more than anything else – policy preferences,” the American Civi",imm_006,CNN,immigration,neutral
art_060,21,doctrines,negative,newly manufactured,negative,negative,"“Their case amounts to little more than a jumble of historical misstatements, inapposite citations, newly manufactured doctrines, and – more than anything else – policy preferences,” the American Civi",imm_006,CNN,immigration,neutral
art_063,3,Stories,positive,Recommended,positive,neutral,Recommended Stories list of 3 items- list 1 of 3What’s at stake in US Supreme Court birthright citizenship case? ,imm_006,Al Jazeera,immigration,neutral
art_063,14,executive order,negative,unconstitutional,negative,neutral,"District Judge John Coughenour, who heard the case in Washington state, described the president’s executive order as “blatantly unconstitutional”. ",imm_006,Al Jazeera,immigration,neutral
art_064,2,order,positive,contentious,positive,negative,The order was a contentious part of the administration’s far-reaching immigration crackdown – and a step that would transform the interpretation of a 19th-century constitutional provision. ,imm_006,The Guardian,immigration,humanitarian
art_064,3,order,negative,violates,negative,neutral,"Multiple judges across the country filed injunctions blocking the order, finding it violates or probably violates the constitution, federal statute and US supreme court precedent. ",imm_006,The Guardian,immigration,humanitarian
art_065,11,president's executive order,negative,unconstitutional,negative,neutral,"District Judge John Coughenour, who heard the case in Washington state, described the president's executive order as ""blatantly unconstitutional."" ",imm_006,Le Monde,immigration,neutral
art_066,13,executive order,negative,unconstitutional,negative,neutral,"In a series of decisions, lower courts have struck down the executive order as unconstitutional, or likely so, even after a Supreme Court ruling in late June that limited judges' use of nationwide inj",imm_006,The Hindu,immigration,neutral
art_067,8,thing,negative,craziest,negative,negative,It is the craziest thing I've ever seen. ,imm_007,Fox News,immigration,security
art_069,12,gift,positive,profound,positive,neutral,"‘Priceless and profound gift’ US Solicitor-General D. John Sauer, representing the administration, told the justices that most nations do not grant automatic birthright citizenship. ",imm_007,Straits Times,immigration,neutral
art_071,0,Supreme Court,negative,sceptical,negative,negative,"US Supreme Court appears sceptical of Trump plan to limit birthright citizenship The Supreme Court has appeared sceptical of President Donald Trump's executive order limiting birthright citizenship, a",imm_007,BBC,immigration,security
art_071,1,court,negative,unconvinced,negative,neutral,A majority of the court seemed unconvinced the US should stop granting citizenship to children of undocumented immigrants and some temporary US visitors. ,imm_007,BBC,immigration,security
art_073,3,Stories,positive,Recommended,positive,neutral,Recommended Stories list of 3 items- list 1 of 3Can Trump end birthright citizenship? ,imm_007,Al Jazeera,immigration,humanitarian
art_074,3,case,positive,significant,positive,neutral,His attendance was a striking signal of just how significant this case is. ,imm_007,The Guardian,immigration,humanitarian
art_074,13,arguments,negative,alarming,negative,negative,The arguments also raised alarming questions about who should and would be considered American. ,imm_007,The Guardian,immigration,humanitarian
art_075,4,move,negative,unconstitutional,negative,neutral,"Lower courts blocked the move as unconstitutional, ruling that under the Citizenship Clause of the 14th Amendment, nearly everyone born on US soil is an American citizen. ",imm_007,Le Monde,immigration,security
art_076,4,move,negative,unconstitutional,negative,neutral,"Lower courts blocked the move as unconstitutional, ruling that under the Citizenship Clause of the 14th Amendment nearly everyone born on US soil is an American citizen.",imm_007,News24,immigration,neutral
art_077,20,executive order,negative,blocked,negative,negative,The executive order has been blocked by three U.S. district courts on a nationwide basis for violating the Constitution.Trump administration has argued for a narrowing down the lower courts’ injunctio,imm_007,The Hindu,immigration,neutral
art_077,26,executive order,negative,blocked,negative,negative,"The executive order issued by Mr. Trump is, as of now, blocked and all babies born on U.S. soil are being issued American birth certificates and considered citizens, regardless of the parents’ immigra",imm_007,The Hindu,immigration,neutral
art_077,29,executive order,negative,retroactive,negative,negative,"the executive order is not retroactive in scope, which means that it would not impact children born before the order was issued.",imm_007,The Hindu,immigration,neutral
art_078,0,plan,positive,contentious,positive,neutral,Trump to attend birthright citizenship case in top court Updated: 2026-04-02 09:35 WASHINGTON — The US Supreme Court was set on Wednesday to consider the legality of President Donald Trump's directive,imm_007,Xinhua,immigration,neutral
art_078,4,policy,negative,violated,negative,negative,"His policy violated citizenship language in the US Constitution's 14th Amendment as well as a federal law codifying birthright citizenship rights, the lower court found, acting in a class-action lawsu",imm_007,Xinhua,immigration,neutral
art_079,6,economy,negative,souring,negative,neutral,TRUMP SET TO MEET WITH WORLD LEADERS IN DC DURING BUSY WEEK AS RUSSIA-UKRAINE PEACE TALKS CONTINUE The snap election came as the European nation grapples with illegal immigration and a souring economy,imm_008,Fox News,immigration,security
art_080,1,Mr. Vance,negative,pilloried,negative,neutral,Mr. Vance was pilloried for “interfering in Germany’s affairs”. ,imm_008,The Hindu,immigration,humanitarian
art_080,6,security,positive,fragile,positive,neutral,The security and peace that Germany and Europe had come to cherish after the fall of the Wall is fragile. ,imm_008,The Hindu,immigration,humanitarian
art_081,5,support,positive,glowing,positive,neutral,"In a strange twist to the polarised campaign, the AfD has basked in the glowing support lavished on it by Trump's entourage, with billionaire Elon Musk touting it as the only party to ""save Germany"".",imm_008,News24,immigration,security
art_081,20,AfD,positive,best-ever,positive,neutral,"The AfD, strongest in the ex-communist east, is on track for its best-ever result after Germany was shocked by a series of high-profile attacks in which the suspects wereasylum seekers.",imm_008,News24,immigration,security
art_081,22,attacks,negative,deadly,negative,negative,"More deadly attacks followed, both blamed on Afghan asylum seekers: a stabbing spree targeting kindergarten children and another car-ramming attack in Munich.On Friday, a Syrian man who police said wa",imm_008,News24,immigration,security
art_082,27,figure Merkel,negative,Hate,negative,negative,"Hate figure Merkel If there is one figure who consistently attracts AfD voters’ ire, it is Dr Merkel, who decided to phase out nuclear power after Japan’s 2011 Fukushima disaster and allowed more than",imm_008,Straits Times,immigration,security
art_084,7,feeling,positive,amazing,positive,positive,It's the most amazing feeling. ,imm_008,Reuters,immigration,neutral
art_087,9,mood,positive,ecstatic,positive,neutral,"The mood at the far right’s election party in Berlin was ecstatic as the exit polls first flashed onto the screens, with people cheering and waving Germany flags. ",imm_008,CNN,immigration,neutral
art_087,11,interventions,positive,dramatic,positive,negative,"These interventions are “no less dramatic and drastic and ultimately outrageous than the interventions we have seen from Moscow,” Merz said. ",imm_008,CNN,immigration,neutral
art_087,11,interventions,positive,drastic,positive,negative,"These interventions are “no less dramatic and drastic and ultimately outrageous than the interventions we have seen from Moscow,” Merz said. ",imm_008,CNN,immigration,neutral
art_087,11,interventions,positive,outrageous,negative,negative,"These interventions are “no less dramatic and drastic and ultimately outrageous than the interventions we have seen from Moscow,” Merz said. ",imm_008,CNN,immigration,neutral
art_087,16,policy,negative,controversial,negative,neutral,The controversial policy has drawn comparisons to the Nazi era. ,imm_008,CNN,immigration,neutral
art_088,19,election,positive,divisive,positive,neutral,"The result was a divisive election that had helped to legitimise the far right, said Ella, 30. ",imm_008,The Guardian,immigration,humanitarian
art_088,27,coalition,positive,easy,positive,neutral,"“I don’t know what kind of coalition we’re going to have now, but I think it won’t be easy to make new laws and to keep politics going here in Germany,” Charlotte said. ",imm_008,The Guardian,immigration,humanitarian
