article_id,IAEI,api,method,pair_id,outlet,topic,frame
art_045,0.2745098039215686,Google,native_entity_sentiment,imm_003,South China Morning Post,immigration,neutral
art_046,0.3825842696629214,Google,native_entity_sentiment,imm_003,Daily Maverick,immigration,security
art_047,0.3948717948717949,Google,native_entity_sentiment,imm_004,Fox News,immigration,security
art_048,0.357051282051282,Google,native_entity_sentiment,imm_004,BBC,immigration,neutral
art_049,0.4619318181818181,Google,native_entity_sentiment,imm_004,CNN,immigration,humanitarian
art_050,0.3821428571428572,Google,native_entity_sentiment,imm_004,The Guardian,immigration,humanitarian
art_051,0.5826923076923077,Google,native_entity_sentiment,imm_004,The Hindu,immigration,neutral
art_052,0.5826923076923077,Google,native_entity_sentiment,imm_004,The Hindu,immigration,neutral
art_053,0.4795081967213114,Google,native_entity_sentiment,imm_004,Reuters,immigration,neutral
art_054,0.3409638554216868,Google,native_entity_sentiment,imm_004,France 24,immigration,security
art_055,0.2765100671140939,Google,native_entity_sentiment,imm_004,Al Jazeera,immigration,humanitarian
art_056,0.475,Google,native_entity_sentiment,imm_004,Straits Times,immigration,security
art_057,0.3571428571428572,Google,native_entity_sentiment,imm_006,Fox News,immigration,neutral
art_058,0.5765625,Google,native_entity_sentiment,imm_006,South China Morning Post,immigration,humanitarian
art_059,0.4,Google,native_entity_sentiment,imm_006,Straits Times,immigration,security
art_060,0.2893333333333333,Google,native_entity_sentiment,imm_006,CNN,immigration,neutral
art_061,0.2969696969696969,Google,native_entity_sentiment,imm_006,BBC,immigration,security
art_062,0.4947368421052631,Google,native_entity_sentiment,imm_006,Reuters,immigration,neutral
art_063,0.4793388429752066,Google,native_entity_sentiment,imm_006,Al Jazeera,immigration,neutral
art_064,0.3082191780821918,Google,native_entity_sentiment,imm_006,The Guardian,immigration,humanitarian
art_065,0.471875,Google,native_entity_sentiment,imm_006,Le Monde,immigration,neutral
art_066,0.502,Google,native_entity_sentiment,imm_006,The Hindu,immigration,neutral
art_067,0.3918918918918919,Google,native_entity_sentiment,imm_007,Fox News,immigration,security
art_068,0.1590909090909091,Google,native_entity_sentiment,imm_007,South China Morning Post,immigration,humanitarian
art_069,0.389937106918239,Google,native_entity_sentiment,imm_007,Straits Times,immigration,neutral
art_070,0.4862318840579709,Google,native_entity_sentiment,imm_007,CNN,immigration,neutral
art_071,0.192258064516129,Google,native_entity_sentiment,imm_007,BBC,immigration,security
art_072,0.5925,Google,native_entity_sentiment,imm_007,Reuters,immigration,neutral
art_073,0.1967948717948718,Google,native_entity_sentiment,imm_007,Al Jazeera,immigration,humanitarian
art_074,0.2026845637583892,Google,native_entity_sentiment,imm_007,The Guardian,immigration,humanitarian
art_075,0.2939393939393939,Google,native_entity_sentiment,imm_007,Le Monde,immigration,security
art_076,0.7,Google,native_entity_sentiment,imm_007,News24,immigration,neutral
art_077,0.495679012345679,Google,native_entity_sentiment,imm_007,The Hindu,immigration,neutral
art_078,0.2909090909090909,Google,native_entity_sentiment,imm_007,Xinhua,immigration,neutral
art_079,0.1477611940298507,Google,native_entity_sentiment,imm_008,Fox News,immigration,security
art_080,0.2945945945945946,Google,native_entity_sentiment,imm_008,The Hindu,immigration,humanitarian
art_081,0.2128205128205128,Google,native_entity_sentiment,imm_008,News24,immigration,security
art_082,0.3790123456790124,Google,native_entity_sentiment,imm_008,Straits Times,immigration,security
art_083,0.4113636363636364,Google,native_entity_sentiment,imm_008,South China Morning Post,immigration,neutral
art_084,0.2109090909090909,Google,native_entity_sentiment,imm_008,Reuters,immigration,neutral
art_085,0.3773584905660377,Google,native_entity_sentiment,imm_008,BBC,immigration,neutral
art_086,0.0585185185185185,Google,native_entity_sentiment,imm_008,Le Monde,immigration,neutral
art_087,0.2177914110429447,Google,native_entity_sentiment,imm_008,CNN,immigration,neutral
art_088,0.2898648648648648,Google,native_entity_sentiment,imm_008,The Guardian,immigration,humanitarian
art_089,0.0246031746031746,Google,native_entity_sentiment,imm_008,Al Jazeera,immigration,neutral
art_090,0.1108910891089109,Google,native_entity_sentiment,imm_008,RT News,immigration,neutral
art_091,0.0410071942446043,Google,native_entity_sentiment,imm_008,Global Times,immigration,neutral
art_092,0.0078651685393258,Google,native_entity_sentiment,imm_008,Global Times,immigration,neutral
art_093,0.3742857142857143,Google,native_entity_sentiment,pol_001,Reuters,political conflict,people-centric
art_094,0.2015873015873016,Google,native_entity_sentiment,pol_001,The Guardian,political conflict,neutral
art_095,0.2872180451127819,Google,native_entity_sentiment,pol_001,Le Monde,political conflict,people-centric
art_096,0.16,Google,native_entity_sentiment,pol_001,South China Morning Post,political conflict,neutral
art_097,0.1046728971962616,Google,native_entity_sentiment,pol_001,Fox News,political conflict,neutral
art_098,0.3280701754385965,Google,native_entity_sentiment,pol_001,Straits Times,political conflict,state-centric
art_099,0.4,Google,native_entity_sentiment,pol_001,The Hindu,political conflict,neutral
art_100,0.2554945054945055,Google,native_entity_sentiment,pol_001,Daily Maverick,political conflict,people-centric
art_101,0.2873239436619718,Google,native_entity_sentiment,pol_002,RT News,political conflict,neutral
art_102,0.3692737430167598,Google,native_entity_sentiment,pol_002,Al Jazeera,political conflict,neutral
art_103,0.2950310559006211,Google,native_entity_sentiment,pol_002,CNN,political conflict,state-centric
art_104,0.2769230769230769,Google,native_entity_sentiment,pol_002,BBC,political conflict,state-centric
art_105,0.4817142857142857,Google,native_entity_sentiment,pol_002,Reuters,political conflict,people-centric
art_106,0.2924418604651163,Google,native_entity_sentiment,pol_002,The Guardian,political conflict,neutral
art_107,0.2745341614906832,Google,native_entity_sentiment,pol_002,Le Monde,political conflict,neutral
art_108,0.2729166666666666,Google,native_entity_sentiment,pol_002,South China Morning Post,political conflict,neutral
art_109,0.2060975609756097,Google,native_entity_sentiment,pol_002,Global Times,political conflict,state-centric
art_110,0.1990654205607476,Google,native_entity_sentiment,pol_002,Fox News,political conflict,neutral
art_111,0.2555555555555555,Google,native_entity_sentiment,pol_002,Straits Times,political conflict,state-centric
art_112,0.2904761904761904,Google,native_entity_sentiment,pol_002,The Hindu,political conflict,neutral
art_113,0.2858333333333333,Google,native_entity_sentiment,pol_002,Daily Maverick,political conflict,people-centric
art_114,0.4231884057971014,Google,native_entity_sentiment,pol_003,RT News,political conflict,neutral
art_115,0.4167883211678832,Google,native_entity_sentiment,pol_003,Al Jazeera,political conflict,people-centric
art_116,0.4985507246376811,Google,native_entity_sentiment,pol_003,CNN,political conflict,people-centric
art_117,0.3375757575757576,Google,native_entity_sentiment,pol_003,BBC,political conflict,state-centric
art_118,0.6643410852713177,Google,native_entity_sentiment,pol_003,Reuters,political conflict,neutral
art_119,0.4304093567251462,Google,native_entity_sentiment,pol_003,The Guardian,political conflict,people-centric
art_120,0.2725274725274725,Google,native_entity_sentiment,pol_003,Le Monde,political conflict,neutral
art_121,0.2774193548387096,Google,native_entity_sentiment,pol_003,South China Morning Post,political conflict,people-centric
art_122,0.0901840490797546,Google,native_entity_sentiment,pol_003,Global Times,political conflict,people-centric
art_123,0.449438202247191,Google,native_entity_sentiment,pol_003,Fox News,political conflict,people-centric
art_124,0.37,Google,native_entity_sentiment,pol_003,Straits Times,political conflict,people-centric
art_125,0.5601769911504425,Google,native_entity_sentiment,pol_003,The Hindu,political conflict,people-centric
art_126,0.3714285714285715,Google,native_entity_sentiment,pol_003,Daily Maverick,political conflict,people-centric
art_127,0.3313953488372093,Google,native_entity_sentiment,pol_004,Fox News,political conflict,state-centric
art_128,0.3836477987421384,Google,native_entity_sentiment,pol_004,CNN,political conflict,neutral
art_129,0.2835294117647058,Google,native_entity_sentiment,pol_004,BBC,political conflict,people-centric
art_130,0.6571428571428571,Google,native_entity_sentiment,pol_004,Reuters,political conflict,neutral
art_131,0.2896551724137931,Google,native_entity_sentiment,pol_004,RT News,political conflict,people-centric
art_132,0.2818181818181818,Google,native_entity_sentiment,pol_004,Al Jazeera,political conflict,people-centric
art_133,0.2809815950920245,Google,native_entity_sentiment,pol_004,The Guardian,political conflict,state-centric
art_134,0.3650406504065041,Google,native_entity_sentiment,pol_004,Le Monde,political conflict,state-centric
art_135,0.2749999999999999,Google,native_entity_sentiment,pol_004,Global Times,political conflict,state-centric
art_136,0.4377358490566038,Google,native_entity_sentiment,pol_004,South China Morning Post,political conflict,neutral
art_137,0.2818181818181818,Google,native_entity_sentiment,pol_004,The Hindu,political conflict,neutral
art_138,0.1891472868217054,Google,native_entity_sentiment,pol_004,Indian Express,political conflict,neutral
art_139,0.2774390243902439,Google,native_entity_sentiment,pol_004,Straits Times,political conflict,neutral
art_140,0.4976744186046511,Google,native_entity_sentiment,pol_004,News24,political conflict,people-centric
art_141,0.1909677419354838,Google,native_entity_sentiment,pol_005,Fox News,political conflict,neutral
art_142,0.1916129032258064,Google,native_entity_sentiment,pol_005,CNN,political conflict,neutral
art_143,0.4773809523809524,Google,native_entity_sentiment,pol_005,BBC,political conflict,people-centric
art_144,0.3875,Google,native_entity_sentiment,pol_005,Reuters,political conflict,state-centric
art_145,0.2618181818181818,Google,native_entity_sentiment,pol_005,RT News,political conflict,neutral
art_146,0.2754098360655738,Google,native_entity_sentiment,pol_005,Al Jazeera,political conflict,state-centric
art_147,0.3527472527472527,Google,native_entity_sentiment,pol_005,The Guardian,political conflict,neutral
art_148,0.2886792452830188,Google,native_entity_sentiment,pol_005,Le Monde,political conflict,state-centric
art_149,0.2953271028037383,Google,native_entity_sentiment,pol_005,The Hindu,political conflict,state-centric
art_150,0.2635220125786163,Google,native_entity_sentiment,pol_005,Straits Times,political conflict,state-centric
art_151,0.378494623655914,Google,native_entity_sentiment,pol_005,News24,political conflict,neutral
art_152,0.4551948051948051,Google,native_entity_sentiment,pol_006,Fox News,political conflict,neutral
art_153,0.2862068965517241,Google,native_entity_sentiment,pol_006,Xinhua,political conflict,people-centric
art_154,0.3716981132075472,Google,native_entity_sentiment,pol_006,France 24,political conflict,state-centric
art_155,0.2869565217391304,Google,native_entity_sentiment,pol_006,BBC,political conflict,people-centric
art_156,0.250609756097561,Google,native_entity_sentiment,pol_006,CNN,political conflict,neutral
art_157,0.2072164948453608,Google,native_entity_sentiment,pol_006,RT News,political conflict,state-centric
art_158,0.2786206896551724,Google,native_entity_sentiment,pol_006,Al Jazeera,political conflict,neutral
art_159,0.2786585365853658,Google,native_entity_sentiment,pol_006,The Guardian,political conflict,neutral
art_160,0.2392156862745098,Google,native_entity_sentiment,pol_006,South China Morning Post,political conflict,people-centric
art_161,0.5914473684210526,Google,native_entity_sentiment,pol_006,News24,political conflict,people-centric
art_162,0.3742514970059881,Google,native_entity_sentiment,pol_006,Straits Times,political conflict,people-centric
art_163,0.4795454545454545,Google,native_entity_sentiment,pol_006,The Hindu,political conflict,neutral
art_164,0.5967105263157895,Google,native_entity_sentiment,pol_006,Reuters,political conflict,neutral
art_165,0.282716049382716,Google,native_entity_sentiment,pol_007,RT News,political conflict,neutral
art_166,0.1895424836601307,Google,native_entity_sentiment,pol_007,Al Jazeera,political conflict,neutral
art_167,0.2911764705882353,Google,native_entity_sentiment,pol_007,CNN,political conflict,state-centric
art_168,0.2668604651162791,Google,native_entity_sentiment,pol_007,BBC,political conflict,neutral
art_169,0.4993939393939394,Google,native_entity_sentiment,pol_007,Reuters,political conflict,people-centric
art_170,0.3619047619047619,Google,native_entity_sentiment,pol_007,The Guardian,political conflict,people-centric
art_171,0.010204081632653,Google,native_entity_sentiment,pol_007,Xinhua,political conflict,state-centric
art_172,0.3993630573248408,Google,native_entity_sentiment,pol_007,The Hindu,political conflict,neutral
art_173,0.2,Google,native_entity_sentiment,pol_007,News24,political conflict,state-centric
art_174,0.2785234899328859,Google,native_entity_sentiment,env_001,RT News,environment,neutral
art_175,0.2935064935064935,Google,native_entity_sentiment,env_001,Al Jazeera,environment,neutral
art_176,0.2731034482758621,Google,native_entity_sentiment,env_001,CNN,environment,neutral
art_177,0.3302325581395349,Google,native_entity_sentiment,env_001,BBC,environment,concern
art_178,0.2063291139240506,Google,native_entity_sentiment,env_001,Fox News,environment,skeptical
art_179,0.4689655172413793,Google,native_entity_sentiment,env_001,Reuters,environment,concern
art_180,0.2655844155844156,Google,native_entity_sentiment,env_001,France 24,environment,concern
art_181,0.1957575757575758,Google,native_entity_sentiment,env_001,The Guardian,environment,concern
art_182,0.291025641025641,Google,native_entity_sentiment,env_001,Global Times,environment,neutral
art_183,0.346875,Google,native_entity_sentiment,env_001,Straits Times,environment,neutral
art_184,0.1210526315789473,Google,native_entity_sentiment,env_001,News24,environment,neutral
art_185,0.1932835820895522,Google,native_entity_sentiment,env_001,The Hindu,environment,neutral
art_186,0.0251908396946564,Google,native_entity_sentiment,env_001,Indian Express,environment,concern
art_187,0.0130434782608695,Google,native_entity_sentiment,env_001,South China Morning Post,environment,concern
art_188,0.2767741935483871,Google,native_entity_sentiment,env_002,Fox News,environment,neutral
art_189,0.2,Google,native_entity_sentiment,env_002,The Hindu,environment,concern
art_190,0.1714285714285714,Google,native_entity_sentiment,env_002,South China Morning Post,environment,concern
art_191,0.0941860465116279,Google,native_entity_sentiment,env_002,Global Times,environment,concern
art_192,0.1935185185185185,Google,native_entity_sentiment,env_002,RT News,environment,neutral
art_193,0.2759259259259259,Google,native_entity_sentiment,env_002,BBC,environment,neutral
art_194,0.271505376344086,Google,native_entity_sentiment,env_002,The Guardian,environment,concern
art_195,0.1796407185628742,Google,native_entity_sentiment,env_002,Al Jazeera,environment,concern
art_196,0.2683333333333333,Google,native_entity_sentiment,env_002,CNN,environment,concern
art_197,0.2927777777777777,Google,native_entity_sentiment,env_002,Le Monde,environment,neutral
art_198,0.3448648648648649,Google,native_entity_sentiment,env_002,Straits Times,environment,neutral
art_199,0.1056603773584905,Google,native_entity_sentiment,env_002,News24,environment,neutral
art_200,0.2947916666666666,Google,native_entity_sentiment,env_002,Reuters,environment,concern
art_201,0.2875,Google,native_entity_sentiment,env_003,Reuters,environment,concern
art_202,0.0,Google,native_entity_sentiment,env_003,The Hindu,environment,concern
art_203,0.2464285714285714,Google,native_entity_sentiment,env_003,South China Morning Post,environment,concern
art_204,0.081081081081081,Google,native_entity_sentiment,env_003,Global Times,environment,neutral
art_205,0.1044444444444444,Google,native_entity_sentiment,env_003,RT News,environment,neutral
art_206,0.3652941176470588,Google,native_entity_sentiment,env_003,BBC,environment,concern
art_207,0.3460526315789474,Google,native_entity_sentiment,env_003,The Guardian,environment,concern
art_208,0.1853333333333333,Google,native_entity_sentiment,env_003,Al Jazeera,environment,concern
art_209,0.2716763005780346,Google,native_entity_sentiment,env_003,CNN,environment,concern
art_210,0.1835820895522388,Google,native_entity_sentiment,env_003,Le Monde,environment,concern
art_211,0.2080882352941176,Google,native_entity_sentiment,env_003,Straits Times,environment,concern
art_212,0.1971830985915492,Google,native_entity_sentiment,env_003,Reuters,environment,concern
art_213,0.4351648351648352,Google,native_entity_sentiment,env_004,RT News,environment,skeptical
art_214,0.1025157232704402,Google,native_entity_sentiment,env_004,Al Jazeera,environment,concern
art_215,0.1057324840764331,Google,native_entity_sentiment,env_004,Reuters,environment,concern
art_216,0.1953488372093023,Google,native_entity_sentiment,env_004,CNN,environment,concern
art_217,0.0567375886524822,Google,native_entity_sentiment,env_004,BBC,environment,concern
art_218,0.267515923566879,Google,native_entity_sentiment,env_004,Fox News,environment,skeptical
art_219,0.3594405594405594,Google,native_entity_sentiment,env_004,Global Times,environment,neutral
art_220,0.2691358024691358,Google,native_entity_sentiment,env_004,Straits Times,environment,concern
art_221,0.2868852459016393,Google,native_entity_sentiment,env_004,South China Morning Post,environment,concern
art_222,0.0980132450331125,Google,native_entity_sentiment,env_004,The Guardian,environment,concern
art_223,0.1988304093567251,Google,native_entity_sentiment,env_004,Le Monde,environment,concern
art_224,0.270253164556962,Google,native_entity_sentiment,env_004,News24,environment,neutral
art_225,0.1891566265060241,Google,native_entity_sentiment,env_004,The Hindu,environment,concern
art_226,0.1096153846153846,Google,native_entity_sentiment,env_005,BBC,environment,concern
art_227,0.2038216560509554,Google,native_entity_sentiment,env_005,Al Jazeera,environment,concern
art_228,0.1272727272727273,Google,native_entity_sentiment,env_005,Reuters,environment,neutral
art_229,0.2335227272727272,Google,native_entity_sentiment,env_005,The Hindu,environment,concern
art_230,0.0953846153846153,Google,native_entity_sentiment,env_005,Le Monde,environment,concern
art_231,0.1188235294117647,Google,native_entity_sentiment,env_005,Fox News,environment,concern
art_232,0.1098684210526315,Google,native_entity_sentiment,env_005,Straits Times,environment,neutral
art_233,0.1176470588235294,Google,native_entity_sentiment,env_005,Global Times,environment,concern
art_234,0.1057471264367816,Google,native_entity_sentiment,env_005,CNN,environment,concern
art_235,0.3033898305084745,Google,native_entity_sentiment,env_005,Reuters,environment,concern
art_236,0.1009523809523809,Google,native_entity_sentiment,env_005,The Guardian,environment,concern
art_237,0.2,Google,native_entity_sentiment,env_005,News24,environment,neutral
art_001,0.1809637845445552,AWS,sentence_context_projection,imm_001,Fox News,immigration,security
art_002,0.0549785556083535,AWS,sentence_context_projection,imm_001,BBC,immigration,neutral
art_003,0.0419779737623643,AWS,sentence_context_projection,imm_001,The Guardian,immigration,humanitarian
art_004,0.0908697681683687,AWS,sentence_context_projection,imm_001,CNN,immigration,neutral
art_005,0.0644805399305861,AWS,sentence_context_projection,imm_001,Reuters,immigration,neutral
art_006,0.1346531873988068,AWS,sentence_context_projection,imm_001,Global Times,immigration,humanitarian
art_007,0.0325460288425024,AWS,sentence_context_projection,imm_001,RT News,immigration,humanitarian
art_008,0.0280186150173155,AWS,sentence_context_projection,imm_001,Al Jazeera,immigration,humanitarian
art_009,0.0849343134128304,AWS,sentence_context_projection,imm_001,Straits Times,immigration,humanitarian
art_010,0.0657328233781159,AWS,sentence_context_projection,imm_001,Le Monde,immigration,neutral
art_011,0.0934138904610833,AWS,sentence_context_projection,imm_002,BBC,immigration,humanitarian
art_012,0.1309147174316887,AWS,sentence_context_projection,imm_002,RT News,immigration,humanitarian
art_013,0.1112913372751404,AWS,sentence_context_projection,imm_002,CNN,immigration,humanitarian
art_014,0.041324062143112,AWS,sentence_context_projection,imm_002,BBC,immigration,security
art_015,0.0755034074206472,AWS,sentence_context_projection,imm_002,Fox News,immigration,security
art_016,0.1070396162807818,AWS,sentence_context_projection,imm_002,Reuters,immigration,humanitarian
art_017,0.197587814257187,AWS,sentence_context_projection,imm_002,France 24,immigration,neutral
art_018,0.1615171728378342,AWS,sentence_context_projection,imm_002,The Guardian,immigration,humanitarian
art_019,0.0072770779994582,AWS,sentence_context_projection,imm_002,Global Times,immigration,neutral
art_020,0.2500253960646835,AWS,sentence_context_projection,imm_002,South China Morning Post,immigration,humanitarian
art_021,0.0657566154117895,AWS,sentence_context_projection,imm_002,BBC,immigration,neutral
art_022,0.0777671978384837,AWS,sentence_context_projection,imm_005,Fox News,immigration,security
art_023,0.0462982403947939,AWS,sentence_context_projection,imm_005,China Daily,immigration,humanitarian
art_024,0.0526309551008698,AWS,sentence_context_projection,imm_005,BBC,immigration,security
art_025,0.0783287767657565,AWS,sentence_context_projection,imm_005,CNN,immigration,security
art_026,0.1301908779923775,AWS,sentence_context_projection,imm_005,The Guardian,immigration,humanitarian
art_027,0.0546003492346592,AWS,sentence_context_projection,imm_005,The Hindu,immigration,neutral
art_028,0.0896463547251718,AWS,sentence_context_projection,imm_005,Reuters,immigration,humanitarian
art_029,0.0679796032183238,AWS,sentence_context_projection,imm_005,RT News,immigration,humanitarian
art_030,0.1186370107037678,AWS,sentence_context_projection,imm_005,DW,immigration,humanitarian
art_031,0.1255776906913291,AWS,sentence_context_projection,imm_005,Al Jazeera,immigration,humanitarian
art_032,0.0623553758689162,AWS,sentence_context_projection,pol_001,RT News,political conflict,people-centric
art_033,0.0725627215233318,AWS,sentence_context_projection,pol_001,Al Jazeera,political conflict,people-centric
art_034,0.1122441809850617,AWS,sentence_context_projection,pol_001,CNN,political conflict,neutral
art_035,0.0506155587473498,AWS,sentence_context_projection,pol_001,BBC,political conflict,neutral
art_036,0.0594724192990953,AWS,sentence_context_projection,imm_003,Global Times,immigration,neutral
art_037,0.0647378439797901,AWS,sentence_context_projection,imm_003,Al Jazeera,immigration,humanitarian
art_038,0.105148360320804,AWS,sentence_context_projection,imm_003,RT News,immigration,neutral
art_039,0.0353171957498748,AWS,sentence_context_projection,imm_003,CNN,immigration,neutral
art_040,0.0451364550133083,AWS,sentence_context_projection,imm_003,BBC,immigration,humanitarian
art_041,0.0334016709855313,AWS,sentence_context_projection,imm_003,Fox News,immigration,neutral
art_042,0.0745287436058611,AWS,sentence_context_projection,imm_003,Reuters,immigration,humanitarian
art_043,0.0647041735784305,AWS,sentence_context_projection,imm_003,France 24,immigration,security
art_044,0.1019781390392293,AWS,sentence_context_projection,imm_003,The Guardian,immigration,humanitarian
art_045,0.1075807602903433,AWS,sentence_context_projection,imm_003,South China Morning Post,immigration,neutral
art_046,0.184058331128204,AWS,sentence_context_projection,imm_003,Daily Maverick,immigration,security
art_047,0.1306986560424449,AWS,sentence_context_projection,imm_004,Fox News,immigration,security
art_048,0.0972009404825169,AWS,sentence_context_projection,imm_004,BBC,immigration,neutral
art_049,0.1489321412426805,AWS,sentence_context_projection,imm_004,CNN,immigration,humanitarian
art_050,0.0866419811123782,AWS,sentence_context_projection,imm_004,The Guardian,immigration,humanitarian
art_051,0.0454195305379004,AWS,sentence_context_projection,imm_004,The Hindu,immigration,neutral
art_052,0.0454195305379004,AWS,sentence_context_projection,imm_004,The Hindu,immigration,neutral
art_053,0.0574516040731085,AWS,sentence_context_projection,imm_004,Reuters,immigration,neutral
art_054,0.1845381167327172,AWS,sentence_context_projection,imm_004,France 24,immigration,security
art_055,0.1204415324851446,AWS,sentence_context_projection,imm_004,Al Jazeera,immigration,humanitarian
art_056,0.0791186773420444,AWS,sentence_context_projection,imm_004,Straits Times,immigration,security
art_057,0.1725463362190416,AWS,sentence_context_projection,imm_006,Fox News,immigration,neutral
art_058,0.062960778659877,AWS,sentence_context_projection,imm_006,South China Morning Post,immigration,humanitarian
art_059,0.0230101582488259,AWS,sentence_context_projection,imm_006,Straits Times,immigration,security
art_060,0.0883657808366592,AWS,sentence_context_projection,imm_006,CNN,immigration,neutral
art_061,0.0512154905903363,AWS,sentence_context_projection,imm_006,BBC,immigration,security
art_062,0.0985773163386958,AWS,sentence_context_projection,imm_006,Reuters,immigration,neutral
art_063,0.0715023092766808,AWS,sentence_context_projection,imm_006,Al Jazeera,immigration,neutral
art_064,0.0891876048011094,AWS,sentence_context_projection,imm_006,The Guardian,immigration,humanitarian
art_065,0.0846272522962596,AWS,sentence_context_projection,imm_006,Le Monde,immigration,neutral
art_066,0.0557393255749135,AWS,sentence_context_projection,imm_006,The Hindu,immigration,neutral
art_067,0.146979971193945,AWS,sentence_context_projection,imm_007,Fox News,immigration,security
art_068,0.0546501101965657,AWS,sentence_context_projection,imm_007,South China Morning Post,immigration,humanitarian
art_069,0.0812442524506562,AWS,sentence_context_projection,imm_007,Straits Times,immigration,neutral
art_070,0.1269313964729627,AWS,sentence_context_projection,imm_007,CNN,immigration,neutral
art_071,0.0541838922663069,AWS,sentence_context_projection,imm_007,BBC,immigration,security
art_072,0.0457886874430231,AWS,sentence_context_projection,imm_007,Reuters,immigration,neutral
art_073,0.0388283478087296,AWS,sentence_context_projection,imm_007,Al Jazeera,immigration,humanitarian
art_074,0.1211244305175697,AWS,sentence_context_projection,imm_007,The Guardian,immigration,humanitarian
art_075,0.0264846092950356,AWS,sentence_context_projection,imm_007,Le Monde,immigration,security
art_076,0.0998847410712391,AWS,sentence_context_projection,imm_007,News24,immigration,neutral
art_077,0.193274068311616,AWS,sentence_context_projection,imm_007,The Hindu,immigration,neutral
art_078,0.0090636233079712,AWS,sentence_context_projection,imm_007,Xinhua,immigration,neutral
art_079,0.1090741782936485,AWS,sentence_context_projection,imm_008,Fox News,immigration,security
