article_id,api,net_sentiment,outlet,topic,frame,region,broad_region
art_011,AWS,-0.126,BBC,immigration,humanitarian,Western (UK),Western/Global
art_011,Google,-0.4,BBC,immigration,humanitarian,Western (UK),Western/Global
art_011,Azure,-0.81,BBC,immigration,humanitarian,Western (UK),Western/Global
art_012,AWS,-0.0118,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_012,Google,-0.4,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_012,Azure,-0.86,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_013,AWS,0.0625,CNN,immigration,humanitarian,Western (US),Western/Global
art_013,Google,-0.2,CNN,immigration,humanitarian,Western (US),Western/Global
art_013,Azure,-0.75,CNN,immigration,humanitarian,Western (US),Western/Global
art_014,AWS,0.0005,BBC,immigration,security,Western (UK),Western/Global
art_014,Google,-0.4,BBC,immigration,security,Western (UK),Western/Global
art_014,Azure,-0.84,BBC,immigration,security,Western (UK),Western/Global
art_015,AWS,0.0487,Fox News,immigration,security,Western (US),Western/Global
art_015,Google,-0.2,Fox News,immigration,security,Western (US),Western/Global
art_015,Azure,-0.74,Fox News,immigration,security,Western (US),Western/Global
art_016,AWS,-0.0651,Reuters,immigration,humanitarian,Global,Western/Global
art_016,Google,-0.5,Reuters,immigration,humanitarian,Global,Western/Global
art_016,Azure,-0.66,Reuters,immigration,humanitarian,Global,Western/Global
art_017,AWS,-0.266,France 24,immigration,neutral,Western (Europe),Western/Global
art_017,Google,-0.4,France 24,immigration,neutral,Western (Europe),Western/Global
art_017,Azure,-0.71,France 24,immigration,neutral,Western (Europe),Western/Global
art_018,AWS,0.0581,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_018,Google,-0.4,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_018,Azure,-0.87,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_019,AWS,-0.0092,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_019,Google,-0.5,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_019,Azure,-0.84,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_020,AWS,-0.2431,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_020,Google,-0.4,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_020,Azure,-0.8,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_021,AWS,-0.0015,BBC,immigration,neutral,Western (UK),Western/Global
art_021,Google,-0.3,BBC,immigration,neutral,Western (UK),Western/Global
art_021,Azure,-0.76,BBC,immigration,neutral,Western (UK),Western/Global
art_022,AWS,-0.0164,Fox News,immigration,security,Western (US),Western/Global
art_022,Google,-0.3,Fox News,immigration,security,Western (US),Western/Global
art_022,Azure,-0.68,Fox News,immigration,security,Western (US),Western/Global
art_023,AWS,-0.0026,China Daily,immigration,humanitarian,Non-Western (China),Non-Western
art_023,Google,-0.4,China Daily,immigration,humanitarian,Non-Western (China),Non-Western
art_023,Azure,-0.8,China Daily,immigration,humanitarian,Non-Western (China),Non-Western
art_024,AWS,-0.0692,BBC,immigration,security,Western (UK),Western/Global
art_024,Google,-0.4,BBC,immigration,security,Western (UK),Western/Global
art_024,Azure,-0.88,BBC,immigration,security,Western (UK),Western/Global
art_025,AWS,-0.0188,CNN,immigration,security,Western (US),Western/Global
art_025,Google,-0.3,CNN,immigration,security,Western (US),Western/Global
art_025,Azure,-0.57,CNN,immigration,security,Western (US),Western/Global
art_026,AWS,-0.1831,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_026,Google,-0.3,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_026,Azure,-0.8,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_027,AWS,-0.0295,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_027,Google,-0.3,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_027,Azure,-0.82,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_028,AWS,-0.0535,Reuters,immigration,humanitarian,Global,Western/Global
art_028,Google,-0.4,Reuters,immigration,humanitarian,Global,Western/Global
art_028,Azure,-0.8,Reuters,immigration,humanitarian,Global,Western/Global
art_029,AWS,-0.0962,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_029,Google,-0.4,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_029,Azure,-0.72,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_030,AWS,-0.0291,DW,immigration,humanitarian,Western (Europe),Western/Global
art_030,Google,-0.3,DW,immigration,humanitarian,Western (Europe),Western/Global
art_030,Azure,-0.64,DW,immigration,humanitarian,Western (Europe),Western/Global
art_031,AWS,0.0073,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_031,Google,-0.5,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_031,Azure,-0.71,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_032,AWS,-0.0627,RT News,political conflict,people-centric,Non-Western (Russia),Non-Western
art_032,Google,-0.3,RT News,political conflict,people-centric,Non-Western (Russia),Non-Western
art_032,Azure,-0.71,RT News,political conflict,people-centric,Non-Western (Russia),Non-Western
art_033,AWS,-0.0989,Al Jazeera,political conflict,people-centric,Non-Western (Middle East),Non-Western
art_033,Google,-0.2,Al Jazeera,political conflict,people-centric,Non-Western (Middle East),Non-Western
art_033,Azure,-0.84,Al Jazeera,political conflict,people-centric,Non-Western (Middle East),Non-Western
art_034,AWS,-0.0018,CNN,political conflict,neutral,Western (US),Western/Global
art_034,Google,-0.3,CNN,political conflict,neutral,Western (US),Western/Global
art_034,Azure,-0.82,CNN,political conflict,neutral,Western (US),Western/Global
art_035,AWS,-0.0395,BBC,political conflict,neutral,Western (UK),Western/Global
art_035,Google,-0.3,BBC,political conflict,neutral,Western (UK),Western/Global
art_035,Azure,-0.69,BBC,political conflict,neutral,Western (UK),Western/Global
art_036,AWS,0.0046,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_036,Google,-0.3,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_036,Azure,-0.73,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_037,AWS,-0.0299,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_037,Google,-0.3,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_037,Azure,-0.58,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_038,AWS,-0.0382,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_038,Google,-0.2,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_038,Azure,-0.57,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_039,AWS,-0.0036,CNN,immigration,neutral,Western (US),Western/Global
art_039,Google,-0.2,CNN,immigration,neutral,Western (US),Western/Global
art_039,Azure,-0.33,CNN,immigration,neutral,Western (US),Western/Global
art_040,AWS,0.0248,BBC,immigration,humanitarian,Western (UK),Western/Global
art_040,Google,-0.2,BBC,immigration,humanitarian,Western (UK),Western/Global
art_040,Azure,-0.89,BBC,immigration,humanitarian,Western (UK),Western/Global
art_041,AWS,0.0156,Fox News,immigration,neutral,Western (US),Western/Global
art_041,Google,-0.3,Fox News,immigration,neutral,Western (US),Western/Global
art_041,Azure,-0.67,Fox News,immigration,neutral,Western (US),Western/Global
art_042,AWS,-0.0172,Reuters,immigration,humanitarian,Global,Western/Global
art_042,Google,-0.5,Reuters,immigration,humanitarian,Global,Western/Global
art_042,Azure,-0.83,Reuters,immigration,humanitarian,Global,Western/Global
art_043,AWS,0.0115,France 24,immigration,security,Western (Europe),Western/Global
art_043,Google,-0.4,France 24,immigration,security,Western (Europe),Western/Global
art_043,Azure,-0.84,France 24,immigration,security,Western (Europe),Western/Global
art_044,AWS,0.0031,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_044,Google,-0.3,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_044,Azure,-0.83,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_045,AWS,0.0202,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_045,Google,-0.3,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_045,Azure,-0.92,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_046,AWS,-0.0485,Daily Maverick,immigration,security,Non-Western (Africa),Non-Western
art_046,Google,-0.4,Daily Maverick,immigration,security,Non-Western (Africa),Non-Western
art_046,Azure,-0.66,Daily Maverick,immigration,security,Non-Western (Africa),Non-Western
art_047,AWS,-0.2244,Fox News,immigration,security,Western (US),Western/Global
art_047,Google,-0.4,Fox News,immigration,security,Western (US),Western/Global
art_047,Azure,-0.79,Fox News,immigration,security,Western (US),Western/Global
art_048,AWS,-0.1303,BBC,immigration,neutral,Western (UK),Western/Global
art_048,Google,-0.4,BBC,immigration,neutral,Western (UK),Western/Global
art_048,Azure,-0.83,BBC,immigration,neutral,Western (UK),Western/Global
art_049,AWS,-0.1705,CNN,immigration,humanitarian,Western (US),Western/Global
art_049,Google,-0.5,CNN,immigration,humanitarian,Western (US),Western/Global
art_049,Azure,-0.75,CNN,immigration,humanitarian,Western (US),Western/Global
art_050,AWS,-0.1247,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_050,Google,-0.4,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_050,Azure,-0.58,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_051,AWS,-0.0508,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_051,Google,-0.6,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_051,Azure,-0.8,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_052,AWS,-0.0508,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_052,Google,-0.6,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_052,Azure,-0.8,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_053,AWS,-0.0268,Reuters,immigration,neutral,Global,Western/Global
art_053,Google,-0.5,Reuters,immigration,neutral,Global,Western/Global
art_053,Azure,-0.79,Reuters,immigration,neutral,Global,Western/Global
art_054,AWS,-0.2673,France 24,immigration,security,Western (Europe),Western/Global
art_054,Google,-0.4,France 24,immigration,security,Western (Europe),Western/Global
art_054,Azure,-0.85,France 24,immigration,security,Western (Europe),Western/Global
art_055,AWS,-0.0446,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_055,Google,-0.3,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_055,Azure,-0.85,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_056,AWS,-0.017,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_056,Google,-0.5,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_056,Azure,-0.77,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_057,AWS,0.1684,Fox News,immigration,neutral,Western (US),Western/Global
art_057,Google,-0.4,Fox News,immigration,neutral,Western (US),Western/Global
art_057,Azure,-0.75,Fox News,immigration,neutral,Western (US),Western/Global
art_058,AWS,0.0192,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_058,Google,-0.6,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_058,Azure,-0.89,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_059,AWS,-0.0322,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_059,Google,-0.4,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_059,Azure,-0.75,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_060,AWS,0.0593,CNN,immigration,neutral,Western (US),Western/Global
art_060,Google,-0.3,CNN,immigration,neutral,Western (US),Western/Global
art_060,Azure,-0.76,CNN,immigration,neutral,Western (US),Western/Global
art_061,AWS,0.0248,BBC,immigration,security,Western (UK),Western/Global
art_061,Google,-0.3,BBC,immigration,security,Western (UK),Western/Global
art_061,Azure,-0.66,BBC,immigration,security,Western (UK),Western/Global
art_062,AWS,0.0122,Reuters,immigration,neutral,Global,Western/Global
art_062,Google,-0.5,Reuters,immigration,neutral,Global,Western/Global
art_062,Azure,-0.84,Reuters,immigration,neutral,Global,Western/Global
art_063,AWS,-0.001,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_063,Google,-0.5,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_063,Azure,-0.66,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_064,AWS,0.0623,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_064,Google,-0.3,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_064,Azure,-0.77,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_065,AWS,0.0061,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_065,Google,-0.5,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_065,Azure,-0.68,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_066,AWS,-0.0002,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_066,Google,-0.5,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_066,Azure,-0.75,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_067,AWS,0.0547,Fox News,immigration,security,Western (US),Western/Global
art_067,Google,-0.4,Fox News,immigration,security,Western (US),Western/Global
art_067,Azure,-0.84,Fox News,immigration,security,Western (US),Western/Global
art_068,AWS,0.0036,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_068,Google,-0.1,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_068,Azure,-0.51,South China Morning Post,immigration,humanitarian,Non-Western (East Asia),Non-Western
art_069,AWS,-0.1154,Straits Times,immigration,neutral,Non-Western (Southeast Asia),Non-Western
art_069,Google,-0.4,Straits Times,immigration,neutral,Non-Western (Southeast Asia),Non-Western
art_069,Azure,-0.66,Straits Times,immigration,neutral,Non-Western (Southeast Asia),Non-Western
art_070,AWS,0.0467,CNN,immigration,neutral,Western (US),Western/Global
art_070,Google,-0.5,CNN,immigration,neutral,Western (US),Western/Global
art_070,Azure,-0.73,CNN,immigration,neutral,Western (US),Western/Global
art_071,AWS,-0.0395,BBC,immigration,security,Western (UK),Western/Global
art_071,Google,-0.2,BBC,immigration,security,Western (UK),Western/Global
art_071,Azure,-0.81,BBC,immigration,security,Western (UK),Western/Global
art_072,AWS,0.0108,Reuters,immigration,neutral,Global,Western/Global
art_072,Google,-0.6,Reuters,immigration,neutral,Global,Western/Global
art_072,Azure,-0.61,Reuters,immigration,neutral,Global,Western/Global
art_073,AWS,0.01,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_073,Google,-0.2,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_073,Azure,-0.82,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_074,AWS,0.0659,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_074,Google,-0.2,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_074,Azure,-0.79,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_075,AWS,-0.0007,Le Monde,immigration,security,Western (Europe),Western/Global
art_075,Google,-0.3,Le Monde,immigration,security,Western (Europe),Western/Global
art_075,Azure,-0.45,Le Monde,immigration,security,Western (Europe),Western/Global
art_076,AWS,-0.0001,News24,immigration,neutral,Non-Western (Africa),Non-Western
art_076,Google,-0.7,News24,immigration,neutral,Non-Western (Africa),Non-Western
art_076,Azure,-0.81,News24,immigration,neutral,Non-Western (Africa),Non-Western
art_077,AWS,0.0007,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_077,Google,-0.5,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_077,Azure,-0.76,The Hindu,immigration,neutral,Non-Western (South Asia),Non-Western
art_078,AWS,0.0069,Xinhua,immigration,neutral,Non-Western (China),Non-Western
art_078,Google,-0.3,Xinhua,immigration,neutral,Non-Western (China),Non-Western
art_078,Azure,-0.83,Xinhua,immigration,neutral,Non-Western (China),Non-Western
art_079,AWS,-0.0052,Fox News,immigration,security,Western (US),Western/Global
art_079,Google,-0.1,Fox News,immigration,security,Western (US),Western/Global
art_079,Azure,-0.05,Fox News,immigration,security,Western (US),Western/Global
art_080,AWS,-0.0294,The Hindu,immigration,humanitarian,Non-Western (South Asia),Non-Western
art_080,Google,-0.3,The Hindu,immigration,humanitarian,Non-Western (South Asia),Non-Western
art_080,Azure,-0.59,The Hindu,immigration,humanitarian,Non-Western (South Asia),Non-Western
art_081,AWS,0.0149,News24,immigration,security,Non-Western (Africa),Non-Western
art_081,Google,-0.2,News24,immigration,security,Non-Western (Africa),Non-Western
art_081,Azure,-0.67,News24,immigration,security,Non-Western (Africa),Non-Western
art_082,AWS,-0.0612,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_082,Google,-0.4,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_082,Azure,-0.79,Straits Times,immigration,security,Non-Western (Southeast Asia),Non-Western
art_083,AWS,0.0329,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_083,Google,-0.4,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_083,Azure,-0.87,South China Morning Post,immigration,neutral,Non-Western (East Asia),Non-Western
art_084,AWS,-0.0202,Reuters,immigration,neutral,Global,Western/Global
art_084,Google,-0.2,Reuters,immigration,neutral,Global,Western/Global
art_084,Azure,-0.49,Reuters,immigration,neutral,Global,Western/Global
art_085,AWS,-0.0345,BBC,immigration,neutral,Western (UK),Western/Global
art_085,Google,-0.4,BBC,immigration,neutral,Western (UK),Western/Global
art_085,Azure,-0.74,BBC,immigration,neutral,Western (UK),Western/Global
art_086,AWS,0.0178,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_086,Google,0.0,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_086,Azure,-0.12,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_087,AWS,0.0354,CNN,immigration,neutral,Western (US),Western/Global
art_087,Google,-0.2,CNN,immigration,neutral,Western (US),Western/Global
art_087,Azure,-0.53,CNN,immigration,neutral,Western (US),Western/Global
art_088,AWS,0.1935,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_088,Google,-0.3,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_088,Azure,-0.86,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_089,AWS,0.0505,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_089,Google,0.0,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_089,Azure,-0.04,Al Jazeera,immigration,neutral,Non-Western (Middle East),Non-Western
art_090,AWS,0.008,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_090,Google,-0.1,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_090,Azure,-0.21,RT News,immigration,neutral,Non-Western (Russia),Non-Western
art_091,AWS,0.0009,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_091,Google,0.0,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_091,Azure,0.82,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_092,AWS,0.0011,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_092,Google,0.0,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_092,Azure,0.63,Global Times,immigration,neutral,Non-Western (China),Non-Western
art_093,AWS,-0.1925,Reuters,political conflict,people-centric,Global,Western/Global
art_093,Google,-0.4,Reuters,political conflict,people-centric,Global,Western/Global
art_093,Azure,-0.82,Reuters,political conflict,people-centric,Global,Western/Global
art_094,AWS,-0.0618,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_094,Google,-0.2,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_094,Azure,-0.71,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_095,AWS,-0.1365,Le Monde,political conflict,people-centric,Western (Europe),Western/Global
art_095,Google,-0.3,Le Monde,political conflict,people-centric,Western (Europe),Western/Global
art_095,Azure,-0.82,Le Monde,political conflict,people-centric,Western (Europe),Western/Global
art_096,AWS,-0.0305,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_096,Google,-0.2,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_096,Azure,-0.77,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_097,AWS,-0.031,Fox News,political conflict,neutral,Western (US),Western/Global
art_097,Google,-0.1,Fox News,political conflict,neutral,Western (US),Western/Global
art_097,Azure,-0.48,Fox News,political conflict,neutral,Western (US),Western/Global
art_098,AWS,-0.0856,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_098,Google,-0.4,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_098,Azure,-0.82,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_099,AWS,-0.0034,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_099,Google,-0.4,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_099,Azure,-0.77,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_100,AWS,-0.0887,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_100,Google,-0.3,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_100,Azure,-0.9,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_101,AWS,-0.0233,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_101,Google,-0.3,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_101,Azure,-0.63,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_102,AWS,-0.0142,Al Jazeera,political conflict,neutral,Non-Western (Middle East),Non-Western
art_102,Google,-0.4,Al Jazeera,political conflict,neutral,Non-Western (Middle East),Non-Western
art_102,Azure,-0.76,Al Jazeera,political conflict,neutral,Non-Western (Middle East),Non-Western
art_103,AWS,-0.0488,CNN,political conflict,state-centric,Western (US),Western/Global
art_103,Google,-0.3,CNN,political conflict,state-centric,Western (US),Western/Global
art_103,Azure,-0.79,CNN,political conflict,state-centric,Western (US),Western/Global
art_104,AWS,-0.087,BBC,political conflict,state-centric,Western (UK),Western/Global
art_104,Google,-0.3,BBC,political conflict,state-centric,Western (UK),Western/Global
art_104,Azure,-0.76,BBC,political conflict,state-centric,Western (UK),Western/Global
art_105,AWS,-0.0198,Reuters,political conflict,people-centric,Global,Western/Global
art_105,Google,-0.5,Reuters,political conflict,people-centric,Global,Western/Global
art_105,Azure,-0.84,Reuters,political conflict,people-centric,Global,Western/Global
art_106,AWS,0.0012,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_106,Google,-0.3,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_106,Azure,-0.79,The Guardian,political conflict,neutral,Western (UK),Western/Global
art_107,AWS,-0.01,Le Monde,political conflict,neutral,Western (Europe),Western/Global
art_107,Google,-0.3,Le Monde,political conflict,neutral,Western (Europe),Western/Global
art_107,Azure,-0.68,Le Monde,political conflict,neutral,Western (Europe),Western/Global
art_108,AWS,-0.1717,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_108,Google,-0.3,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_108,Azure,-0.74,South China Morning Post,political conflict,neutral,Non-Western (East Asia),Non-Western
art_109,AWS,0.0106,Global Times,political conflict,state-centric,Non-Western (China),Non-Western
art_109,Google,-0.2,Global Times,political conflict,state-centric,Non-Western (China),Non-Western
art_109,Azure,-0.85,Global Times,political conflict,state-centric,Non-Western (China),Non-Western
art_110,AWS,-0.0318,Fox News,political conflict,neutral,Western (US),Western/Global
art_110,Google,-0.2,Fox News,political conflict,neutral,Western (US),Western/Global
art_110,Azure,-0.47,Fox News,political conflict,neutral,Western (US),Western/Global
art_111,AWS,-0.0427,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_111,Google,-0.3,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_111,Azure,-0.81,Straits Times,political conflict,state-centric,Non-Western (Southeast Asia),Non-Western
art_112,AWS,0.0188,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_112,Google,-0.3,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_112,Azure,-0.63,The Hindu,political conflict,neutral,Non-Western (South Asia),Non-Western
art_113,AWS,-0.2904,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_113,Google,-0.3,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_113,Azure,-0.69,Daily Maverick,political conflict,people-centric,Non-Western (Africa),Non-Western
art_114,AWS,0.0039,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_114,Google,-0.5,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_114,Azure,-0.8,RT News,political conflict,neutral,Non-Western (Russia),Non-Western
art_115,AWS,-0.0424,Al Jazeera,political conflict,people-centric,Non-Western (Middle East),Non-Western
